date,lay,liquidate,miser,owe,recession,isPartial
2013-01-15,26,0,1,7,4,False
2013-01-16,28,0,2,9,4,False
2013-01-17,32,0,2,8,4,False
2013-01-18,28,0,1,7,3,False
2013-01-19,24,0,1,7,2,False
2013-01-20,28,0,1,6,1,False
2013-01-21,29,0,1,9,3,False
2013-01-22,27,0,1,7,3,False
2013-01-23,29,0,0,10,4,False
2013-01-24,25,0,1,10,4,False
2013-01-25,29,0,1,9,4,False
2013-01-26,27,0,1,9,3,False
2013-01-27,30,0,1,7,2,False
2013-01-28,28,0,1,11,4,False
2013-01-29,32,1,2,12,5,False
2013-01-30,29,1,1,11,7,False
2013-01-31,29,0,1,11,5,False
2013-02-01,31,0,1,11,5,False
2013-02-02,29,0,1,12,3,False
2013-02-03,31,0,2,10,3,False
2013-02-04,26,0,1,10,5,False
2013-02-05,28,0,1,13,5,False
2013-02-06,32,0,1,12,4,False
2013-02-07,26,0,1,11,4,False
2013-02-08,24,1,1,9,3,False
2013-02-09,31,0,1,9,3,False
2013-02-10,27,0,1,9,3,False
2013-02-11,30,0,1,9,4,False
2013-02-12,30,0,1,11,3,False
2013-02-13,29,0,1,9,4,False
2013-02-14,30,1,1,8,5,False
2013-02-15,28,0,1,9,3,False
2013-02-16,29,0,1,8,3,False
2013-02-17,27,0,1,7,3,False
2013-02-18,30,0,1,7,5,False
2013-02-19,28,0,1,10,5,False
2013-02-20,28,0,1,8,5,False
2013-02-21,33,0,1,8,4,False
2013-02-22,29,0,1,8,4,False
2013-02-23,31,0,1,9,2,False
2013-02-24,32,0,1,7,3,False
2013-02-25,28,0,2,8,5,False
2013-02-26,33,0,1,8,4,False
2013-02-27,33,1,1,7,6,False
2013-02-28,31,0,1,8,5,False
2013-03-01,30,0,1,9,5,False
2013-03-02,29,0,1,5,2,False
2013-03-03,36,0,1,8,3,False
2013-03-04,29,0,1,9,4,False
2013-03-05,34,1,0,7,4,False
2013-03-06,31,0,1,9,5,False
2013-03-07,30,0,1,5,5,False
2013-03-08,30,0,1,7,3,False
2013-03-09,29,0,1,7,2,False
2013-03-10,33,0,1,5,3,False
2013-03-11,33,0,1,7,4,False
2013-03-12,33,0,1,8,4,False
2013-03-13,26,1,1,8,3,False
2013-03-14,29,1,1,7,4,False
2013-03-15,31,0,1,8,4,False
2013-03-16,32,0,1,6,2,False
2013-03-17,33,0,1,5,3,False
2013-03-18,28,0,1,7,4,False
2013-03-19,31,0,1,7,4,False
2013-03-20,30,0,1,8,5,False
2013-03-21,31,0,1,8,4,False
2013-03-22,30,0,1,7,3,False
2013-03-23,34,0,1,6,2,False
2013-03-24,37,0,1,6,3,False
2013-03-25,30,0,1,7,5,False
2013-03-26,35,1,1,9,3,False
2013-03-27,34,1,1,8,3,False
2013-03-28,34,0,1,8,4,False
2013-03-29,34,0,1,7,3,False
2013-03-30,40,0,1,6,3,False
2013-03-31,42,0,1,7,3,False
2013-04-01,31,0,0,7,5,False
2013-04-02,36,0,1,8,4,False
2013-04-03,29,0,1,8,5,False
2013-04-04,32,0,1,8,4,False
2013-04-05,33,0,1,9,4,False
2013-04-06,36,0,1,6,3,False
2013-04-07,34,1,1,6,4,False
2013-04-08,37,1,1,9,4,False
2013-04-09,33,0,1,10,5,False
2013-04-10,33,0,2,11,5,False
2013-04-11,33,0,1,12,4,False
2013-04-12,29,0,1,9,3,False
2013-04-13,32,0,0,9,3,False
2013-04-14,35,0,0,13,3,False
2013-04-15,32,0,1,17,5,False
2013-04-16,32,1,1,13,6,False
2013-04-17,32,0,1,8,6,False
2013-04-18,32,0,0,8,5,False
2013-04-19,30,0,5,6,4,False
2013-04-20,29,0,5,6,2,False
2013-04-21,38,0,3,5,3,False
2013-04-22,33,1,1,6,4,False
2013-04-23,31,0,1,6,5,False
2013-04-24,32,0,1,6,6,False
2013-04-25,32,0,1,8,5,False
2013-04-26,33,0,1,6,5,False
2013-04-27,34,0,1,3,3,False
2013-04-28,35,0,1,4,4,False
2013-04-29,34,0,1,5,5,False
2013-04-30,29,0,1,7,4,False
2013-05-01,34,0,1,6,4,False
2013-05-02,32,0,1,7,5,False
2013-05-03,33,0,1,6,5,False
2013-05-04,37,0,1,5,3,False
2013-05-05,36,0,1,5,4,False
2013-05-06,30,1,1,6,5,False
2013-05-07,32,0,1,6,5,False
2013-05-08,100,0,1,5,4,False
2013-05-09,58,0,1,7,5,False
2013-05-10,47,0,1,5,5,False
2013-05-11,39,0,1,6,3,False
2013-05-12,40,0,1,7,3,False
2013-05-13,38,0,0,5,4,False
2013-05-14,39,0,1,7,5,False
2013-05-15,36,0,1,7,4,False
2013-05-16,34,0,1,6,5,False
2013-05-17,36,0,1,5,4,False
2013-05-18,35,0,1,6,3,False
2013-05-19,36,0,1,6,2,False
2013-05-20,37,0,1,5,3,False
2013-05-21,30,1,0,5,4,False
2013-05-22,33,0,1,6,5,False
2013-05-23,32,0,1,6,4,False
2013-05-24,34,0,1,5,3,False
2013-05-25,38,0,1,5,2,False
2013-05-26,34,0,1,5,1,False
2013-05-27,38,0,1,4,2,False
2013-05-28,33,0,1,5,3,False
2013-05-29,32,0,0,7,4,False
2013-05-30,29,0,1,5,2,False
2013-05-31,34,0,1,6,3,False
2013-06-01,37,0,1,5,2,False
2013-06-02,36,0,0,6,3,False
2013-06-03,30,0,1,5,4,False
2013-06-04,33,0,1,5,4,False
2013-06-05,32,0,1,4,2,False
2013-06-06,27,0,1,6,3,False
2013-06-07,29,0,1,4,2,False
2013-06-08,30,0,1,5,2,False
2013-06-09,36,0,1,4,2,False
2013-06-10,30,0,1,5,3,False
2013-06-11,31,0,1,6,3,False
2013-06-12,31,0,0,5,3,False
2013-06-13,32,0,1,5,3,False
2013-06-14,27,0,1,5,3,False
2013-06-15,32,0,1,4,1,False
2013-06-16,32,0,0,5,2,False
2013-06-17,30,0,0,5,3,False
2013-06-18,28,1,1,6,2,False
2013-06-19,31,0,0,6,3,False
2013-06-20,30,0,1,5,2,False
2013-06-21,29,0,1,6,2,False
2013-06-22,31,0,1,4,2,False
2013-06-23,35,1,0,6,2,False
2013-06-24,32,0,1,5,3,False
2013-06-25,30,0,1,5,2,False
