date,gain,generosity,gift,gold,guide,isPartial
2004-01-01,6,0,12,29,92,False
2004-01-02,5,0,18,30,84,False
2004-01-03,4,0,17,33,91,False
2004-01-04,3,0,15,29,82,False
2004-01-05,5,0,13,36,100,False
2004-01-06,4,1,12,31,68,False
2004-01-07,5,0,15,30,72,False
2004-01-08,3,0,13,30,71,False
2004-01-09,5,0,14,29,67,False
2004-01-10,4,0,15,33,85,False
2004-01-11,5,0,14,33,86,False
2004-01-12,5,0,14,30,70,False
2004-01-13,6,0,17,28,66,False
2004-01-14,5,0,15,27,78,False
2004-01-15,5,0,15,35,67,False
2004-01-16,6,0,16,30,70,False
2004-01-17,5,0,13,36,89,False
2004-01-18,5,0,17,33,81,False
2004-01-19,5,0,15,34,82,False
2004-01-20,5,0,17,29,71,False
2004-01-21,4,0,15,33,67,False
2004-01-22,3,0,13,32,68,False
2004-01-23,4,0,14,30,67,False
2004-01-24,3,0,15,30,85,False
2004-01-25,5,0,12,30,85,False
2004-01-26,6,0,13,27,74,False
2004-01-27,5,0,19,23,67,False
2004-01-28,4,0,15,24,64,False
2004-01-29,3,0,16,30,65,False
2004-01-30,5,0,15,29,60,False
2004-01-31,4,0,12,25,83,False
2004-02-01,5,0,16,33,85,False
2004-02-02,4,0,16,24,58,False
2004-02-03,4,0,16,26,62,False
2004-02-04,4,0,19,31,62,False
2004-02-05,4,0,18,29,61,False
2004-02-06,4,0,17,24,67,False
2004-02-07,4,0,19,31,68,False
2004-02-08,5,0,15,31,82,False
2004-02-09,5,0,18,30,69,False
2004-02-10,5,0,22,27,69,False
2004-02-11,4,0,22,27,72,False
2004-02-12,3,0,21,25,70,False
2004-02-13,4,0,25,30,66,False
2004-02-14,5,0,19,30,80,False
2004-02-15,4,0,11,30,84,False
2004-02-16,4,0,12,29,74,False
2004-02-17,4,0,16,30,70,False
2004-02-18,4,0,13,28,72,False
2004-02-19,5,0,12,30,63,False
2004-02-20,4,0,16,29,63,False
2004-02-21,3,0,15,30,76,False
2004-02-22,5,0,14,37,82,False
2004-02-23,5,0,11,27,66,False
2004-02-24,5,0,11,25,68,False
2004-02-25,5,0,14,27,68,False
2004-02-26,6,0,13,27,64,False
2004-02-27,6,0,14,27,70,False
2004-02-28,8,0,15,29,71,False
2004-02-29,5,0,9,40,88,False
2004-03-01,4,0,14,26,59,False
2004-03-02,4,0,12,29,66,False
2004-03-03,4,0,12,30,88,False
2004-03-04,4,0,14,27,63,False
2004-03-05,7,0,9,28,78,False
2004-03-06,5,0,10,31,82,False
2004-03-07,5,0,14,39,92,False
2004-03-08,0,0,0,0,0,True
2004-03-09,0,0,0,0,0,True
2004-03-10,4,0,11,28,57,False
2004-03-11,7,0,10,34,82,False
2004-03-12,5,0,11,26,62,False
2004-03-13,5,0,13,33,78,False
2004-03-14,5,0,10,27,84,False
2004-03-15,5,0,13,36,71,False
2004-03-16,6,0,13,32,62,False
2004-03-17,4,0,14,29,72,False
2004-03-18,2,0,13,28,65,False
2004-03-19,5,0,13,29,64,False
2004-03-20,3,0,8,32,82,False
2004-03-21,3,0,14,31,75,False
2004-03-22,5,0,14,27,76,False
2004-03-23,0,0,0,0,0,True
2004-03-24,5,0,14,29,59,False
2004-03-25,4,0,10,29,72,False
2004-03-26,3,0,13,29,60,False
2004-03-27,4,0,10,28,70,False
2004-03-28,4,0,15,34,78,False
2004-03-29,5,0,14,30,62,False
2004-03-30,6,0,15,28,64,False
2004-03-31,4,0,14,27,69,False
2004-04-01,6,0,12,29,61,False
2004-04-02,3,0,13,30,61,False
2004-04-03,4,0,12,31,75,False
2004-04-04,5,0,10,38,80,False
2004-04-05,6,0,15,27,67,False
2004-04-06,4,0,15,30,69,False
2004-04-07,4,0,15,25,64,False
2004-04-08,5,0,16,28,68,False
2004-04-09,4,0,15,28,70,False
2004-04-10,4,0,15,21,86,False
2004-04-11,6,0,15,37,82,False
2004-04-12,0,0,0,0,0,True
2004-04-13,0,0,0,0,0,True
2004-04-14,4,0,12,25,56,False
2004-04-15,5,0,15,30,63,False
2004-04-16,4,0,14,29,62,False
2004-04-17,6,0,13,29,93,False
2004-04-18,4,0,12,31,80,False
2004-04-19,6,0,14,30,70,False
2004-04-20,6,0,17,33,64,False
2004-04-21,4,0,17,30,61,False
2004-04-22,6,0,14,31,63,False
2004-04-23,5,0,18,28,66,False
2004-04-24,4,0,11,27,71,False
2004-04-25,8,0,17,33,79,False
2004-04-26,5,0,16,27,68,False
2004-04-27,4,0,14,28,64,False
2004-04-28,5,0,17,30,60,False
2004-04-29,5,0,21,30,59,False
2004-04-30,5,0,17,28,62,False
2004-05-01,4,0,19,34,77,False
2004-05-02,6,0,17,32,79,False
2004-05-03,4,0,20,27,60,False
2004-05-04,5,0,22,29,68,False
2004-05-05,5,0,22,26,64,False
2004-05-06,5,0,20,26,61,False
2004-05-07,5,0,21,30,70,False
2004-05-08,4,0,20,26,82,False
2004-05-09,4,0,19,33,80,False
2004-05-10,5,0,12,29,68,False
2004-05-11,5,0,17,30,58,False
2004-05-12,4,0,16,31,62,False
2004-05-13,4,0,15,30,57,False
2004-05-14,5,0,15,28,61,False
2004-05-15,5,0,15,29,65,False
2004-05-16,7,0,15,28,77,False
2004-05-17,4,0,15,30,74,False
2004-05-18,4,0,16,27,60,False
2004-05-19,5,0,14,27,63,False
2004-05-20,4,0,17,26,70,False
2004-05-21,4,0,18,27,62,False
2004-05-22,2,0,20,29,77,False
2004-05-23,4,0,16,28,89,False
2004-05-24,4,0,18,29,65,False
2004-05-25,5,0,16,29,63,False
2004-05-26,5,0,17,30,61,False
2004-05-27,5,0,14,26,63,False
2004-05-28,4,0,16,31,69,False
2004-05-29,4,0,12,28,75,False
2004-05-30,3,0,14,31,80,False
2004-05-31,4,0,13,31,77,False
2004-06-01,4,0,17,26,77,False
2004-06-02,3,0,17,27,63,False
2004-06-03,4,0,20,28,68,False
2004-06-04,5,0,19,29,69,False
2004-06-05,4,0,17,33,77,False
2004-06-06,4,0,20,33,74,False
2004-06-07,6,0,17,27,62,False
