date,partnership,patron,patronage,precious,priceless,isPartial
2015-02-16,49,35,2,41,5,False
2015-02-17,55,40,4,71,4,False
2015-02-18,63,36,5,52,5,False
2015-02-19,57,32,5,56,7,False
2015-02-20,59,43,4,56,4,False
2015-02-21,27,42,2,56,7,False
2015-02-22,29,45,2,43,2,False
2015-02-23,57,39,3,50,4,False
2015-02-24,68,28,5,41,5,False
2015-02-25,61,34,5,45,5,False
2015-02-26,62,36,7,39,5,False
2015-02-27,59,38,4,53,5,False
2015-02-28,35,48,3,43,4,False
2015-03-01,31,46,4,45,8,False
2015-03-02,66,38,3,46,6,False
2015-03-03,71,32,5,41,5,False
2015-03-04,68,39,7,53,4,False
2015-03-05,64,37,4,49,5,False
2015-03-06,50,41,4,49,4,False
2015-03-07,38,48,1,40,5,False
2015-03-08,30,45,3,50,7,False
2015-03-09,62,37,3,48,6,False
2015-03-10,65,40,3,47,6,False
2015-03-11,65,45,3,37,8,False
2015-03-12,63,38,3,47,7,False
2015-03-13,55,45,4,40,7,False
2015-03-14,35,51,2,40,6,False
2015-03-15,36,50,2,41,5,False
2015-03-16,66,48,5,40,4,False
2015-03-17,60,59,5,41,7,False
2015-03-18,60,59,3,39,8,False
2015-03-19,58,49,3,48,4,False
2015-03-20,53,38,3,51,4,False
2015-03-21,27,44,1,47,5,False
2015-03-22,26,51,1,45,5,False
2015-03-23,62,41,3,46,4,False
2015-03-24,65,46,4,43,8,False
2015-03-25,59,35,3,43,6,False
2015-03-26,87,44,3,41,7,False
2015-03-27,61,36,3,46,8,False
2015-03-28,33,39,4,43,10,False
2015-03-29,36,52,2,45,8,False
2015-03-30,69,36,4,37,5,False
2015-03-31,71,47,5,43,8,False
2015-04-01,68,40,4,33,6,False
2015-04-02,73,42,3,45,5,False
2015-04-03,56,49,1,41,6,False
2015-04-04,33,37,2,43,6,False
2015-04-05,27,49,2,55,5,False
2015-04-06,65,41,3,37,4,False
2015-04-07,65,40,4,37,6,False
2015-04-08,69,33,3,33,7,False
2015-04-09,69,45,3,42,6,False
2015-04-10,62,45,3,42,7,False
2015-04-11,45,47,2,42,9,False
2015-04-12,32,47,2,35,6,False
2015-04-13,80,36,4,38,5,False
2015-04-14,77,41,6,34,5,False
2015-04-15,76,43,4,38,8,False
2015-04-16,61,33,3,44,8,False
2015-04-17,60,41,1,40,7,False
2015-04-18,28,50,9,35,9,False
2015-04-19,28,50,5,42,7,False
2015-04-20,62,29,6,40,8,False
2015-04-21,76,41,2,44,6,False
2015-04-22,70,36,3,42,4,False
2015-04-23,69,46,4,43,7,False
2015-04-24,62,56,4,42,6,False
2015-04-25,30,49,4,41,5,False
2015-04-26,38,58,1,47,6,False
2015-04-27,65,37,3,40,5,False
2015-04-28,67,44,4,38,8,False
2015-04-29,63,35,3,36,6,False
2015-04-30,65,40,6,48,10,False
2015-05-01,59,45,3,34,5,False
2015-05-02,30,56,1,42,4,False
2015-05-03,32,52,2,41,9,False
2015-05-04,66,44,2,39,7,False
