date,liquidation,pollution,poor,poverty,race,isPartial
2006-10-13,1,4,5,3,21,False
2006-10-14,0,2,6,2,24,False
2006-10-15,0,3,4,3,26,False
2006-10-16,1,3,4,3,31,False
2006-10-17,1,3,6,4,23,False
2006-10-18,0,3,4,4,24,False
2006-10-19,1,4,5,4,23,False
2006-10-20,1,3,5,3,27,False
2006-10-21,1,2,6,3,28,False
2006-10-22,1,3,5,3,28,False
2006-10-23,1,5,5,4,33,False
2006-10-24,1,4,6,5,28,False
2006-10-25,1,5,5,5,25,False
2006-10-26,1,4,5,4,23,False
2006-10-27,1,3,5,3,26,False
2006-10-28,1,2,4,3,24,False
2006-10-29,1,2,4,3,29,False
2006-10-30,0,4,5,3,33,False
2006-10-31,0,3,5,4,29,False
2006-11-01,1,3,5,4,25,False
2006-11-02,1,3,5,5,25,False
2006-11-03,1,2,5,3,24,False
2006-11-04,1,0,2,2,27,False
2006-11-05,1,1,3,3,32,False
2006-11-06,0,4,5,4,41,False
2006-11-07,0,3,4,4,44,False
2006-11-08,0,4,5,4,100,False
2006-11-09,0,3,6,4,34,False
2006-11-10,1,3,4,4,21,False
2006-11-11,1,1,4,2,23,False
2006-11-12,1,2,5,3,21,False
2006-11-13,1,3,5,5,26,False
2006-11-14,0,5,4,4,20,False
2006-11-15,1,5,5,4,19,False
2006-11-16,0,5,5,4,18,False
2006-11-17,1,3,5,4,20,False
2006-11-18,1,2,5,3,20,False
2006-11-19,1,3,5,3,23,False
2006-11-20,1,5,6,5,23,False
2006-11-21,1,4,4,4,19,False
2006-11-22,1,2,4,2,17,False
2006-11-23,1,1,3,1,22,False
2006-11-24,1,1,4,2,21,False
2006-11-25,1,3,5,2,19,False
2006-11-26,0,3,6,3,18,False
2006-11-27,1,3,5,5,24,False
2006-11-28,1,4,5,5,17,False
2006-11-29,1,4,5,4,16,False
2006-11-30,1,4,5,5,15,False
2006-12-01,1,3,5,4,16,False
2006-12-02,1,2,4,2,20,False
2006-12-03,1,3,7,3,20,False
2006-12-04,1,4,5,5,23,False
2006-12-05,0,4,5,5,22,False
2006-12-06,1,5,6,5,17,False
2006-12-07,0,4,5,4,18,False
2006-12-08,1,4,4,4,17,False
2006-12-09,1,1,4,2,19,False
2006-12-10,1,2,4,4,21,False
2006-12-11,1,4,4,5,38,False
2006-12-12,1,3,5,4,21,False
2006-12-13,1,4,5,4,19,False
2006-12-14,1,3,5,4,19,False
2006-12-15,1,3,4,3,17,False
2006-12-16,1,1,4,2,18,False
2006-12-17,1,2,3,2,22,False
2006-12-18,1,3,5,2,18,False
2006-12-19,1,2,4,2,17,False
2006-12-20,1,2,4,2,17,False
2006-12-21,1,2,4,2,16,False
2006-12-22,1,1,3,1,16,False
2006-12-23,1,1,4,2,18,False
2006-12-24,0,1,4,1,16,False
2006-12-25,1,0,4,1,18,False
2006-12-26,0,1,4,2,17,False
2006-12-27,1,1,3,2,16,False
