date,cost,crisis,deficit,depreciation,domination,isPartial
2009-07-25,66,5,0,1,1,False
2009-07-26,75,5,1,1,1,False
2009-07-27,85,7,1,1,0,False
2009-07-28,87,8,1,1,1,False
2009-07-29,79,7,2,2,1,False
2009-07-30,80,7,2,1,1,False
2009-07-31,74,6,2,2,1,False
2009-08-01,74,5,1,0,2,False
2009-08-02,74,6,1,1,2,False
2009-08-03,75,6,1,2,1,False
2009-08-04,80,7,2,1,1,False
2009-08-05,79,7,2,1,1,False
2009-08-06,79,6,2,1,1,False
2009-08-07,75,6,1,1,1,False
2009-08-08,67,6,2,0,1,False
2009-08-09,78,5,1,1,1,False
2009-08-10,84,8,1,1,1,False
2009-08-11,85,6,2,2,1,False
2009-08-12,80,6,2,1,1,False
2009-08-13,77,8,2,1,1,False
2009-08-14,70,6,3,1,1,False
2009-08-15,73,6,1,1,1,False
2009-08-16,78,5,1,1,2,False
2009-08-17,81,7,2,1,1,False
2009-08-18,76,6,1,1,1,False
2009-08-19,78,7,2,2,1,False
2009-08-20,73,7,2,2,1,False
2009-08-21,75,7,2,1,1,False
2009-08-22,73,6,2,1,1,False
2009-08-23,76,7,2,0,2,False
2009-08-24,76,7,3,1,1,False
2009-08-25,79,7,4,1,1,False
2009-08-26,79,8,3,1,1,False
2009-08-27,80,8,2,1,1,False
2009-08-28,74,6,2,1,1,False
2009-08-29,67,6,1,1,1,False
2009-08-30,69,6,1,1,1,False
2009-08-31,76,7,1,1,1,False
2009-09-01,79,8,2,1,1,False
2009-09-02,83,9,2,1,1,False
2009-09-03,70,7,3,2,1,False
2009-09-04,73,6,2,2,1,False
2009-09-05,67,6,1,1,1,False
2009-09-06,72,6,1,1,1,False
2009-09-07,73,7,2,2,1,False
2009-09-08,80,8,2,1,1,False
2009-09-09,75,8,2,2,1,False
2009-09-10,81,8,3,2,1,False
2009-09-11,74,6,3,1,1,False
2009-09-12,70,6,2,1,1,False
2009-09-13,73,7,2,1,2,False
2009-09-14,79,8,2,2,1,False
2009-09-15,80,10,2,2,1,False
