date,lay,liquidate,miser,owe,recession,isPartial
2006-10-13,45,0,3,5,4,False
2006-10-14,67,0,2,3,3,False
2006-10-15,63,0,6,3,1,False
2006-10-16,56,1,3,3,2,False
2006-10-17,65,0,3,4,4,False
2006-10-18,86,1,3,3,3,False
2006-10-19,69,2,4,5,4,False
2006-10-20,71,0,1,2,5,False
2006-10-21,79,0,3,7,1,False
2006-10-22,65,1,3,4,7,False
2006-10-23,69,0,2,7,5,False
2006-10-24,71,0,4,4,4,False
2006-10-25,52,0,2,6,4,False
2006-10-26,66,0,2,3,3,False
2006-10-27,61,0,5,4,4,False
2006-10-28,77,1,1,4,6,False
2006-10-29,65,0,4,4,6,False
2006-10-30,75,0,2,4,4,False
2006-10-31,53,0,0,7,3,False
2006-11-01,61,1,2,8,3,False
2006-11-02,70,1,1,6,5,False
2006-11-03,65,0,4,4,3,False
2006-11-04,52,0,3,1,4,False
2006-11-05,87,1,7,3,1,False
2006-11-06,58,0,6,5,1,False
2006-11-07,59,1,2,6,3,False
2006-11-08,52,0,1,3,6,False
2006-11-09,72,1,0,3,10,False
2006-11-10,55,0,5,0,3,False
2006-11-11,84,3,3,3,4,False
2006-11-12,73,0,4,4,3,False
2006-11-13,52,0,4,2,5,False
2006-11-14,47,0,3,4,3,False
2006-11-15,69,0,2,3,8,False
2006-11-16,39,0,4,6,4,False
2006-11-17,54,1,3,7,5,False
2006-11-18,57,1,6,1,0,False
2006-11-19,64,1,4,6,1,False
2006-11-20,53,0,4,4,5,False
2006-11-21,39,0,1,6,3,False
2006-11-22,52,0,4,2,3,False
2006-11-23,54,3,3,5,2,False
2006-11-24,44,0,7,1,4,False
2006-11-25,52,0,3,4,6,False
2006-11-26,63,0,4,7,3,False
2006-11-27,52,0,4,1,4,False
2006-11-28,49,0,3,6,7,False
2006-11-29,69,0,3,7,3,False
2006-11-30,57,0,4,4,3,False
2006-12-01,56,0,5,3,3,False
2006-12-02,56,0,6,4,5,False
2006-12-03,81,0,4,10,5,False
2006-12-04,40,1,6,4,5,False
2006-12-05,40,1,17,2,5,False
2006-12-06,63,0,8,7,8,False
2006-12-07,46,0,9,3,8,False
2006-12-08,55,0,7,6,3,False
2006-12-09,75,0,17,6,4,False
2006-12-10,65,0,4,7,5,False
2006-12-11,58,1,7,4,6,False
2006-12-12,50,1,7,2,2,False
2006-12-13,62,1,8,3,3,False
2006-12-14,50,1,10,7,4,False
2006-12-15,56,1,5,6,7,False
2006-12-16,49,1,11,8,3,False
2006-12-17,47,0,10,1,6,False
2006-12-18,43,0,11,4,1,False
2006-12-19,59,0,5,5,5,False
2006-12-20,55,0,5,3,5,False
2006-12-21,55,0,14,3,3,False
2006-12-22,53,0,14,3,4,False
2006-12-23,100,0,8,3,3,False
2006-12-24,67,0,12,0,2,False
2006-12-25,60,0,15,11,2,False
2006-12-26,70,0,2,6,5,False
2006-12-27,54,2,3,7,1,False
2006-12-28,48,0,5,5,1,False
2006-12-29,54,0,1,2,4,False
2006-12-30,55,0,3,5,3,False
2006-12-31,60,0,4,6,1,False
2007-01-01,38,0,5,8,5,False
2007-01-02,62,1,3,5,3,False
2007-01-03,55,0,3,3,2,False
2007-01-04,46,2,3,5,3,False
2007-01-05,47,0,1,5,1,False
2007-01-06,51,0,3,4,3,False
2007-01-07,67,0,4,4,4,False
2007-01-08,52,1,4,3,3,False
2007-01-09,48,1,3,4,4,False
2007-01-10,62,0,3,2,3,False
2007-01-11,56,0,2,7,1,False
2007-01-12,43,0,3,4,2,False
2007-01-13,59,0,2,4,0,False
2007-01-14,68,0,1,4,1,False
2007-01-15,56,0,0,6,5,False
2007-01-16,46,0,2,4,4,False
2007-01-17,61,1,2,7,4,False
2007-01-18,44,1,2,6,4,False
