date,boom,breadwinner,buy,capitalize,charitable,isPartial
2005-05-23,2,0,37,0,1,False
2005-05-24,2,0,35,0,0,False
2005-05-25,2,0,34,0,0,False
2005-05-26,3,0,35,0,1,False
2005-05-27,2,0,39,0,1,False
2005-05-28,2,0,49,0,0,False
2005-05-29,3,0,44,0,0,False
2005-05-30,2,0,48,0,0,False
2005-05-31,2,0,36,0,1,False
2005-06-01,2,0,36,0,1,False
2005-06-02,2,0,35,0,1,False
2005-06-03,2,0,38,0,0,False
2005-06-04,2,0,45,0,0,False
2005-06-05,2,0,48,0,0,False
2005-06-06,3,0,38,0,1,False
2005-06-07,2,0,39,0,1,False
2005-06-08,2,0,38,0,1,False
2005-06-09,2,0,36,0,0,False
2005-06-10,3,0,36,0,1,False
2005-06-11,3,0,46,0,0,False
2005-06-12,3,0,50,0,0,False
2005-06-13,3,0,41,0,1,False
2005-06-14,3,0,41,0,1,False
2005-06-15,3,0,37,0,1,False
2005-06-16,2,0,41,0,1,False
2005-06-17,2,0,37,0,0,False
2005-06-18,4,0,48,0,1,False
2005-06-19,3,0,50,0,0,False
2005-06-20,2,0,40,0,1,False
2005-06-21,3,0,36,0,1,False
2005-06-22,2,0,35,0,0,False
2005-06-23,2,0,35,0,1,False
2005-06-24,3,0,38,0,0,False
2005-06-25,2,0,46,0,0,False
2005-06-26,2,0,49,0,0,False
2005-06-27,2,0,39,0,1,False
2005-06-28,2,0,37,0,1,False
2005-06-29,3,0,38,0,1,False
2005-06-30,3,0,40,0,0,False
2005-07-01,4,0,37,0,0,False
2005-07-02,5,0,47,0,0,False
2005-07-03,3,0,53,0,0,False
2005-07-04,3,0,46,0,0,False
2005-07-05,2,0,36,0,0,False
2005-07-06,2,0,37,0,1,False
2005-07-07,2,0,37,0,1,False
2005-07-08,2,0,36,0,1,False
2005-07-09,2,0,48,0,1,False
2005-07-10,2,0,50,0,0,False
2005-07-11,2,0,39,0,1,False
2005-07-12,2,0,38,0,1,False
2005-07-13,2,0,37,0,1,False
2005-07-14,2,0,37,0,1,False
2005-07-15,3,0,38,0,1,False
2005-07-16,2,0,47,0,0,False
2005-07-17,2,0,50,0,0,False
2005-07-18,2,0,39,0,1,False
2005-07-19,2,0,38,0,1,False
2005-07-20,2,0,36,0,1,False
2005-07-21,2,0,37,0,1,False
2005-07-22,2,0,39,0,0,False
2005-07-23,1,0,45,0,0,False
2005-07-24,2,0,49,0,0,False
2005-07-25,2,0,39,0,1,False
2005-07-26,1,0,39,0,1,False
2005-07-27,2,0,40,0,1,False
2005-07-28,2,0,37,0,1,False
2005-07-29,1,0,39,0,1,False
2005-07-30,2,0,47,0,1,False
2005-07-31,2,0,48,0,0,False
2005-08-01,2,0,41,0,1,False
2005-08-02,2,0,38,0,0,False
2005-08-03,2,0,39,0,1,False
2005-08-04,2,0,39,0,1,False
2005-08-05,2,0,43,0,1,False
2005-08-06,3,0,49,0,0,False
2005-08-07,2,0,51,0,1,False
2005-08-08,2,0,37,0,0,False
2005-08-09,3,0,41,0,1,False
2005-08-10,2,0,36,0,1,False
2005-08-11,2,0,39,0,1,False
2005-08-12,1,0,38,0,1,False
2005-08-13,2,0,47,0,0,False
2005-08-14,2,0,52,0,0,False
2005-08-15,1,0,41,0,0,False
2005-08-16,2,0,39,0,0,False
2005-08-17,2,0,37,0,1,False
2005-08-18,1,0,38,0,1,False
2005-08-19,2,0,37,0,1,False
2005-08-20,1,0,45,0,0,False
2005-08-21,2,0,51,0,0,False
2005-08-22,2,0,42,0,0,False
2005-08-23,2,0,39,0,1,False
2005-08-24,4,0,38,0,1,False
2005-08-25,2,0,33,0,1,False
2005-08-26,2,0,38,0,0,False
2005-08-27,2,0,42,0,0,False
2005-08-28,2,0,44,0,0,False
2005-08-29,2,0,38,0,1,False
2005-08-30,2,0,35,0,1,False
2005-08-31,1,0,36,0,1,False
2005-09-01,1,0,32,0,1,False
2005-09-02,2,0,33,0,1,False
2005-09-03,3,0,42,0,0,False
2005-09-04,2,0,45,0,0,False
2005-09-05,2,0,44,0,0,False
2005-09-06,2,0,36,0,1,False
2005-09-07,1,0,34,0,1,False
2005-09-08,2,0,33,0,1,False
2005-09-09,2,0,34,0,1,False
2005-09-10,2,0,45,0,0,False
2005-09-11,2,0,43,0,0,False
2005-09-12,2,0,34,0,1,False
2005-09-13,1,0,35,0,1,False
2005-09-14,2,0,35,0,1,False
2005-09-15,1,0,36,0,1,False
2005-09-16,2,0,34,0,0,False
2005-09-17,2,0,44,0,0,False
