date,aristocracy,aristocrat,aristocratic,associate,backer,isPartial
2011-08-26,3,6,0,67,9,False
2011-08-27,1,6,0,48,5,False
2011-08-28,4,4,1,56,4,False
2011-08-29,0,5,0,88,4,False
2011-08-30,2,4,0,81,7,False
2011-08-31,1,5,0,73,5,False
2011-09-01,3,3,0,67,4,False
2011-09-02,1,3,1,73,4,False
2011-09-03,1,3,0,50,4,False
2011-09-04,1,4,0,52,8,False
2011-09-05,4,7,1,60,4,False
2011-09-06,5,5,0,77,4,False
2011-09-07,4,4,1,81,4,False
2011-09-08,4,7,1,82,7,False
2011-09-09,4,2,1,75,6,False
2011-09-10,1,7,1,54,4,False
2011-09-11,2,4,1,59,2,False
2011-09-12,3,4,2,76,5,False
2011-09-13,5,4,0,84,7,False
2011-09-14,5,6,1,85,3,False
2011-09-15,4,2,2,76,3,False
2011-09-16,3,5,1,79,3,False
2011-09-17,2,6,0,57,4,False
2011-09-18,4,2,1,56,5,False
2011-09-19,4,4,1,73,5,False
2011-09-20,5,8,1,76,6,False
2011-09-21,5,6,0,78,5,False
2011-09-22,4,6,1,84,6,False
2011-09-23,2,5,2,75,5,False
2011-09-24,3,4,0,48,7,False
2011-09-25,1,5,0,61,8,False
2011-09-26,4,3,2,84,4,False
2011-09-27,4,6,1,80,6,False
2011-09-28,5,2,1,77,5,False
2011-09-29,5,2,0,87,6,False
2011-09-30,1,5,0,61,7,False
2011-10-01,2,7,1,55,5,False
2011-10-02,5,3,0,53,9,False
2011-10-03,6,4,2,86,6,False
2011-10-04,2,3,1,72,6,False
2011-10-05,4,6,1,84,5,False
2011-10-06,4,4,0,76,6,False
2011-10-07,2,4,2,63,7,False
2011-10-08,1,4,0,55,9,False
2011-10-09,3,6,0,50,8,False
2011-10-10,3,6,1,73,6,False
2011-10-11,4,3,0,76,6,False
2011-10-12,6,4,0,82,3,False
2011-10-13,4,5,2,83,4,False
2011-10-14,4,5,2,74,7,False
2011-10-15,2,3,1,51,4,False
2011-10-16,2,5,1,55,7,False
2011-10-17,3,3,2,80,4,False
2011-10-18,4,5,1,73,8,False
2011-10-19,3,4,1,80,6,False
2011-10-20,2,4,1,82,4,False
2011-10-21,3,3,0,68,8,False
2011-10-22,1,5,0,49,5,False
2011-10-23,2,3,0,66,4,False
2011-10-24,3,4,0,77,2,False
2011-10-25,2,5,2,75,3,False
2011-10-26,2,2,1,81,5,False
2011-10-27,2,5,1,79,3,False
2011-10-28,3,4,2,61,6,False
2011-10-29,4,3,1,53,5,False
2011-10-30,2,5,1,49,4,False
2011-10-31,4,6,2,70,6,False
2011-11-01,4,6,0,81,6,False
2011-11-02,5,4,0,93,5,False
2011-11-03,4,4,2,75,4,False
2011-11-04,2,5,0,74,6,False
2011-11-05,1,5,1,66,4,False
2011-11-06,1,2,1,50,6,False
