date,prosper,prosperity,isPartial
2013-09-26,31,48,False
2013-09-27,28,48,False
2013-09-28,26,31,False
2013-09-29,13,26,False
2013-09-30,26,36,False
2013-10-01,23,41,False
2013-10-02,32,50,False
2013-10-03,30,38,False
2013-10-04,30,37,False
2013-10-05,25,27,False
2013-10-06,18,25,False
2013-10-07,20,42,False
2013-10-08,23,52,False
2013-10-09,30,39,False
2013-10-10,26,41,False
2013-10-11,31,43,False
2013-10-12,29,29,False
2013-10-13,15,29,False
2013-10-14,28,40,False
2013-10-15,25,42,False
2013-10-16,28,41,False
2013-10-17,23,43,False
2013-10-18,22,38,False
2013-10-19,27,27,False
2013-10-20,21,24,False
2013-10-21,27,35,False
2013-10-22,19,47,False
2013-10-23,24,44,False
2013-10-24,23,42,False
2013-10-25,25,40,False
2013-10-26,19,31,False
2013-10-27,23,35,False
2013-10-28,29,37,False
2013-10-29,22,45,False
2013-10-30,26,40,False
2013-10-31,20,40,False
2013-11-01,26,50,False
2013-11-02,13,29,False
2013-11-03,21,31,False
2013-11-04,21,52,False
2013-11-05,21,51,False
2013-11-06,23,44,False
2013-11-07,21,39,False
2013-11-08,21,50,False
2013-11-09,27,27,False
2013-11-10,14,23,False
2013-11-11,24,39,False
2013-11-12,21,37,False
2013-11-13,22,47,False
2013-11-14,27,47,False
2013-11-15,21,35,False
2013-11-16,19,33,False
2013-11-17,22,30,False
2013-11-18,20,49,False
2013-11-19,26,35,False
2013-11-20,27,45,False
2013-11-21,20,43,False
2013-11-22,19,35,False
2013-11-23,20,27,False
2013-11-24,15,28,False
2013-11-25,18,46,False
2013-11-26,23,34,False
2013-11-27,19,31,False
2013-11-28,13,22,False
2013-11-29,16,32,False
2013-11-30,18,20,False
2013-12-01,15,28,False
2013-12-02,14,39,False
2013-12-03,24,49,False
2013-12-04,28,41,False
2013-12-05,24,35,False
2013-12-06,25,44,False
2013-12-07,21,36,False
2013-12-08,22,29,False
2013-12-09,22,41,False
2013-12-10,23,29,False
2013-12-11,28,49,False
2013-12-12,19,55,False
2013-12-13,23,51,False
2013-12-14,23,35,False
2013-12-15,15,42,False
2013-12-16,25,46,False
2013-12-17,32,48,False
2013-12-18,29,44,False
2013-12-19,20,47,False
2013-12-20,23,49,False
2013-12-21,17,30,False
2013-12-22,20,22,False
2013-12-23,23,39,False
2013-12-24,19,43,False
2013-12-25,15,26,False
2013-12-26,16,39,False
2013-12-27,12,39,False
2013-12-28,11,36,False
2013-12-29,18,40,False
2013-12-30,20,53,False
2013-12-31,34,75,False
2014-01-01,32,100,False
2014-01-02,26,59,False
2014-01-03,15,42,False
2014-01-04,20,32,False
2014-01-05,20,31,False
2014-01-06,21,44,False
2014-01-07,23,44,False
2014-01-08,30,51,False
2014-01-09,29,49,False
2014-01-10,24,46,False
2014-01-11,22,27,False
2014-01-12,20,28,False
2014-01-13,25,50,False
2014-01-14,29,61,False
2014-01-15,28,57,False
2014-01-16,30,62,False
2014-01-17,28,44,False
2014-01-18,26,37,False
2014-01-19,26,36,False
2014-01-20,21,35,False
2014-01-21,28,43,False
2014-01-22,24,40,False
2014-01-23,28,48,False
2014-01-24,25,44,False
2014-01-25,24,44,False
2014-01-26,24,27,False
2014-01-27,20,38,False
2014-01-28,25,46,False
2014-01-29,29,51,False
2014-01-30,24,42,False
2014-01-31,24,65,False
2014-02-01,24,54,False
2014-02-02,23,33,False
2014-02-03,24,49,False
2014-02-04,16,50,False
2014-02-05,24,40,False
2014-02-06,35,57,False
2014-02-07,34,52,False
2014-02-08,13,36,False
2014-02-09,21,31,False
2014-02-10,22,52,False
2014-02-11,22,53,False
2014-02-12,21,48,False
2014-02-13,23,42,False
2014-02-14,18,42,False
2014-02-15,19,31,False
2014-02-16,21,38,False
2014-02-17,20,34,False
2014-02-18,24,44,False
2014-02-19,26,45,False
2014-02-20,20,45,False
2014-02-21,23,35,False
2014-02-22,21,42,False
2014-02-23,26,27,False
2014-02-24,19,49,False
2014-02-25,26,46,False
2014-02-26,24,52,False
2014-02-27,30,52,False
2014-02-28,20,41,False
2014-03-01,13,34,False
2014-03-02,24,34,False
2014-03-03,25,40,False
2014-03-04,23,51,False
2014-03-05,19,48,False
2014-03-06,25,55,False
2014-03-07,28,56,False
2014-03-08,19,35,False
2014-03-09,17,26,False
2014-03-10,27,40,False
2014-03-11,24,49,False
2014-03-12,20,38,False
2014-03-13,24,50,False
2014-03-14,19,45,False
2014-03-15,23,24,False
2014-03-16,19,27,False
2014-03-17,34,49,False
2014-03-18,25,46,False
2014-03-19,28,48,False
2014-03-20,31,43,False
2014-03-21,30,48,False
2014-03-22,23,34,False
2014-03-23,25,37,False
2014-03-24,23,54,False
2014-03-25,32,54,False
2014-03-26,26,42,False
2014-03-27,34,48,False
2014-03-28,23,48,False
2014-03-29,20,34,False
2014-03-30,20,33,False
2014-03-31,27,50,False
2014-04-01,26,44,False
2014-04-02,24,50,False
2014-04-03,28,51,False
2014-04-04,24,50,False
2014-04-05,28,24,False
2014-04-06,22,27,False
2014-04-07,26,46,False
2014-04-08,34,44,False
