date,poverty,recession,crisis,bonus,entrepreneurial
2004-01-01,11.1619843725,0.0,89.9562486825,58.7250577377,0.0
2004-01-02,44.64793749,0.0,77.758791234,29.3625288689,0.0
2004-01-03,19.1348303529,6.95111111111,59.4626050613,48.0477745127,4.21220649115
2004-01-04,31.8913839214,0.0,65.5613337855,52.0517557221,0.0
2004-01-05,43.0533682939,0.0,83.8575199583,61.394378544,0.0
2004-01-06,35.0805223136,0.0,67.0860159666,58.7250577377,0.0
2004-01-07,63.7827678428,1.73777777778,88.4315665014,18.6852456438,7.37136135951
2004-01-08,63.7827678428,0.0,85.3822021393,37.3704912877,2.10610324557
2004-01-09,68.566475431,0.0,54.8885585181,18.6852456438,0.0
2004-01-10,54.2153526664,3.47555555556,51.839194156,34.7011704814,7.37136135951
2004-01-11,73.3501830193,3.47555555556,41.1664188886,41.374472497,4.21220649115
2004-01-12,57.4044910586,1.73777777778,51.839194156,45.3784537064,2.10610324557
2004-01-13,76.5393214114,1.73777777778,86.9068843204,46.7131141096,2.10610324557
2004-01-14,66.971906235,1.73777777778,102.153706131,33.3665100783,2.10610324557
2004-01-15,74.9447522153,0.0,91.4809308636,45.3784537064,2.10610324557
2004-01-16,52.6207834703,0.0,83.8575199583,44.0437933033,0.0
2004-01-17,47.8370758821,0.0,62.5119694234,40.0398120939,0.0
2004-01-18,41.4587990978,3.47555555556,51.839194156,25.3585476595,4.21220649115
2004-01-19,28.7022455293,0.0,118.925210123,33.3665100783,5.26525811394
2004-01-20,46.2425066861,6.08222222222,33.5430079833,21.3545664501,0.0
2004-01-21,58.9990602546,1.73777777778,70.1353803287,38.7051516908,0.0
2004-01-22,76.5393214114,1.73777777778,86.9068843204,41.374472497,2.10610324557
2004-01-23,58.9990602546,0.0,59.4626050613,52.0517557221,0.0
2004-01-24,17.5402611568,6.08222222222,74.7094268719,42.7091329002,0.0
2004-01-25,38.2696607057,0.0,47.2651476128,37.3704912877,0.0
2004-01-26,79.7284598035,6.08222222222,76.234109053,37.3704912877,4.21220649115
2004-01-27,47.8370758821,13.0333333333,74.7094268719,54.7210765283,0.0
2004-01-28,86.1067365878,3.47555555556,105.203070493,40.0398120939,6.31830973672
2004-01-29,49.4316450782,6.08222222222,67.0860159666,46.7131141096,2.10610324557
2004-01-30,44.64793749,4.34444444444,80.8081555961,46.7131141096,0.0
2004-01-31,44.64793749,3.47555555556,97.5796595878,61.394378544,0.0
2004-02-01,51.0262142743,6.08222222222,48.7898297939,38.7051516908,0.0
2004-02-02,76.5393214114,5.21333333333,57.9379228802,28.0278684657,2.10610324557
2004-02-03,76.5393214114,1.73777777778,85.3822021393,42.7091329002,6.31830973672
2004-02-04,55.8099218625,1.73777777778,71.6600625098,41.374472497,0.0
2004-02-05,62.1881986468,3.47555555556,86.9068843204,33.3665100783,0.0
2004-02-06,76.5393214114,1.73777777778,51.839194156,37.3704912877,0.0
2004-02-07,14.3511227646,0.0,99.1043417688,50.717095319,0.0
2004-02-08,74.9447522153,0.0,64.0366516045,34.7011704814,0.0
