date,bargain,benefactor,beneficiary,benefit,benevolence,isPartial
2010-12-15,18,1,7,67,1,False
2010-12-16,17,2,7,71,0,False
2010-12-17,20,0,6,66,1,False
2010-12-18,20,0,2,45,1,False
2010-12-19,28,1,1,39,0,False
2010-12-20,22,0,5,66,2,False
2010-12-21,17,1,9,65,0,False
2010-12-22,20,0,7,64,1,False
2010-12-23,15,1,5,55,1,False
2010-12-24,19,1,2,41,1,False
2010-12-25,11,1,1,27,1,False
2010-12-26,21,0,2,28,1,False
2010-12-27,20,0,6,53,0,False
2010-12-28,21,0,8,59,1,False
2010-12-29,24,2,7,63,0,False
2010-12-30,17,0,7,65,3,False
2010-12-31,21,1,5,52,0,False
2011-01-01,21,2,2,44,2,False
2011-01-02,18,1,3,47,1,False
2011-01-03,26,1,7,81,1,False
2011-01-04,23,2,6,90,1,False
2011-01-05,25,1,5,82,1,False
2011-01-06,25,2,8,89,1,False
2011-01-07,25,0,8,74,2,False
2011-01-08,22,1,4,59,2,False
2011-01-09,21,1,3,50,1,False
2011-01-10,26,1,6,85,2,False
2011-01-11,21,0,9,78,1,False
2011-01-12,20,1,7,75,1,False
2011-01-13,21,1,5,88,2,False
2011-01-14,23,1,9,75,2,False
2011-01-15,27,0,2,55,1,False
2011-01-16,35,2,2,50,0,False
2011-01-17,22,1,7,70,1,False
2011-01-18,18,0,7,87,1,False
2011-01-19,21,0,7,80,2,False
2011-01-20,23,1,7,96,1,False
2011-01-21,22,1,7,81,0,False
2011-01-22,24,1,3,50,1,False
2011-01-23,22,1,4,60,2,False
2011-01-24,27,2,6,90,1,False
2011-01-25,30,2,8,89,1,False
2011-01-26,20,0,5,83,2,False
2011-01-27,25,1,7,86,2,False
2011-01-28,25,1,7,77,1,False
2011-01-29,28,1,4,61,1,False
2011-01-30,26,0,4,62,2,False
2011-01-31,20,2,6,87,2,False
2011-02-01,21,1,6,76,1,False
2011-02-02,29,1,8,71,0,False
2011-02-03,26,1,6,82,2,False
2011-02-04,26,0,6,80,1,False
2011-02-05,24,1,3,53,1,False
2011-02-06,27,2,1,61,2,False
2011-02-07,23,1,8,88,1,False
2011-02-08,22,3,11,81,1,False
2011-02-09,20,0,10,82,2,False
2011-02-10,24,1,8,79,2,False
2011-02-11,20,5,6,78,2,False
2011-02-12,22,3,4,47,0,False
2011-02-13,25,1,4,63,2,False
2011-02-14,18,5,6,81,0,False
2011-02-15,15,1,10,90,2,False
2011-02-16,22,1,8,81,2,False
2011-02-17,21,1,6,80,1,False
2011-02-18,19,1,7,75,1,False
2011-02-19,25,0,3,60,1,False
2011-02-20,23,1,5,60,2,False
2011-02-21,25,1,6,67,2,False
2011-02-22,21,3,7,71,1,False
2011-02-23,24,1,6,80,0,False
2011-02-24,18,1,6,87,1,False
2011-02-25,28,2,6,78,1,False
2011-02-26,30,2,5,52,0,False
2011-02-27,23,2,4,68,1,False
2011-02-28,23,0,6,80,2,False
2011-03-01,23,1,7,90,2,False
2011-03-02,23,2,6,83,3,False
2011-03-03,25,1,7,75,1,False
2011-03-04,28,1,6,78,0,False
2011-03-05,29,1,3,59,1,False
2011-03-06,25,2,2,67,2,False
2011-03-07,23,0,7,73,2,False
2011-03-08,27,3,5,81,2,False
2011-03-09,20,2,9,86,2,False
2011-03-10,24,0,6,77,3,False
2011-03-11,22,2,7,72,3,False
2011-03-12,20,0,2,51,0,False
2011-03-13,21,1,3,48,2,False
2011-03-14,17,0,5,69,2,False
2011-03-15,20,1,7,81,0,False
2011-03-16,25,2,5,76,2,False
2011-03-17,24,0,10,81,1,False
2011-03-18,22,1,8,66,1,False
2011-03-19,25,0,4,55,1,False
2011-03-20,24,0,3,56,0,False
2011-03-21,25,0,6,88,1,False
2011-03-22,24,1,8,79,1,False
2011-03-23,20,2,12,83,2,False
2011-03-24,22,2,5,76,1,False
2011-03-25,20,1,7,72,1,False
2011-03-26,22,0,2,60,2,False
2011-03-27,17,0,4,62,2,False
2011-03-28,21,1,11,87,2,False
2011-03-29,24,1,12,89,1,False
2011-03-30,22,1,7,83,2,False
