date,squander,tariff,underworld,uneconomical,unemployed
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,0.0,41.9980846186,7.86654648749,0.0,5.41246693571
2004-03-25,0.0,15.749281732,47.199278925,0.0,16.2374008071
2004-03-26,0.0,13.9993615395,31.46618595,0.0,7.21662258095
2004-03-27,0.0,6.99968076976,68.1767362249,0.0,37.88726855
2004-03-28,0.0,0.0,81.2876470374,0.0,0.0
2004-03-29,0.0,8.7496009622,52.44364325,0.0,3.60831129047
2004-03-30,0.0,36.7483240413,41.9549146,0.0,12.6290895167
2004-03-31,0.0,41.9980846186,26.221821625,0.0,12.6290895167
2004-04-01,0.0,33.2484836564,49.8214610875,0.0,3.60831129047
2004-04-02,0.0,22.7489625017,41.9549146,0.0,0.0
2004-04-03,0.0,29.7486432715,23.5996394625,0.0,7.21662258095
2004-04-04,0.0,6.99968076976,86.5320113624,0.0,21.6498677428
2004-04-05,0.0,17.4992019244,47.199278925,0.0,18.0415564524
2004-04-06,0.0,26.2488028866,57.688007575,0.0,3.60831129047
2004-04-07,0.0,8.7496009622,44.5770967625,0.0,9.02077822619
2004-04-08,0.0,13.9993615395,39.3327324375,0.0,0.0
2004-04-09,0.0,5.24976057732,31.46618595,0.0,10.8249338714
2004-04-10,0.0,0.0,44.5770967625,0.0,0.0
2004-04-11,0.0,0.0,73.4211005499,0.0,25.2581790333
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,0.0,12.2494413471,31.46618595,0.0,16.2374008071
2004-04-15,0.0,3.49984038488,31.46618595,0.0,12.6290895167
2004-04-16,0.0,19.2491221168,20.9774573,0.0,14.4332451619
2004-04-17,0.0,0.0,57.688007575,0.0,0.0
2004-04-18,0.0,0.0,99.6429221749,0.0,0.0
2004-04-19,0.0,29.7486432715,49.8214610875,0.0,9.02077822619
2004-04-20,0.0,20.9990423093,47.199278925,0.0,0.0
2004-04-21,0.0,15.749281732,41.9549146,0.0,0.0
2004-04-22,0.0,36.7483240413,44.5770967625,0.0,9.02077822619
2004-04-23,0.0,8.7496009622,39.3327324375,0.0,5.41246693571
2004-04-24,0.0,15.749281732,34.0883681125,0.0,0.0
2004-04-25,0.0,27.9987230791,107.509468662,0.0,7.21662258095
2004-04-26,0.0,24.4988826942,55.0658254125,0.0,0.0
2004-04-27,0.0,8.7496009622,41.9549146,0.0,9.02077822619
2004-04-28,0.0,33.2484836564,44.5770967625,0.0,0.0
2004-04-29,0.0,17.4992019244,62.9323718999,0.0,9.02077822619
2004-04-30,0.0,13.9993615395,60.3101897374,0.0,5.41246693571
2004-05-01,0.0,6.99968076976,44.5770967625,0.0,7.21662258095
2004-05-02,0.0,20.9990423093,31.46618595,0.0,0.0
2004-05-03,0.0,15.749281732,55.0658254125,0.0,3.60831129047
2004-05-04,0.0,24.4988826942,55.0658254125,0.0,0.0
2004-05-05,0.0,24.4988826942,23.5996394625,0.0,12.6290895167
2004-05-06,0.0,8.7496009622,57.688007575,0.0,18.0415564524
2004-05-07,0.0,41.9980846186,83.9098291999,0.0,19.8457120976
2004-05-08,0.0,15.749281732,57.688007575,0.0,23.4540233881
2004-05-09,0.0,31.4985634639,94.3985578499,0.0,16.2374008071
2004-05-10,0.0,26.2488028866,39.3327324375,0.0,0.0
2004-05-11,0.0,20.9990423093,41.9549146,0.0,3.60831129047
2004-05-12,0.0,20.9990423093,47.199278925,0.0,12.6290895167
2004-05-13,0.0,24.4988826942,78.6654648749,0.0,3.60831129047
2004-05-14,0.0,17.4992019244,47.199278925,0.0,9.02077822619
2004-05-15,0.0,0.0,44.5770967625,0.0,0.0
2004-05-16,0.0,29.7486432715,55.0658254125,0.0,7.21662258095
2004-05-17,0.0,24.4988826942,18.3552751375,0.0,0.0
2004-05-18,0.0,24.4988826942,36.710550275,0.0,0.0
2004-05-19,0.0,3.49984038488,36.710550275,0.0,0.0
