date,cost,crisis,deficit,depreciation,domination,isPartial
2013-01-15,91,7,2,1,1,False
2013-01-16,86,8,2,1,1,False
2013-01-17,91,8,2,1,1,False
2013-01-18,83,8,2,1,1,False
2013-01-19,86,5,1,1,1,False
2013-01-20,85,5,1,1,1,False
2013-01-21,91,6,1,1,1,False
2013-01-22,91,6,2,1,1,False
2013-01-23,90,6,2,2,1,False
2013-01-24,86,6,2,2,1,False
2013-01-25,83,5,2,1,1,False
2013-01-26,86,4,1,1,1,False
2013-01-27,91,5,1,1,1,False
2013-01-28,94,6,1,2,1,False
2013-01-29,94,6,1,2,1,False
2013-01-30,90,5,2,2,1,False
2013-01-31,87,6,2,2,1,False
2013-02-01,87,5,1,2,1,False
2013-02-02,84,5,1,1,1,False
2013-02-03,89,5,1,1,1,False
2013-02-04,99,6,2,2,1,False
2013-02-05,92,6,2,2,1,False
2013-02-06,93,6,2,2,1,False
2013-02-07,88,5,2,2,1,False
2013-02-08,80,6,2,2,1,False
2013-02-09,82,4,1,1,1,False
2013-02-10,85,6,2,1,1,False
2013-02-11,90,6,2,2,1,False
2013-02-12,89,6,2,2,1,False
2013-02-13,89,6,2,2,1,False
2013-02-14,84,6,2,2,1,False
2013-02-15,80,5,1,1,1,False
2013-02-16,82,5,1,1,1,False
2013-02-17,88,5,1,1,1,False
2013-02-18,90,6,2,2,1,False
2013-02-19,91,7,2,2,1,False
2013-02-20,90,6,2,2,1,False
2013-02-21,92,6,2,2,1,False
2013-02-22,87,6,2,2,1,False
2013-02-23,86,7,1,2,1,False
2013-02-24,90,8,1,1,1,False
2013-02-25,92,7,2,2,1,False
2013-02-26,90,8,2,2,1,False
2013-02-27,96,7,2,2,1,False
2013-02-28,91,7,3,2,1,False
2013-03-01,89,6,2,1,1,False
2013-03-02,85,6,2,2,1,False
2013-03-03,90,6,2,1,1,False
2013-03-04,94,7,2,2,1,False
2013-03-05,95,7,2,1,1,False
2013-03-06,88,7,2,2,1,False
2013-03-07,92,6,2,2,1,False
2013-03-08,90,6,1,1,1,False
2013-03-09,85,4,1,2,1,False
2013-03-10,89,6,1,1,1,False
2013-03-11,94,6,2,2,1,False
2013-03-12,91,6,2,2,1,False
2013-03-13,94,6,2,2,1,False
2013-03-14,90,6,2,2,1,False
2013-03-15,89,6,2,2,1,False
2013-03-16,85,4,1,1,1,False
2013-03-17,90,5,1,2,1,False
2013-03-18,91,7,2,2,1,False
2013-03-19,93,7,1,2,1,False
2013-03-20,92,7,2,2,1,False
2013-03-21,90,7,2,1,1,False
2013-03-22,84,6,2,2,1,False
2013-03-23,85,5,1,1,1,False
2013-03-24,90,6,1,1,1,False
2013-03-25,93,7,1,2,1,False
2013-03-26,94,8,1,2,1,False
2013-03-27,95,7,1,2,1,False
2013-03-28,92,7,1,2,1,False
2013-03-29,86,6,1,2,1,False
2013-03-30,85,5,1,2,1,False
2013-03-31,82,6,1,1,1,False
2013-04-01,91,6,2,2,1,False
2013-04-02,92,6,2,2,1,False
2013-04-03,96,7,2,2,1,False
2013-04-04,92,7,2,2,1,False
2013-04-05,90,7,2,1,1,False
2013-04-06,90,5,1,1,1,False
2013-04-07,94,6,1,2,1,False
2013-04-08,99,8,2,2,1,False
2013-04-09,97,8,2,2,1,False
2013-04-10,97,8,2,2,1,False
2013-04-11,94,7,2,2,1,False
2013-04-12,91,7,2,2,1,False
2013-04-13,87,6,1,2,1,False
2013-04-14,94,6,1,2,1,False
2013-04-15,93,8,2,3,1,False
2013-04-16,91,8,1,2,1,False
2013-04-17,95,9,2,2,1,False
2013-04-18,92,8,2,1,1,False
2013-04-19,84,8,1,1,1,False
2013-04-20,83,6,1,1,1,False
2013-04-21,93,7,1,1,1,False
2013-04-22,97,9,2,1,1,False
2013-04-23,100,8,2,2,1,False
2013-04-24,92,8,2,2,1,False
2013-04-25,94,8,2,2,1,False
2013-04-26,91,7,2,1,1,False
2013-04-27,85,5,1,1,1,False
2013-04-28,89,6,2,1,1,False
