date,warfare,waste,bankrupt,bankruptcy,beggar,isPartial
2008-03-04,10,45,6,43,1,False
2008-03-05,11,47,3,34,0,False
2008-03-06,10,47,4,35,0,False
2008-03-07,8,46,5,34,1,False
2008-03-08,11,29,2,27,0,False
2008-03-09,9,29,3,21,0,False
2008-03-10,9,48,3,34,1,False
2008-03-11,13,53,2,37,1,False
2008-03-12,10,55,4,37,2,False
2008-03-13,10,50,3,34,1,False
2008-03-14,9,45,2,39,0,False
2008-03-15,7,37,3,20,0,False
2008-03-16,15,37,3,26,1,False
2008-03-17,10,57,5,36,1,False
2008-03-18,11,55,5,36,1,False
2008-03-19,11,61,3,43,1,False
2008-03-20,5,47,3,36,0,False
2008-03-21,9,37,2,30,0,False
2008-03-22,8,28,3,21,0,False
2008-03-23,6,30,3,23,0,False
2008-03-24,8,58,4,40,1,False
2008-03-25,11,48,3,44,1,False
2008-03-26,10,48,5,36,1,False
2008-03-27,8,51,4,37,0,False
2008-03-28,9,52,3,30,1,False
2008-03-29,5,39,2,18,0,False
2008-03-30,10,29,1,25,0,False
2008-03-31,10,52,6,42,0,False
2008-04-01,11,51,3,41,0,False
2008-04-02,8,60,6,41,0,False
2008-04-03,8,55,12,50,0,False
2008-04-04,13,50,9,43,0,False
2008-04-05,6,45,10,32,0,False
2008-04-06,11,38,5,26,1,False
2008-04-07,7,57,5,50,0,False
2008-04-08,11,55,6,42,1,False
2008-04-09,10,59,10,39,0,False
2008-04-10,9,53,2,41,0,False
2008-04-11,7,57,6,52,0,False
2008-04-12,11,46,5,28,0,False
2008-04-13,7,37,7,27,0,False
2008-04-14,10,61,4,44,1,False
2008-04-15,9,54,7,45,0,False
2008-04-16,9,51,7,37,1,False
2008-04-17,8,58,5,46,0,False
2008-04-18,9,47,6,32,0,False
2008-04-19,8,36,4,19,0,False
2008-04-20,7,40,4,20,0,False
2008-04-21,10,61,5,42,1,False
2008-04-22,13,61,3,40,1,False
2008-04-23,8,53,5,36,0,False
2008-04-24,10,52,6,36,0,False
2008-04-25,7,54,2,36,0,False
2008-04-26,5,42,5,25,0,False
2008-04-27,8,40,4,29,0,False
2008-04-28,11,64,7,42,1,False
2008-04-29,13,56,4,43,0,False
2008-04-30,8,57,7,41,1,False
2008-05-01,9,53,6,51,0,False
2008-05-02,6,51,6,48,1,False
2008-05-03,5,40,6,28,0,False
2008-05-04,6,42,3,23,0,False
2008-05-05,10,56,7,48,1,False
2008-05-06,8,56,5,48,1,False
2008-05-07,8,47,7,53,1,False
2008-05-08,9,49,7,43,0,False
2008-05-09,8,54,6,38,1,False
