date,cost,crisis,deficit,depreciation,domination,isPartial
2015-02-16,83,5,1,1,1,False
2015-02-17,83,5,1,1,1,False
2015-02-18,82,5,2,2,1,False
2015-02-19,85,5,1,2,1,False
2015-02-20,84,5,1,1,1,False
2015-02-21,80,3,1,1,1,False
2015-02-22,84,4,1,1,1,False
2015-02-23,84,7,2,2,1,False
2015-02-24,85,6,1,2,1,False
2015-02-25,88,5,1,2,1,False
2015-02-26,83,6,1,2,1,False
2015-02-27,80,5,1,1,1,False
2015-02-28,82,4,1,1,1,False
2015-03-01,86,4,1,1,1,False
2015-03-02,88,6,1,2,1,False
2015-03-03,88,6,1,1,1,False
2015-03-04,87,6,1,2,1,False
2015-03-05,86,5,2,2,1,False
2015-03-06,84,5,1,1,1,False
2015-03-07,81,4,1,1,1,False
2015-03-08,88,4,1,1,1,False
2015-03-09,90,6,1,1,1,False
2015-03-10,89,6,2,2,1,False
2015-03-11,89,6,1,2,1,False
2015-03-12,89,6,2,2,1,False
2015-03-13,84,4,1,2,1,False
2015-03-14,84,4,1,1,1,False
2015-03-15,86,4,1,1,1,False
2015-03-16,92,6,1,2,1,False
2015-03-17,91,5,1,2,1,False
2015-03-18,89,5,1,2,1,False
2015-03-19,88,5,1,2,1,False
2015-03-20,83,5,1,2,1,False
2015-03-21,80,4,1,1,1,False
2015-03-22,89,4,1,2,1,False
2015-03-23,92,5,1,2,1,False
2015-03-24,93,6,1,2,1,False
2015-03-25,87,6,2,2,1,False
2015-03-26,92,6,2,2,1,False
2015-03-27,86,6,2,1,1,False
2015-03-28,82,4,1,1,1,False
2015-03-29,87,5,1,1,1,False
2015-03-30,93,6,2,2,1,False
2015-03-31,90,7,1,2,1,False
2015-04-01,90,6,1,2,1,False
2015-04-02,87,6,1,2,1,False
2015-04-03,82,4,1,2,1,False
2015-04-04,83,4,1,1,1,False
2015-04-05,82,4,1,1,1,False
2015-04-06,93,6,1,2,1,False
2015-04-07,94,6,1,2,1,False
2015-04-08,91,6,1,2,1,False
2015-04-09,90,6,1,2,1,False
2015-04-10,88,6,1,2,1,False
2015-04-11,90,4,1,2,1,False
2015-04-12,94,5,1,2,1,False
2015-04-13,95,7,2,2,1,False
2015-04-14,95,7,1,2,1,False
2015-04-15,97,6,2,2,1,False
2015-04-16,93,7,2,2,1,False
2015-04-17,86,7,1,1,1,False
2015-04-18,84,5,1,1,1,False
2015-04-19,88,5,1,1,1,False
2015-04-20,96,7,2,1,1,False
2015-04-21,95,8,2,1,2,False
2015-04-22,91,7,2,1,1,False
2015-04-23,94,8,2,2,1,False
2015-04-24,89,7,2,1,1,False
2015-04-25,87,4,1,1,1,False
2015-04-26,92,4,1,1,1,False
2015-04-27,95,7,2,2,1,False
2015-04-28,97,7,2,2,1,False
2015-04-29,94,7,2,2,1,False
2015-04-30,94,7,1,2,1,False
2015-05-01,92,7,2,1,1,False
2015-05-02,97,5,1,1,1,False
2015-05-03,89,5,1,1,1,False
2015-05-04,94,7,2,1,1,False
2015-05-05,94,7,2,1,1,False
2015-05-06,95,7,2,2,1,False
2015-05-07,91,7,1,1,1,False
2015-05-08,85,6,1,1,1,False
2015-05-09,87,4,1,1,1,False
2015-05-10,84,4,1,1,2,False
2015-05-11,98,7,1,1,1,False
2015-05-12,94,6,1,1,1,False
2015-05-13,91,7,1,2,1,False
2015-05-14,92,6,1,1,1,False
2015-05-15,88,6,1,1,1,False
2015-05-16,85,3,1,1,1,False
2015-05-17,88,4,1,0,1,False
2015-05-18,93,7,1,1,1,False
2015-05-19,92,6,1,1,1,False
2015-05-20,90,6,1,1,1,False
2015-05-21,88,7,1,1,1,False
2015-05-22,86,6,1,1,1,False
2015-05-23,82,4,1,0,1,False
2015-05-24,85,4,1,1,1,False
2015-05-25,86,4,1,1,1,False
2015-05-26,96,6,1,1,1,False
2015-05-27,90,6,1,1,1,False
2015-05-28,93,6,1,1,1,False
2015-05-29,92,6,1,1,1,False
2015-05-30,87,3,1,1,1,False
2015-05-31,89,4,1,1,1,False
2015-06-01,92,5,1,1,1,False
2015-06-02,92,5,1,1,1,False
2015-06-03,89,5,1,1,1,False
2015-06-04,88,5,1,1,1,False
2015-06-05,86,5,1,1,1,False
2015-06-06,83,3,1,1,1,False
2015-06-07,88,4,1,1,1,False
2015-06-08,92,5,1,1,1,False
2015-06-09,94,4,1,1,1,False
2015-06-10,91,6,1,1,1,False
2015-06-11,94,5,1,1,1,False
2015-06-12,91,4,1,1,1,False
2015-06-13,90,3,1,1,1,False
2015-06-14,93,4,1,1,1,False
2015-06-15,96,5,1,1,1,False
2015-06-16,93,4,1,1,1,False
2015-06-17,86,4,1,1,1,False
2015-06-18,88,4,1,1,1,False
2015-06-19,86,4,1,1,1,False
2015-06-20,84,3,1,1,1,False
2015-06-21,86,4,1,1,1,False
2015-06-22,93,4,1,1,1,False
