date,unprofitable,vagabond,vagrant,abundance,accrue,isPartial
2013-09-26,0,42,40,85,15,False
2013-09-27,3,31,29,66,11,False
2013-09-28,0,46,19,34,6,False
2013-09-29,2,45,15,48,15,False
2013-09-30,0,36,33,65,12,False
2013-10-01,0,28,22,74,16,False
2013-10-02,1,50,31,62,18,False
2013-10-03,3,43,34,69,9,False
2013-10-04,2,42,40,65,12,False
2013-10-05,0,39,17,35,6,False
2013-10-06,0,40,22,53,5,False
2013-10-07,0,43,38,77,15,False
2013-10-08,0,49,37,56,7,False
2013-10-09,4,44,39,69,18,False
2013-10-10,0,49,28,78,6,False
2013-10-11,2,22,30,60,13,False
2013-10-12,0,36,21,45,2,False
2013-10-13,2,39,28,56,11,False
2013-10-14,0,34,33,57,19,False
2013-10-15,0,25,23,60,13,False
2013-10-16,3,28,38,61,13,False
2013-10-17,5,27,33,68,12,False
2013-10-18,0,36,23,67,11,False
2013-10-19,0,49,19,30,4,False
2013-10-20,0,33,24,54,4,False
2013-10-21,1,29,25,65,12,False
2013-10-22,1,47,28,52,16,False
2013-10-23,1,36,40,46,12,False
2013-10-24,3,49,45,55,10,False
2013-10-25,5,40,45,39,12,False
2013-10-26,0,43,19,24,6,False
2013-10-27,0,37,26,53,2,False
2013-10-28,0,29,42,43,13,False
2013-10-29,0,39,29,54,15,False
2013-10-30,1,42,31,53,7,False
2013-10-31,0,29,27,57,18,False
2013-11-01,2,31,39,44,11,False
2013-11-02,2,46,11,33,9,False
2013-11-03,2,38,22,42,7,False
2013-11-04,0,33,42,57,15,False
2013-11-05,1,36,27,61,6,False
2013-11-06,1,51,36,44,12,False
2013-11-07,0,22,35,41,12,False
2013-11-08,0,51,29,52,17,False
2013-11-09,0,55,16,40,7,False
2013-11-10,2,36,24,46,16,False
2013-11-11,1,34,31,52,7,False
2013-11-12,0,47,46,62,13,False
2013-11-13,3,30,43,67,7,False
2013-11-14,3,38,38,53,19,False
2013-11-15,3,51,36,45,15,False
2013-11-16,2,40,31,43,9,False
2013-11-17,4,44,19,51,4,False
2013-11-18,0,32,27,51,8,False
2013-11-19,3,33,21,60,7,False
2013-11-20,1,33,36,67,16,False
2013-11-21,1,30,44,58,16,False
2013-11-22,0,30,30,40,10,False
2013-11-23,0,32,20,32,4,False
2013-11-24,2,39,16,55,2,False
2013-11-25,0,26,20,53,16,False
2013-11-26,0,38,20,60,9,False
2013-11-27,2,25,17,40,8,False
2013-11-28,0,38,13,30,8,False
2013-11-29,0,33,21,40,3,False
2013-11-30,0,29,23,30,4,False
2013-12-01,0,44,16,36,10,False
2013-12-02,1,39,40,64,11,False
2013-12-03,1,40,48,65,11,False
2013-12-04,1,30,31,55,21,False
2013-12-05,0,35,25,71,14,False
2013-12-06,1,47,37,55,3,False
2013-12-07,0,28,30,35,12,False
2013-12-08,0,40,24,64,5,False
2013-12-09,1,25,38,72,6,False
2013-12-10,6,35,41,49,20,False
2013-12-11,0,41,37,74,15,False
2013-12-12,0,28,31,61,19,False
2013-12-13,2,12,24,58,8,False
2013-12-14,0,47,25,34,2,False
2013-12-15,0,36,13,56,2,False
2013-12-16,0,43,22,52,12,False
2013-12-17,1,29,32,33,10,False
