,index
2004-01-01 00:00:00,12.400017372690037
2004-01-02 00:00:00,28.840537205678636
2004-01-03 00:00:00,10.532844679122096
2004-01-04 00:00:00,37.967151050546384
2004-01-05 00:00:00,47.40982802927579
2004-01-06 00:00:00,37.24435324709477
2004-01-07 00:00:00,36.335017367635935
2004-01-08 00:00:00,40.38344778439031
2004-01-09 00:00:00,18.65617528266484
2004-01-10 00:00:00,21.281086422126663
2004-01-11 00:00:00,18.478856888130238
2004-01-12 00:00:00,33.90646254927097
2004-01-13 00:00:00,44.3536776089949
2004-01-14 00:00:00,19.14873803485235
2004-01-15 00:00:00,24.692867777194238
2004-01-16 00:00:00,28.508818570717715
2004-01-17 00:00:00,12.194077589881061
2004-01-18 00:00:00,43.52986532022652
2004-01-19 00:00:00,31.801893307361443
2004-01-20 00:00:00,30.596427690914076
2004-01-21 00:00:00,26.381966293498767
2004-01-22 00:00:00,25.872334652758518
2004-01-23 00:00:00,9.668476345731506
2004-01-24 00:00:00,35.49428897917387
2004-01-25 00:00:00,12.217477423578243
2004-01-26 00:00:00,51.21263767078659
2004-01-27 00:00:00,40.13556322179993
2004-01-28 00:00:00,29.24695908876813
2004-01-29 00:00:00,31.497818921280327
2004-01-30 00:00:00,49.12900373423339
2004-01-31 00:00:00,42.54943627703166
2004-02-01 00:00:00,21.35234172402578
2004-02-02 00:00:00,23.941459505275457
2004-02-03 00:00:00,38.68091336792896
2004-02-04 00:00:00,53.45542112988426
2004-02-05 00:00:00,32.324840589400424
2004-02-06 00:00:00,48.9556713785103
2004-02-07 00:00:00,45.58976113270406
2004-02-08 00:00:00,-1.7373439205248298
2004-02-09 00:00:00,42.11841926258496
2004-02-10 00:00:00,46.27123614849752
2004-02-11 00:00:00,18.713580742842716
2004-02-12 00:00:00,54.56916563062865
2004-02-13 00:00:00,43.68799632257894
2004-02-14 00:00:00,14.742445820285809
2004-02-15 00:00:00,42.777510325342156
2004-02-16 00:00:00,31.68125526759794
2004-02-17 00:00:00,20.588583063665425
2004-02-18 00:00:00,31.122115648292546
2004-02-19 00:00:00,39.66323133314428
2004-02-20 00:00:00,30.175414739669826
2004-02-21 00:00:00,34.318562087720245
2004-02-22 00:00:00,4.977708762068865
2004-02-23 00:00:00,36.548891372899575
2004-02-24 00:00:00,25.28471798910998
2004-02-25 00:00:00,53.06136310301509
2004-02-26 00:00:00,22.017635877594735
2004-02-27 00:00:00,26.9213894821701
2004-02-28 00:00:00,48.75955913750306
2004-02-29 00:00:00,19.65902975356753
2004-03-01 00:00:00,26.12405591690238
2004-03-02 00:00:00,36.349079331759214
2004-03-03 00:00:00,61.884429774992526
2004-03-04 00:00:00,41.05399650565668
2004-03-05 00:00:00,30.87160087928252
2004-03-06 00:00:00,11.755565253823612
2004-03-07 00:00:00,46.4468028407811
2004-03-08 00:00:00,0.0
2004-03-09 00:00:00,0.0
2004-03-10 00:00:00,41.34556787498316
2004-03-11 00:00:00,46.36723019078072
2004-03-12 00:00:00,50.771011201121574
2004-03-13 00:00:00,29.185863177912523
2004-03-14 00:00:00,15.808739195442534
2004-03-15 00:00:00,20.209329861285994
2004-03-16 00:00:00,41.797822566445554
2004-03-17 00:00:00,22.010574376677393
2004-03-18 00:00:00,28.858339912741094
2004-03-19 00:00:00,21.12551740724586
2004-03-20 00:00:00,31.415095876463468
2004-03-21 00:00:00,19.43566771334059
2004-03-22 00:00:00,-17.465135302353957
2004-03-23 00:00:00,0.0
2004-03-24 00:00:00,40.85820463197707
2004-03-25 00:00:00,37.151666785714646
2004-03-26 00:00:00,82.35374029893478
2004-03-27 00:00:00,46.49387884635506
2004-03-28 00:00:00,28.19498730049428
2004-03-29 00:00:00,18.723482151821138
2004-03-30 00:00:00,14.67136521091195
2004-03-31 00:00:00,50.106306115305614
2004-04-01 00:00:00,41.92386624882783
2004-04-02 00:00:00,24.70853069866964
2004-04-03 00:00:00,30.94627433604196
2004-04-04 00:00:00,-2.3702904026662512
2004-04-05 00:00:00,28.55251825033857
2004-04-06 00:00:00,21.68972662574081
2004-04-07 00:00:00,45.42459716409296
2004-04-08 00:00:00,30.15422591681773
2004-04-09 00:00:00,41.16752348909152
2004-04-10 00:00:00,32.44291014966928
2004-04-11 00:00:00,77.18448168277908
2004-04-12 00:00:00,0.0
2004-04-13 00:00:00,0.0
2004-04-14 00:00:00,23.372888745791855
2004-04-15 00:00:00,47.119254611128845
2004-04-16 00:00:00,28.343490106394817
2004-04-17 00:00:00,42.133039803707454
2004-04-18 00:00:00,3.0433216722439127
2004-04-19 00:00:00,1.553608877494682
2004-04-20 00:00:00,15.752547014354484
2004-04-21 00:00:00,11.131562839828248
2004-04-22 00:00:00,42.43001056586944
2004-04-23 00:00:00,38.46433882899681
2004-04-24 00:00:00,12.997393485982478
2004-04-25 00:00:00,17.68225038117403
2004-04-26 00:00:00,28.779380745448307
2004-04-27 00:00:00,27.75774820677029
2004-04-28 00:00:00,34.17819797636409
2004-04-29 00:00:00,25.2680469092924
2004-04-30 00:00:00,28.31863421644868
2004-05-01 00:00:00,27.884720312820335
2004-05-02 00:00:00,16.825615831186646
2004-05-03 00:00:00,41.59067700132289
2004-05-04 00:00:00,16.16983018291316
2004-05-05 00:00:00,23.282398233889726
2004-05-06 00:00:00,10.387482056970633
2004-05-07 00:00:00,21.112986604990887
2004-05-08 00:00:00,6.035665424390039
2004-05-09 00:00:00,-0.013801865811288394
2004-05-10 00:00:00,6.788490688126458
2004-05-11 00:00:00,33.45877445500637
2004-05-12 00:00:00,34.59695938083473
