date,radical,ruin,segregation,shortage,steal,isPartial
2012-05-06,25,15,9,9,30,False
2012-05-07,27,19,15,15,37,False
2012-05-08,31,14,18,15,38,False
2012-05-09,30,15,20,13,34,False
2012-05-10,30,15,17,12,48,False
2012-05-11,24,13,12,10,37,False
2012-05-12,22,17,6,8,44,False
2012-05-13,19,13,7,10,41,False
2012-05-14,28,15,12,13,29,False
2012-05-15,28,13,11,10,32,False
2012-05-16,29,11,14,15,44,False
2012-05-17,22,13,15,11,31,False
2012-05-18,23,11,12,8,32,False
2012-05-19,16,13,4,10,36,False
2012-05-20,23,17,4,14,36,False
2012-05-21,27,13,12,14,31,False
2012-05-22,27,14,16,24,30,False
2012-05-23,22,11,11,11,31,False
2012-05-24,22,12,10,11,36,False
2012-05-25,21,13,8,12,32,False
2012-05-26,16,15,4,11,46,False
2012-05-27,14,16,4,12,45,False
2012-05-28,21,16,6,12,42,False
2012-05-29,20,13,7,16,31,False
2012-05-30,21,14,11,13,36,False
2012-05-31,20,18,7,13,34,False
2012-06-01,24,11,9,11,34,False
2012-06-02,16,18,5,10,44,False
2012-06-03,17,15,7,17,37,False
2012-06-04,21,14,9,13,33,False
2012-06-05,19,16,9,13,31,False
2012-06-06,20,16,8,10,37,False
2012-06-07,22,14,6,13,36,False
2012-06-08,19,12,7,11,27,False
2012-06-09,19,15,3,10,36,False
2012-06-10,22,15,4,9,33,False
2012-06-11,21,16,5,12,33,False
2012-06-12,20,14,6,12,36,False
2012-06-13,20,12,4,11,33,False
2012-06-14,19,13,4,15,36,False
2012-06-15,18,15,4,14,28,False
2012-06-16,18,15,3,8,39,False
2012-06-17,17,18,3,7,32,False
2012-06-18,18,18,7,11,33,False
2012-06-19,20,18,3,10,32,False
2012-06-20,22,17,4,17,34,False
2012-06-21,19,14,7,14,36,False
2012-06-22,18,16,4,9,37,False
2012-06-23,18,20,2,11,36,False
2012-06-24,18,14,4,14,34,False
2012-06-25,14,18,7,13,34,False
2012-06-26,17,17,4,12,35,False
2012-06-27,16,14,5,12,34,False
2012-06-28,22,13,6,12,30,False
2012-06-29,20,16,2,16,31,False
2012-06-30,18,13,3,14,35,False
2012-07-01,15,18,1,15,40,False
2012-07-02,15,13,3,15,35,False
2012-07-03,18,10,4,13,29,False
2012-07-04,14,18,2,13,37,False
2012-07-05,14,17,2,9,35,False
2012-07-06,16,17,5,15,39,False
2012-07-07,17,14,4,11,36,False
2012-07-08,15,16,3,10,38,False
2012-07-09,18,15,4,10,37,False
2012-07-10,23,18,4,9,32,False
2012-07-11,19,16,5,13,37,False
2012-07-12,13,15,4,12,31,False
2012-07-13,18,18,4,11,32,False
2012-07-14,19,19,3,12,43,False
2012-07-15,19,23,5,14,40,False
2012-07-16,19,17,5,13,43,False
2012-07-17,19,22,5,15,42,False
2012-07-18,21,18,5,12,35,False
2012-07-19,19,17,4,13,32,False
2012-07-20,18,20,4,11,31,False
2012-07-21,16,22,3,10,38,False
2012-07-22,19,20,4,13,37,False
2012-07-23,20,17,6,9,37,False
2012-07-24,16,18,5,12,32,False
2012-07-25,17,14,7,13,32,False
2012-07-26,15,13,5,11,33,False
2012-07-27,17,12,5,9,30,False
2012-07-28,17,14,4,7,34,False
2012-07-29,17,14,3,9,39,False
2012-07-30,20,17,4,14,33,False
2012-07-31,18,16,2,14,32,False
2012-08-01,14,16,8,14,30,False
2012-08-02,19,16,6,13,30,False
2012-08-03,16,13,5,14,30,False
2012-08-04,15,19,3,11,33,False
2012-08-05,12,19,4,8,30,False
2012-08-06,17,18,4,10,32,False
2012-08-07,15,16,4,12,34,False
2012-08-08,16,11,5,13,40,False
2012-08-09,16,15,3,12,33,False
2012-08-10,16,14,1,12,33,False
2012-08-11,13,20,1,9,35,False
2012-08-12,20,21,2,7,34,False
2012-08-13,17,14,3,13,31,False
2012-08-14,22,14,4,14,34,False
2012-08-15,18,14,5,16,37,False
2012-08-16,21,16,3,13,29,False
2012-08-17,24,20,4,12,30,False
2012-08-18,13,17,5,11,31,False
2012-08-19,16,18,4,11,32,False
2012-08-20,17,16,2,13,30,False
2012-08-21,23,13,3,15,31,False
2012-08-22,22,12,3,12,29,False
2012-08-23,23,15,4,11,37,False
2012-08-24,21,16,4,10,27,False
2012-08-25,17,20,3,11,37,False
2012-08-26,19,15,3,9,36,False
2012-08-27,24,13,4,13,27,False
2012-08-28,25,15,4,15,36,False
2012-08-29,30,18,5,13,34,False
2012-08-30,28,16,4,12,30,False
2012-08-31,19,13,11,13,38,False
2012-09-01,15,12,4,11,31,False
2012-09-02,16,21,4,14,38,False
2012-09-03,28,16,3,12,33,False
2012-09-04,28,14,6,14,35,False
2012-09-05,31,15,6,13,27,False
2012-09-06,31,14,6,12,27,False
2012-09-07,26,15,9,15,29,False
2012-09-08,25,18,4,9,32,False
2012-09-09,26,15,7,9,39,False
2012-09-10,31,15,5,14,33,False
2012-09-11,31,15,6,14,29,False
2012-09-12,34,12,6,15,34,False
2012-09-13,36,12,9,12,35,False
2012-09-14,27,16,7,14,25,False
2012-09-15,24,16,3,13,33,False
2012-09-16,20,15,4,15,31,False
2012-09-17,34,13,9,12,28,False
2012-09-18,29,11,8,18,31,False
2012-09-19,31,14,8,14,29,False
2012-09-20,34,17,9,12,33,False
2012-09-21,23,13,7,16,29,False
2012-09-22,21,14,4,11,32,False
2012-09-23,23,14,8,16,34,False
2012-09-24,30,13,9,14,34,False
2012-09-25,29,13,9,64,35,False
2012-09-26,29,16,7,100,34,False
2012-09-27,36,13,9,76,27,False
2012-09-28,27,12,8,48,32,False
2012-09-29,22,18,3,38,30,False
2012-09-30,27,19,7,30,33,False
2012-10-01,30,16,7,47,30,False
2012-10-02,29,16,11,57,36,False
2012-10-03,30,16,9,41,30,False
2012-10-04,32,14,10,34,31,False
2012-10-05,23,10,8,46,30,False
2012-10-06,14,12,4,33,34,False
2012-10-07,18,15,6,20,36,False
2012-10-08,23,11,7,18,38,False
2012-10-09,24,13,10,22,40,False
2012-10-10,26,14,11,20,37,False
2012-10-11,32,14,11,20,27,False
2012-10-12,26,16,7,18,30,False
2012-10-13,14,15,4,16,35,False
2012-10-14,26,18,5,14,39,False
2012-10-15,30,14,8,14,24,False
2012-10-16,29,13,11,18,31,False
2012-10-17,26,13,10,15,34,False
2012-10-18,32,13,12,19,34,False
2012-10-19,22,16,8,12,35,False
2012-10-20,16,14,7,14,39,False
2012-10-21,24,15,8,13,36,False
2012-10-22,26,13,10,14,36,False
2012-10-23,24,15,13,14,32,False
2012-10-24,30,18,13,13,30,False
2012-10-25,25,16,13,15,41,False
2012-10-26,22,11,9,13,45,False
2012-10-27,18,11,5,10,37,False
2012-10-28,15,14,4,10,32,False
2012-10-29,20,14,10,13,30,False
2012-10-30,24,15,11,12,31,False
2012-10-31,26,16,11,22,29,False
2012-11-01,22,12,9,85,32,False
2012-11-02,23,15,10,99,31,False
2012-11-03,17,13,5,88,27,False
2012-11-04,20,15,6,69,35,False
2012-11-05,26,15,9,52,33,False
2012-11-06,24,13,11,40,30,False
2012-11-07,23,16,11,33,24,False
2012-11-08,27,13,14,35,31,False
2012-11-09,22,15,10,31,28,False
2012-11-10,15,16,4,24,30,False
2012-11-11,20,13,7,18,33,False
2012-11-12,27,15,9,18,30,False
2012-11-13,25,14,15,16,31,False
2012-11-14,27,14,13,17,38,False
2012-11-15,34,17,14,18,30,False
2012-11-16,23,16,10,19,35,False
2012-11-17,18,15,4,17,31,False
2012-11-18,19,16,8,17,34,False
2012-11-19,24,12,10,20,30,False
2012-11-20,22,12,9,12,32,False
2012-11-21,16,13,5,10,33,False
2012-11-22,13,15,3,16,31,False
