date,costliness,costly,debtor,default,depression,isPartial
2005-05-23,0,0,1,57,77,False
2005-05-24,0,0,1,48,60,False
2005-05-25,0,0,1,62,67,False
2005-05-26,0,1,1,53,72,False
2005-05-27,0,3,1,43,66,False
2005-05-28,0,1,0,36,56,False
2005-05-29,0,0,1,28,66,False
2005-05-30,0,0,0,34,45,False
2005-05-31,0,0,1,62,63,False
2005-06-01,0,1,0,54,53,False
2005-06-02,0,0,1,64,51,False
2005-06-03,0,0,0,62,44,False
2005-06-04,0,0,0,50,47,False
2005-06-05,0,1,3,47,41,False
2005-06-06,0,0,0,55,55,False
2005-06-07,0,0,0,46,58,False
2005-06-08,0,0,0,57,60,False
2005-06-09,0,0,1,50,67,False
2005-06-10,0,0,0,60,53,False
2005-06-11,0,0,0,30,57,False
2005-06-12,0,0,0,47,63,False
2005-06-13,0,0,1,49,58,False
2005-06-14,0,1,2,49,55,False
2005-06-15,0,0,0,55,66,False
2005-06-16,0,0,0,51,55,False
2005-06-17,1,0,1,59,47,False
2005-06-18,0,0,0,35,42,False
2005-06-19,0,0,0,43,62,False
2005-06-20,0,1,2,37,55,False
2005-06-21,0,0,0,58,53,False
2005-06-22,0,1,0,60,53,False
2005-06-23,0,0,0,63,54,False
2005-06-24,0,0,0,49,42,False
2005-06-25,0,1,1,41,49,False
2005-06-26,0,1,1,55,53,False
2005-06-27,0,0,1,53,59,False
2005-06-28,0,1,1,52,44,False
2005-06-29,0,0,2,54,52,False
2005-06-30,0,0,1,42,55,False
2005-07-01,0,1,0,62,38,False
2005-07-02,0,0,0,37,52,False
2005-07-03,0,0,0,43,55,False
2005-07-04,0,0,0,47,64,False
2005-07-05,0,0,0,55,61,False
2005-07-06,0,0,1,58,64,False
2005-07-07,0,0,0,51,57,False
2005-07-08,0,2,2,64,52,False
2005-07-09,0,0,0,45,71,False
2005-07-10,0,0,0,39,54,False
2005-07-11,0,0,0,51,78,False
2005-07-12,0,0,0,65,64,False
2005-07-13,0,0,0,53,55,False
2005-07-14,0,0,0,43,56,False
2005-07-15,0,0,1,53,51,False
2005-07-16,0,0,0,47,41,False
2005-07-17,0,0,0,30,54,False
2005-07-18,0,0,1,60,50,False
2005-07-19,0,0,1,58,48,False
2005-07-20,0,0,1,55,55,False
2005-07-21,0,0,1,49,51,False
2005-07-22,0,0,0,60,47,False
2005-07-23,0,1,0,43,50,False
2005-07-24,0,0,0,36,56,False
2005-07-25,0,0,0,53,68,False
2005-07-26,0,1,0,55,44,False
2005-07-27,0,0,1,56,62,False
2005-07-28,0,0,1,64,54,False
2005-07-29,0,1,0,58,45,False
2005-07-30,0,0,0,40,59,False
2005-07-31,0,0,0,35,47,False
2005-08-01,0,0,0,69,52,False
2005-08-02,0,0,1,47,42,False
2005-08-03,0,0,1,65,45,False
2005-08-04,0,0,1,51,45,False
2005-08-05,0,0,0,55,45,False
2005-08-06,0,1,0,62,60,False
2005-08-07,0,1,1,46,39,False
2005-08-08,0,0,2,57,49,False
2005-08-09,0,0,1,69,64,False
2005-08-10,0,0,0,65,55,False
2005-08-11,0,0,0,59,44,False
2005-08-12,0,0,0,54,49,False
2005-08-13,0,0,0,55,49,False
2005-08-14,0,0,1,49,57,False
2005-08-15,0,0,0,49,59,False
2005-08-16,0,0,2,56,51,False
2005-08-17,0,0,0,55,53,False
2005-08-18,0,0,1,60,48,False
2005-08-19,0,0,1,59,53,False
2005-08-20,0,0,0,44,35,False
2005-08-21,0,0,1,63,51,False
2005-08-22,0,0,0,51,43,False
2005-08-23,0,0,2,60,50,False
2005-08-24,0,0,0,73,61,False
2005-08-25,0,0,0,66,55,False
2005-08-26,0,0,0,63,39,False
2005-08-27,0,0,0,38,59,False
2005-08-28,0,0,0,39,35,False
2005-08-29,0,1,1,48,57,False
2005-08-30,0,0,1,48,59,False
2005-08-31,0,1,0,52,56,False
2005-09-01,0,0,1,57,49,False
2005-09-02,0,0,0,48,48,False
2005-09-03,0,0,0,46,46,False
2005-09-04,0,0,0,46,56,False
2005-09-05,0,0,0,45,58,False
2005-09-06,0,0,1,51,64,False
2005-09-07,0,0,1,50,52,False
2005-09-08,0,0,1,52,53,False
2005-09-09,0,0,0,64,59,False
2005-09-10,0,0,0,57,43,False
2005-09-11,0,0,0,33,51,False
2005-09-12,0,0,0,56,63,False
2005-09-13,0,0,1,72,57,False
2005-09-14,0,1,1,53,67,False
2005-09-15,0,0,1,51,64,False
2005-09-16,0,0,0,43,47,False
2005-09-17,0,0,1,38,60,False
2005-09-18,0,1,2,39,83,False
2005-09-19,0,0,0,50,59,False
2005-09-20,0,1,0,69,66,False
2005-09-21,0,1,2,51,70,False
2005-09-22,0,1,1,55,67,False
2005-09-23,0,1,1,60,55,False
2005-09-24,0,1,1,36,47,False
2005-09-25,0,0,1,34,53,False
2005-09-26,0,0,3,52,66,False
2005-09-27,0,2,1,52,68,False
2005-09-28,0,1,0,58,76,False
2005-09-29,0,0,1,62,83,False
2005-09-30,0,1,0,55,61,False
2005-10-01,0,0,0,32,60,False
2005-10-02,0,0,0,36,60,False
2005-10-03,0,1,0,60,66,False
2005-10-04,0,0,0,50,72,False
2005-10-05,0,0,2,49,75,False
2005-10-06,0,0,0,53,68,False
2005-10-07,0,1,1,62,61,False
2005-10-08,0,0,0,50,57,False
2005-10-09,0,0,0,44,81,False
2005-10-10,0,2,1,56,71,False
2005-10-11,0,0,1,47,71,False
