date,privileged,productive,productivity,profit,profitable,isPartial
2006-02-01,0,1,15,87,2,False
2006-02-02,1,1,17,61,2,False
2006-02-03,0,1,25,82,3,False
2006-02-04,0,0,8,57,2,False
2006-02-05,0,2,12,39,0,False
2006-02-06,0,1,15,72,3,False
2006-02-07,1,5,20,63,2,False
2006-02-08,1,5,13,66,2,False
2006-02-09,1,5,5,77,9,False
2006-02-10,5,3,13,63,3,False
2006-02-11,0,0,13,47,2,False
2006-02-12,0,0,15,47,4,False
2006-02-13,0,2,11,78,2,False
2006-02-14,0,4,13,70,5,False
2006-02-15,0,5,11,75,9,False
2006-02-16,1,4,20,71,4,False
2006-02-17,3,0,8,61,3,False
2006-02-18,0,2,17,46,2,False
2006-02-19,0,0,10,45,10,False
2006-02-20,1,0,14,80,3,False
2006-02-21,2,1,11,66,1,False
2006-02-22,1,2,13,89,5,False
2006-02-23,0,0,22,65,2,False
2006-02-24,3,4,10,59,8,False
2006-02-25,0,0,8,45,0,False
2006-02-26,2,2,8,63,4,False
2006-02-27,1,6,17,79,2,False
2006-02-28,2,1,25,80,5,False
2006-03-01,1,5,10,76,5,False
2006-03-02,4,4,7,64,2,False
2006-03-03,1,1,13,79,3,False
2006-03-04,0,0,6,45,2,False
2006-03-05,2,4,9,61,2,False
2006-03-06,2,1,13,64,0,False
2006-03-07,0,4,11,58,5,False
2006-03-08,1,6,12,74,2,False
2006-03-09,4,4,9,76,0,False
2006-03-10,1,5,13,66,3,False
2006-03-11,2,4,10,44,2,False
2006-03-12,2,4,13,35,6,False
2006-03-13,0,4,7,65,2,False
2006-03-14,0,1,9,71,2,False
2006-03-15,0,5,17,70,2,False
2006-03-16,2,2,19,66,7,False
2006-03-17,1,3,12,69,4,False
2006-03-18,2,6,12,52,4,False
2006-03-19,0,2,8,42,4,False
2006-03-20,0,2,11,49,10,False
2006-03-21,0,5,16,57,3,False
2006-03-22,1,1,10,65,5,False
2006-03-23,1,7,17,69,7,False
2006-03-24,1,1,15,71,1,False
2006-03-25,4,4,11,60,6,False
2006-03-26,0,6,9,53,4,False
2006-03-27,2,1,21,57,7,False
2006-03-28,1,1,15,76,3,False
2006-03-29,2,2,9,91,1,False
2006-03-30,1,2,10,55,1,False
2006-03-31,0,1,16,54,0,False
2006-04-01,2,2,10,33,2,False
2006-04-02,0,0,10,50,2,False
2006-04-03,1,4,8,65,2,False
2006-04-04,0,3,12,74,6,False
2006-04-05,1,5,18,82,5,False
2006-04-06,1,2,12,73,1,False
2006-04-07,1,4,10,80,5,False
2006-04-08,2,0,4,51,4,False
2006-04-09,2,2,10,52,2,False
2006-04-10,0,4,25,61,1,False
2006-04-11,1,5,13,66,5,False
2006-04-12,1,1,18,65,7,False
2006-04-13,1,2,13,65,6,False
2006-04-14,1,1,16,57,4,False
2006-04-15,0,2,8,18,6,False
2006-04-16,0,2,17,67,4,False
2006-04-17,1,2,11,83,4,False
2006-04-18,1,2,8,70,8,False
2006-04-19,2,4,13,81,5,False
2006-04-20,0,4,18,75,4,False
2006-04-21,1,5,14,89,8,False
2006-04-22,0,0,4,49,2,False
2006-04-23,0,6,6,52,2,False
2006-04-24,2,6,13,86,2,False
2006-04-25,1,0,17,100,2,False
2006-04-26,0,3,16,93,3,False
2006-04-27,1,4,16,99,7,False
2006-04-28,3,13,13,68,4,False
2006-04-29,0,4,12,61,0,False
2006-04-30,0,4,17,42,0,False
2006-05-01,0,2,10,83,3,False
2006-05-02,1,0,12,85,1,False
2006-05-03,1,2,17,94,6,False
2006-05-04,0,5,16,76,7,False
2006-05-05,1,1,14,69,5,False
2006-05-06,0,0,8,73,2,False
2006-05-07,2,0,6,67,4,False
2006-05-08,0,5,10,76,3,False
2006-05-09,3,3,9,65,7,False
2006-05-10,2,8,9,85,7,False
2006-05-11,2,2,11,65,3,False
2006-05-12,1,1,6,67,6,False
2006-05-13,0,4,4,49,2,False
2006-05-14,0,4,16,42,4,False
2006-05-15,0,1,8,48,2,False
2006-05-16,0,1,11,81,6,False
2006-05-17,2,5,8,56,8,False
2006-05-18,0,1,10,69,1,False
2006-05-19,1,0,10,67,4,False
2006-05-20,0,4,6,36,4,False
2006-05-21,0,0,2,45,2,False
2006-05-22,0,2,12,72,5,False
2006-05-23,1,1,10,72,6,False
2006-05-24,0,2,10,57,5,False
2006-05-25,0,1,12,59,4,False
2006-05-26,3,4,9,45,7,False
2006-05-27,0,2,4,52,0,False
2006-05-28,0,0,9,25,0,False
2006-05-29,0,4,12,50,2,False
2006-05-30,0,5,7,70,0,False
