date,warfare,waste,bankrupt,bankruptcy,beggar,isPartial
2004-09-11,8,50,2,41,0,False
2004-09-12,6,27,6,27,0,False
2004-09-13,11,65,6,70,0,False
2004-09-14,11,32,5,58,1,False
2004-09-15,19,44,3,55,0,False
2004-09-16,11,56,5,57,0,False
2004-09-17,10,50,2,44,0,False
2004-09-18,11,55,2,27,0,False
2004-09-19,10,38,4,29,0,False
2004-09-20,15,55,3,61,0,False
2004-09-21,13,61,2,53,0,False
2004-09-22,11,64,10,66,0,False
2004-09-23,17,52,3,63,0,False
2004-09-24,12,52,4,52,0,False
2004-09-25,12,37,0,29,0,False
2004-09-26,8,34,2,17,0,False
2004-09-27,14,48,8,57,0,False
2004-09-28,17,51,7,57,1,False
2004-09-29,19,55,4,50,0,False
2004-09-30,17,49,3,68,1,False
2004-10-01,6,54,2,39,2,False
2004-10-02,15,35,6,15,2,False
2004-10-03,19,33,4,26,0,False
2004-10-04,19,57,2,67,1,False
2004-10-05,11,60,3,55,0,False
2004-10-06,21,52,8,67,0,False
2004-10-07,15,63,5,59,0,False
2004-10-08,19,57,4,46,0,False
2004-10-09,2,42,2,28,0,False
2004-10-10,11,36,2,29,0,False
2004-10-11,7,46,1,51,1,False
2004-10-12,32,41,0,41,0,False
2004-10-13,23,79,3,60,0,False
2004-10-14,16,54,1,59,0,False
2004-10-15,16,46,2,45,1,False
2004-10-16,8,23,6,23,2,False
2004-10-17,9,31,6,18,0,False
2004-10-18,14,47,2,39,0,False
2004-10-19,16,60,3,59,1,False
2004-10-20,21,67,6,60,0,False
2004-10-21,11,46,8,51,0,False
2004-10-22,17,55,9,44,1,False
2004-10-23,7,54,0,28,0,False
2004-10-24,14,38,4,29,0,False
2004-10-25,12,67,1,47,0,False
2004-10-26,13,51,5,46,0,False
2004-10-27,19,52,6,69,0,False
2004-10-28,13,61,14,61,0,False
2004-10-29,14,29,14,48,5,False
2004-10-30,11,33,5,24,0,False
2004-10-31,6,51,2,15,0,False
2004-11-01,14,66,3,56,0,False
2004-11-02,15,46,4,49,0,False
2004-11-03,13,43,5,59,0,False
2004-11-04,8,63,4,48,0,False
2004-11-05,13,76,3,60,1,False
2004-11-06,4,38,7,13,0,False
2004-11-07,7,42,0,29,0,False
2004-11-08,8,65,4,41,0,False
2004-11-09,0,0,0,0,0,True
2004-11-10,13,44,1,55,1,False
2004-11-11,11,58,3,54,1,False
2004-11-12,14,54,6,54,0,False
2004-11-13,9,34,5,41,0,False
2004-11-14,9,34,7,23,2,False
2004-11-15,10,38,4,60,0,False
2004-11-16,15,41,1,60,1,False
2004-11-17,24,54,4,61,1,False
2004-11-18,19,56,6,35,1,False
2004-11-19,15,42,4,27,0,False
2004-11-20,6,33,3,22,0,False
2004-11-21,15,44,2,43,0,False
2004-11-22,17,60,6,58,0,False
2004-11-23,18,49,5,52,0,False
2004-11-24,9,51,10,44,0,False
2004-11-25,14,42,0,36,2,False
2004-11-26,9,47,5,30,0,False
2004-11-27,9,34,6,32,2,False
2004-11-28,15,36,12,26,0,False
2004-11-29,7,63,6,54,0,False
2004-11-30,19,64,6,49,0,False
2004-12-01,11,52,6,59,0,False
2004-12-02,21,55,8,58,0,False
2004-12-03,21,38,1,45,0,False
2004-12-04,7,43,2,37,0,False
2004-12-05,13,31,5,25,2,False
2004-12-06,19,56,8,49,0,False
2004-12-07,19,60,5,55,1,False
2004-12-08,16,42,7,55,2,False
2004-12-09,15,52,3,40,2,False
2004-12-10,28,57,4,47,1,False
2004-12-11,7,49,7,34,5,False
2004-12-12,7,34,3,42,2,False
2004-12-13,12,41,4,47,1,False
2004-12-14,21,53,5,50,0,False
2004-12-15,10,49,4,46,1,False
2004-12-16,12,42,1,45,0,False
2004-12-17,15,51,5,39,0,False
2004-12-18,15,24,4,46,0,False
2004-12-19,7,34,2,15,2,False
2004-12-20,9,41,6,48,0,False
2004-12-21,13,45,4,45,0,False
2004-12-22,16,49,2,38,0,False
2004-12-23,10,33,4,25,1,False
2004-12-24,14,47,6,31,2,False
2004-12-25,19,27,8,16,0,False
2004-12-26,13,29,7,38,0,False
2004-12-27,4,51,4,37,0,False
2004-12-28,15,47,1,41,1,False
2004-12-29,12,43,6,52,0,False
2004-12-30,11,44,4,51,1,False
2004-12-31,10,33,0,39,0,False
2005-01-01,29,38,3,21,0,False
2005-01-02,20,41,3,34,0,False
2005-01-03,17,58,5,52,1,False
2005-01-04,14,49,3,70,0,False
2005-01-05,21,58,3,70,1,False
2005-01-06,18,47,8,53,2,False
2005-01-07,17,43,7,50,1,False
2005-01-08,9,38,6,28,2,False
2005-01-09,19,40,6,29,2,False
2005-01-10,17,40,1,52,0,False
2005-01-11,13,42,5,65,0,False
2005-01-12,22,48,4,54,1,False
2005-01-13,19,47,8,42,1,False
2005-01-14,24,44,2,47,0,False
2005-01-15,19,25,6,27,2,False
2005-01-16,18,32,2,39,2,False
2005-01-17,8,51,3,42,0,False
2005-01-18,15,49,9,61,1,False
2005-01-19,9,54,1,43,1,False
2005-01-20,15,38,1,41,0,False
2005-01-21,13,46,4,53,0,False
2005-01-22,8,29,5,44,0,False
2005-01-23,7,44,1,32,0,False
2005-01-24,9,40,7,49,0,False
2005-01-25,15,42,4,51,0,False
2005-01-26,22,37,5,44,2,False
2005-01-27,15,55,7,57,0,False
2005-01-28,18,39,3,61,1,False
2005-01-29,5,35,2,33,0,False
2005-01-30,7,37,4,31,0,False
2005-01-31,16,58,5,40,0,False
2005-02-01,14,44,2,57,1,False
2005-02-02,10,62,6,53,1,False
2005-02-03,22,61,4,63,1,False
2005-02-04,16,33,6,52,1,False
2005-02-05,5,22,3,34,3,False
2005-02-06,8,41,2,42,0,False
2005-02-07,10,61,5,54,1,False
2005-02-08,13,56,5,46,1,False
2005-02-09,11,48,5,51,0,False
2005-02-10,13,59,7,40,0,False
2005-02-11,8,46,3,44,1,False
2005-02-12,14,34,0,34,2,False
2005-02-13,5,26,3,38,0,False
2005-02-14,14,43,0,45,0,False
2005-02-15,16,62,7,57,1,False
2005-02-16,16,48,4,53,0,False
2005-02-17,21,62,5,52,1,False
2005-02-18,8,40,4,49,0,False
2005-02-19,8,36,2,45,2,False
2005-02-20,9,32,2,37,0,False
2005-02-21,4,59,4,52,1,False
2005-02-22,16,55,8,61,1,False
