date,benevolent,bequeath,betroth,betrothal,bonus,isPartial
2013-09-26,7,1,0,1,54,False
2013-09-27,4,1,0,1,56,False
2013-09-28,3,0,0,0,63,False
2013-09-29,3,0,0,0,62,False
2013-09-30,6,1,0,0,54,False
2013-10-01,8,0,0,0,66,False
2013-10-02,8,0,0,0,63,False
2013-10-03,8,0,0,0,55,False
2013-10-04,6,1,0,0,43,False
2013-10-05,3,0,0,0,55,False
2013-10-06,4,1,0,1,51,False
2013-10-07,6,1,0,2,55,False
2013-10-08,7,1,0,1,53,False
2013-10-09,6,1,0,0,59,False
2013-10-10,7,1,0,0,61,False
2013-10-11,5,1,0,1,58,False
2013-10-12,2,0,0,0,51,False
2013-10-13,3,1,0,1,57,False
2013-10-14,7,1,0,0,67,False
2013-10-15,5,1,0,1,62,False
2013-10-16,4,0,0,0,49,False
2013-10-17,5,1,0,0,54,False
2013-10-18,4,1,0,0,61,False
2013-10-19,4,1,0,1,54,False
2013-10-20,4,0,0,1,53,False
2013-10-21,6,2,1,0,52,False
2013-10-22,7,0,0,1,53,False
2013-10-23,7,1,0,1,59,False
2013-10-24,7,1,0,1,54,False
2013-10-25,8,1,0,1,55,False
2013-10-26,5,0,0,0,69,False
2013-10-27,3,0,1,0,55,False
2013-10-28,7,0,0,0,51,False
2013-10-29,7,1,0,0,61,False
2013-10-30,8,2,0,1,58,False
2013-10-31,5,0,0,0,59,False
2013-11-01,5,2,0,0,54,False
2013-11-02,4,1,0,0,67,False
2013-11-03,4,1,0,0,64,False
2013-11-04,6,2,0,0,59,False
2013-11-05,7,0,0,1,67,False
2013-11-06,6,1,0,0,61,False
2013-11-07,6,1,0,0,58,False
2013-11-08,4,1,0,0,58,False
2013-11-09,1,0,1,0,59,False
2013-11-10,4,1,0,0,55,False
2013-11-11,4,1,0,0,59,False
2013-11-12,5,0,0,0,56,False
2013-11-13,6,0,1,0,56,False
2013-11-14,5,1,0,0,56,False
2013-11-15,6,1,0,2,57,False
2013-11-16,2,1,0,1,56,False
2013-11-17,4,1,1,0,54,False
2013-11-18,6,2,0,0,56,False
2013-11-19,5,1,0,0,61,False
2013-11-20,6,1,0,0,64,False
2013-11-21,3,0,0,1,63,False
2013-11-22,4,1,0,1,57,False
2013-11-23,3,0,0,0,63,False
2013-11-24,4,1,0,0,52,False
2013-11-25,5,1,0,0,54,False
2013-11-26,6,0,0,0,62,False
2013-11-27,4,1,0,0,63,False
2013-11-28,3,0,0,0,61,False
2013-11-29,2,0,0,0,62,False
2013-11-30,4,1,0,0,60,False
2013-12-01,5,1,0,1,56,False
2013-12-02,6,1,0,0,58,False
2013-12-03,6,1,0,0,68,False
2013-12-04,6,1,0,0,69,False
2013-12-05,6,0,0,0,66,False
2013-12-06,6,1,0,0,63,False
2013-12-07,5,0,0,0,68,False
2013-12-08,3,1,0,0,57,False
2013-12-09,7,0,0,1,60,False
2013-12-10,6,1,0,0,68,False
2013-12-11,8,1,0,1,79,False
2013-12-12,6,1,0,1,71,False
2013-12-13,6,1,0,0,68,False
2013-12-14,4,1,0,1,69,False
2013-12-15,5,1,0,0,61,False
2013-12-16,6,0,0,0,74,False
2013-12-17,5,1,0,1,72,False
2013-12-18,5,1,0,0,87,False
2013-12-19,7,1,0,0,75,False
2013-12-20,7,0,0,1,89,False
2013-12-21,2,1,0,0,65,False
2013-12-22,2,0,0,1,61,False
2013-12-23,5,0,0,0,71,False
2013-12-24,5,1,0,1,70,False
2013-12-25,4,1,0,0,61,False
2013-12-26,3,0,0,1,68,False
2013-12-27,5,0,0,1,75,False
2013-12-28,2,1,0,0,71,False
2013-12-29,2,0,0,0,57,False
2013-12-30,4,0,0,0,72,False
2013-12-31,4,1,0,0,70,False
2014-01-01,3,1,0,0,64,False
2014-01-02,3,0,0,0,66,False
2014-01-03,2,1,0,0,62,False
2014-01-04,3,1,0,0,57,False
2014-01-05,4,1,0,0,62,False
2014-01-06,5,1,0,1,55,False
2014-01-07,4,1,0,0,57,False
2014-01-08,3,0,0,0,58,False
2014-01-09,4,0,0,0,56,False
2014-01-10,5,1,0,1,57,False
2014-01-11,1,1,0,1,69,False
2014-01-12,3,1,0,1,64,False
2014-01-13,7,1,0,0,58,False
2014-01-14,6,2,0,1,64,False
2014-01-15,6,1,0,1,69,False
2014-01-16,6,0,0,0,71,False
2014-01-17,6,0,0,0,56,False
2014-01-18,3,1,0,0,65,False
2014-01-19,3,0,1,1,64,False
2014-01-20,3,1,0,0,56,False
2014-01-21,6,1,0,1,54,False
2014-01-22,6,1,0,0,59,False
2014-01-23,6,2,0,0,65,False
2014-01-24,8,1,0,1,65,False
2014-01-25,5,0,0,0,58,False
2014-01-26,3,0,0,1,64,False
2014-01-27,8,1,0,0,57,False
2014-01-28,6,0,0,0,62,False
2014-01-29,6,1,0,1,61,False
2014-01-30,5,1,0,0,59,False
2014-01-31,5,1,0,0,64,False
2014-02-01,4,0,0,1,74,False
2014-02-02,4,1,0,0,63,False
2014-02-03,4,1,0,1,78,False
2014-02-04,5,2,0,1,72,False
2014-02-05,7,1,0,0,73,False
2014-02-06,6,1,0,1,73,False
2014-02-07,6,0,0,1,59,False
2014-02-08,4,1,0,0,69,False
2014-02-09,4,1,0,0,62,False
2014-02-10,7,0,0,1,62,False
2014-02-11,7,1,0,0,67,False
2014-02-12,6,0,0,0,63,False
2014-02-13,6,1,0,1,65,False
2014-02-14,7,2,0,0,61,False
2014-02-15,3,0,0,0,70,False
2014-02-16,2,0,0,0,66,False
2014-02-17,6,0,0,1,64,False
2014-02-18,7,2,0,0,60,False
2014-02-19,5,1,0,1,64,False
2014-02-20,8,1,0,0,58,False
2014-02-21,4,1,0,0,66,False
2014-02-22,3,0,0,0,70,False
2014-02-23,4,1,0,0,68,False
2014-02-24,6,1,0,0,61,False
2014-02-25,6,1,0,1,69,False
2014-02-26,5,0,0,0,69,False
2014-02-27,5,2,0,1,63,False
2014-02-28,5,2,0,0,62,False
2014-03-01,2,0,0,0,66,False
2014-03-02,6,1,0,0,66,False
2014-03-03,6,1,0,0,68,False
2014-03-04,5,1,0,0,76,False
2014-03-05,10,2,0,0,67,False
2014-03-06,6,1,0,0,69,False
2014-03-07,6,1,0,0,70,False
2014-03-08,3,0,0,1,63,False
2014-03-09,6,0,0,1,74,False
2014-03-10,7,0,0,0,66,False
2014-03-11,5,0,0,0,67,False
2014-03-12,5,1,0,1,69,False
2014-03-13,7,0,0,0,72,False
2014-03-14,5,1,0,0,78,False
2014-03-15,3,1,0,0,68,False
2014-03-16,4,1,0,0,68,False
2014-03-17,5,1,0,0,60,False
2014-03-18,6,1,0,1,67,False
2014-03-19,5,1,0,0,71,False
2014-03-20,5,0,0,1,75,False
2014-03-21,6,0,0,0,75,False
2014-03-22,4,0,0,0,80,False
2014-03-23,4,1,0,1,100,False
2014-03-24,5,1,0,1,60,False
2014-03-25,7,0,0,1,69,False
