date,radical,ruin,segregation,shortage,steal,isPartial
2015-08-02,32,32,5,25,81,False
2015-08-03,28,32,6,19,66,False
2015-08-04,29,30,10,16,73,False
2015-08-05,30,37,9,16,69,False
2015-08-06,36,37,10,21,70,False
2015-08-07,36,35,11,20,71,False
2015-08-08,29,30,7,14,80,False
2015-08-09,28,38,8,19,68,False
2015-08-10,36,29,7,18,68,False
2015-08-11,42,33,7,24,67,False
2015-08-12,36,28,9,22,65,False
2015-08-13,36,31,10,17,75,False
2015-08-14,30,27,12,22,61,False
2015-08-15,28,37,6,19,81,False
2015-08-16,28,43,7,20,85,False
2015-08-17,42,36,10,23,71,False
2015-08-18,43,37,13,26,69,False
2015-08-19,42,34,13,22,70,False
2015-08-20,38,29,9,20,77,False
2015-08-21,40,38,11,16,72,False
2015-08-22,30,36,7,19,89,False
2015-08-23,39,42,8,19,62,False
2015-08-24,50,33,7,23,66,False
2015-08-25,59,33,11,16,64,False
2015-08-26,53,23,12,21,64,False
2015-08-27,59,35,8,16,65,False
2015-08-28,52,35,9,22,68,False
2015-08-29,35,36,5,13,69,False
2015-08-30,55,35,6,13,86,False
2015-08-31,55,24,18,23,53,False
2015-09-01,65,29,16,23,59,False
2015-09-02,61,31,19,20,70,False
2015-09-03,60,27,15,19,53,False
2015-09-04,48,33,19,21,73,False
2015-09-05,31,29,8,15,72,False
2015-09-06,40,30,16,14,59,False
2015-09-07,42,30,11,22,65,False
2015-09-08,63,29,21,23,74,False
2015-09-09,72,25,21,22,60,False
2015-09-10,57,26,24,23,66,False
2015-09-11,63,30,17,21,67,False
2015-09-12,37,33,9,16,74,False
2015-09-13,50,38,11,23,87,False
2015-09-14,65,27,19,22,61,False
2015-09-15,69,36,24,22,60,False
2015-09-16,69,30,25,27,56,False
2015-09-17,69,33,22,31,67,False
2015-09-18,77,26,23,22,65,False
2015-09-19,46,31,14,20,77,False
2015-09-20,55,34,11,18,59,False
2015-09-21,68,31,19,23,54,False
2015-09-22,76,28,27,23,59,False
2015-09-23,61,23,24,28,69,False
2015-09-24,69,34,19,25,59,False
2015-09-25,62,45,21,23,61,False
2015-09-26,38,37,11,15,66,False
2015-09-27,41,40,14,21,71,False
2015-09-28,76,31,27,25,59,False
2015-09-29,58,28,30,24,63,False
2015-09-30,73,28,22,19,64,False
2015-10-01,57,21,25,22,64,False
2015-10-02,54,29,24,21,54,False
2015-10-03,41,32,11,19,69,False
2015-10-04,41,41,15,14,70,False
2015-10-05,55,27,24,26,62,False
2015-10-06,72,33,26,29,63,False
2015-10-07,62,29,25,28,64,False
2015-10-08,70,27,21,30,67,False
2015-10-09,47,33,24,23,64,False
2015-10-10,32,26,9,22,73,False
2015-10-11,41,34,7,17,68,False
2015-10-12,64,28,18,23,71,False
2015-10-13,65,30,30,24,66,False
2015-10-14,58,27,23,28,63,False
2015-10-15,60,30,27,24,59,False
2015-10-16,48,31,25,18,59,False
2015-10-17,31,35,6,18,75,False
2015-10-18,52,27,14,13,69,False
2015-10-19,60,30,25,20,61,False
2015-10-20,69,31,33,24,74,False
2015-10-21,62,36,25,24,67,False
2015-10-22,56,29,34,26,62,False
