date,inexpensive,inherit,invaluable,legal,lucrative,isPartial
2005-05-23,8,2,0,85,0,False
2005-05-24,10,2,0,88,0,False
2005-05-25,9,0,0,76,0,False
2005-05-26,7,1,0,73,0,False
2005-05-27,9,1,0,75,0,False
2005-05-28,9,1,0,44,0,False
2005-05-29,15,0,0,66,0,False
2005-05-30,7,1,0,70,0,False
2005-05-31,6,1,0,84,0,False
2005-06-01,10,0,0,81,0,False
2005-06-02,9,1,0,71,0,False
2005-06-03,9,1,0,70,0,False
2005-06-04,6,1,0,69,0,False
2005-06-05,5,1,0,60,0,False
2005-06-06,6,1,0,83,1,False
2005-06-07,5,3,0,95,0,False
2005-06-08,11,1,0,83,0,False
2005-06-09,4,1,0,79,1,False
2005-06-10,6,1,0,82,0,False
2005-06-11,7,1,0,61,1,False
2005-06-12,6,1,0,62,0,False
2005-06-13,9,0,0,79,0,False
2005-06-14,7,2,0,76,0,False
2005-06-15,9,3,0,74,0,False
2005-06-16,9,2,0,82,0,False
2005-06-17,9,2,0,71,1,False
2005-06-18,9,0,0,63,0,False
2005-06-19,5,2,0,66,0,False
2005-06-20,10,1,0,86,0,False
2005-06-21,9,1,0,81,0,False
2005-06-22,6,0,0,74,0,False
2005-06-23,7,0,0,76,1,False
2005-06-24,10,0,0,71,0,False
2005-06-25,7,1,0,67,0,False
2005-06-26,10,1,0,61,0,False
2005-06-27,11,3,0,78,0,False
2005-06-28,8,2,0,84,0,False
2005-06-29,10,0,0,85,0,False
2005-06-30,9,0,0,83,0,False
2005-07-01,10,1,0,81,1,False
2005-07-02,5,2,0,58,0,False
2005-07-03,3,3,0,48,0,False
2005-07-04,7,1,0,74,0,False
2005-07-05,7,1,0,91,0,False
2005-07-06,10,1,0,78,0,False
2005-07-07,11,1,0,80,0,False
2005-07-08,7,1,0,68,0,False
2005-07-09,7,0,0,68,0,False
2005-07-10,7,0,0,69,0,False
2005-07-11,10,1,0,79,0,False
2005-07-12,8,2,0,78,1,False
2005-07-13,8,0,0,84,0,False
2005-07-14,9,2,0,82,0,False
2005-07-15,8,1,0,83,0,False
2005-07-16,7,3,0,65,0,False
2005-07-17,11,1,0,61,0,False
2005-07-18,9,2,0,82,0,False
2005-07-19,9,3,1,82,0,False
2005-07-20,9,1,0,86,0,False
2005-07-21,10,0,0,88,1,False
2005-07-22,5,0,1,60,0,False
2005-07-23,11,0,0,59,0,False
2005-07-24,10,1,0,73,0,False
2005-07-25,11,1,0,72,0,False
2005-07-26,10,1,0,78,0,False
2005-07-27,11,0,0,88,0,False
2005-07-28,8,1,0,89,0,False
2005-07-29,5,1,0,89,0,False
2005-07-30,8,0,0,71,0,False
2005-07-31,12,2,1,63,0,False
2005-08-01,8,2,0,79,1,False
2005-08-02,9,0,0,83,0,False
2005-08-03,8,1,0,81,1,False
2005-08-04,8,0,0,84,0,False
2005-08-05,6,1,0,70,0,False
2005-08-06,6,1,0,64,0,False
2005-08-07,12,1,0,68,0,False
2005-08-08,9,2,0,86,0,False
2005-08-09,6,0,0,83,0,False
2005-08-10,6,0,0,77,0,False
2005-08-11,9,0,0,67,0,False
2005-08-12,11,1,0,67,0,False
2005-08-13,7,1,0,56,0,False
2005-08-14,10,1,0,57,0,False
2005-08-15,6,1,1,75,0,False
2005-08-16,7,0,0,79,0,False
2005-08-17,5,1,0,83,0,False
2005-08-18,9,0,0,76,0,False
2005-08-19,9,0,0,75,0,False
2005-08-20,13,0,1,61,1,False
2005-08-21,13,1,0,58,0,False
2005-08-22,8,0,0,68,0,False
2005-08-23,10,2,0,77,0,False
2005-08-24,7,0,0,97,0,False
2005-08-25,7,1,1,87,0,False
2005-08-26,6,0,0,73,0,False
