date,advantage,affluence,affluent,afloat,allowance,isPartial
2010-12-15,82,1,2,0,18,False
2010-12-16,75,1,1,1,14,False
2010-12-17,73,1,2,0,12,False
2010-12-18,51,3,1,0,15,False
2010-12-19,50,1,0,0,13,False
2010-12-20,73,0,1,0,16,False
2010-12-21,69,0,1,0,18,False
2010-12-22,73,0,1,1,17,False
2010-12-23,52,0,1,1,15,False
2010-12-24,40,0,0,0,11,False
2010-12-25,35,3,0,0,16,False
2010-12-26,38,0,1,0,12,False
2010-12-27,65,0,1,1,16,False
2010-12-28,66,0,3,1,19,False
2010-12-29,72,1,1,0,13,False
2010-12-30,61,1,2,1,20,False
2010-12-31,52,1,1,1,12,False
2011-01-01,41,0,1,0,13,False
2011-01-02,54,0,1,1,15,False
2011-01-03,80,1,1,1,23,False
2011-01-04,87,2,2,1,21,False
2011-01-05,79,2,2,0,22,False
2011-01-06,81,1,2,1,19,False
2011-01-07,72,2,1,1,18,False
2011-01-08,65,0,1,0,9,False
2011-01-09,58,1,1,0,18,False
2011-01-10,80,2,1,0,19,False
2011-01-11,71,1,1,0,19,False
2011-01-12,81,1,3,1,16,False
2011-01-13,80,1,2,0,17,False
2011-01-14,77,1,1,1,15,False
2011-01-15,63,0,1,0,19,False
2011-01-16,58,0,2,0,14,False
2011-01-17,84,1,1,0,14,False
2011-01-18,80,1,1,0,18,False
2011-01-19,92,0,2,1,17,False
2011-01-20,98,1,4,0,10,False
2011-01-21,78,1,1,0,16,False
2011-01-22,61,0,2,0,18,False
2011-01-23,56,1,1,1,18,False
2011-01-24,82,1,1,1,18,False
2011-01-25,93,1,2,0,26,False
2011-01-26,91,1,2,1,17,False
2011-01-27,86,1,1,0,14,False
2011-01-28,82,1,2,1,16,False
2011-01-29,57,1,1,0,18,False
2011-01-30,54,1,1,1,12,False
2011-01-31,94,0,2,1,20,False
2011-02-01,79,1,1,0,16,False
2011-02-02,91,1,1,1,17,False
2011-02-03,88,0,2,1,18,False
2011-02-04,79,0,1,1,16,False
2011-02-05,61,0,1,1,17,False
2011-02-06,65,0,2,0,16,False
2011-02-07,82,1,2,0,19,False
2011-02-08,91,1,3,0,19,False
2011-02-09,90,0,2,0,17,False
2011-02-10,82,0,2,0,19,False
2011-02-11,78,1,2,0,16,False
2011-02-12,54,1,0,1,12,False
2011-02-13,60,1,1,1,15,False
2011-02-14,86,1,2,1,15,False
2011-02-15,87,1,2,0,14,False
2011-02-16,88,0,3,1,17,False
2011-02-17,94,1,1,1,16,False
2011-02-18,74,0,2,2,16,False
2011-02-19,53,1,1,0,12,False
2011-02-20,59,0,2,1,12,False
2011-02-21,81,1,2,0,16,False
2011-02-22,84,1,3,1,19,False
2011-02-23,93,0,2,1,16,False
2011-02-24,87,0,1,1,18,False
2011-02-25,68,0,2,1,13,False
2011-02-26,62,0,1,0,14,False
2011-02-27,62,2,2,1,14,False
2011-02-28,88,1,2,1,17,False
2011-03-01,93,0,1,0,16,False
2011-03-02,81,1,3,1,15,False
2011-03-03,91,0,1,1,15,False
2011-03-04,83,1,2,1,14,False
2011-03-05,65,0,1,0,12,False
2011-03-06,59,1,1,1,15,False
2011-03-07,95,0,2,0,19,False
2011-03-08,87,1,1,0,17,False
2011-03-09,82,1,2,0,16,False
2011-03-10,73,0,1,0,18,False
2011-03-11,79,0,1,1,11,False
2011-03-12,61,0,1,1,11,False
2011-03-13,62,0,1,0,12,False
2011-03-14,94,0,2,1,20,False
2011-03-15,88,0,1,1,14,False
2011-03-16,73,1,2,1,16,False
2011-03-17,84,1,2,1,15,False
2011-03-18,72,1,1,0,14,False
2011-03-19,59,0,2,0,13,False
2011-03-20,58,1,2,1,11,False
2011-03-21,89,0,2,0,19,False
2011-03-22,84,1,1,1,13,False
2011-03-23,100,0,1,1,13,False
2011-03-24,78,0,2,1,16,False
2011-03-25,79,1,1,1,14,False
2011-03-26,55,0,2,1,9,False
2011-03-27,59,0,3,1,14,False
2011-03-28,94,1,2,1,21,False
2011-03-29,88,1,0,0,25,False
2011-03-30,89,1,2,1,16,False
2011-03-31,86,2,3,0,16,False
2011-04-01,81,1,3,1,19,False
2011-04-02,55,0,3,1,16,False
2011-04-03,64,0,1,1,15,False
2011-04-04,89,0,1,1,18,False
2011-04-05,91,1,2,0,20,False
2011-04-06,85,1,2,1,15,False
2011-04-07,75,0,1,0,17,False
2011-04-08,79,1,2,0,16,False
2011-04-09,60,0,2,0,15,False
2011-04-10,64,0,2,0,12,False
2011-04-11,97,1,1,0,17,False
2011-04-12,89,1,1,0,21,False
2011-04-13,86,0,1,0,20,False
2011-04-14,84,0,3,1,18,False
2011-04-15,85,1,2,0,16,False
2011-04-16,63,1,0,1,13,False
