date,cost,crisis,deficit,depreciation,domination
2004-01-01,57.7070784147,17.8836808359,0.0,0.0,0.0
2004-01-02,69.042397389,7.3638685795,4.93329158315,2.58675965408,1.89363235047
2004-01-03,68.0119138459,9.46783103078,3.69996868736,0.0,1.26242156698
2004-01-04,77.2862657339,11.5717934821,4.93329158315,2.58675965408,0.631210783491
2004-01-05,83.4691669927,15.7797183846,2.46664579158,0.0,2.52484313396
2004-01-06,85.5301340789,9.46783103078,7.39993737473,2.58675965408,0.631210783491
2004-01-07,73.1643315615,12.6237747077,6.16661447894,2.58675965408,0.631210783491
2004-01-08,87.5911011651,9.46783103078,8.63326027051,2.58675965408,1.26242156698
2004-01-09,89.6520682514,10.5198122564,7.39993737473,2.58675965408,2.52484313396
2004-01-10,76.2557821908,5.25990612821,2.46664579158,5.17351930816,1.26242156698
2004-01-11,64.9204632165,7.3638685795,3.69996868736,10.3470386163,2.52484313396
2004-01-12,76.2557821908,8.41584980514,6.16661447894,5.17351930816,1.26242156698
2004-01-13,79.3472328202,8.41584980514,7.39993737473,2.58675965408,0.631210783491
2004-01-14,75.2252986477,13.6757559334,11.0999060621,2.58675965408,0.631210783491
2004-01-15,78.3167492771,14.727737159,6.16661447894,2.58675965408,0.0
2004-01-16,83.4691669927,10.5198122564,6.16661447894,7.76027896224,0.631210783491
2004-01-17,55.6461113284,8.41584980514,6.16661447894,2.58675965408,3.15605391745
2004-01-18,79.3472328202,6.31188735385,2.46664579158,0.0,3.15605391745
2004-01-19,74.1948151046,14.727737159,4.93329158315,5.17351930816,0.631210783491
2004-01-20,76.2557821908,6.31188735385,4.93329158315,2.58675965408,0.631210783491
2004-01-21,77.2862657339,12.6237747077,9.8665831663,5.17351930816,0.0
2004-01-22,84.4996505358,13.6757559334,7.39993737473,2.58675965408,1.89363235047
2004-01-23,68.0119138459,9.46783103078,7.39993737473,5.17351930816,0.631210783491
2004-01-24,68.0119138459,7.3638685795,1.23332289579,2.58675965408,1.26242156698
2004-01-25,73.1643315615,13.6757559334,3.69996868736,5.17351930816,2.52484313396
2004-01-26,73.1643315615,10.5198122564,7.39993737473,5.17351930816,0.631210783491
2004-01-27,80.3777163633,8.41584980514,9.8665831663,10.3470386163,1.26242156698
2004-01-28,68.0119138459,12.6237747077,6.16661447894,5.17351930816,1.89363235047
2004-01-29,90.6825517945,9.46783103078,7.39993737473,2.58675965408,3.15605391745
2004-01-30,90.6825517945,12.6237747077,7.39993737473,0.0,0.631210783491
2004-01-31,59.7680455009,12.6237747077,4.93329158315,2.58675965408,1.89363235047
2004-02-01,79.3472328202,10.5198122564,7.39993737473,2.58675965408,0.631210783491
2004-02-02,79.3472328202,7.3638685795,8.63326027051,5.17351930816,1.89363235047
2004-02-03,74.1948151046,10.5198122564,13.5665518537,5.17351930816,1.89363235047
2004-02-04,74.1948151046,12.6237747077,7.39993737473,7.76027896224,1.89363235047
2004-02-05,78.3167492771,10.5198122564,9.8665831663,2.58675965408,1.26242156698
2004-02-06,79.3472328202,8.41584980514,7.39993737473,10.3470386163,2.52484313396
2004-02-07,65.9509467596,14.727737159,4.93329158315,15.5205579245,0.0
2004-02-08,85.5301340789,5.25990612821,6.16661447894,7.76027896224,0.631210783491
2004-02-09,73.1643315615,12.6237747077,8.63326027051,5.17351930816,1.26242156698
2004-02-10,81.4081999064,13.6757559334,3.69996868736,5.17351930816,1.26242156698
2004-02-11,85.5301340789,15.7797183846,9.8665831663,5.17351930816,2.52484313396
2004-02-12,77.2862657339,13.6757559334,8.63326027051,5.17351930816,1.26242156698
2004-02-13,73.1643315615,6.31188735385,6.16661447894,2.58675965408,2.52484313396
2004-02-14,74.1948151046,8.41584980514,4.93329158315,5.17351930816,2.52484313396
2004-02-15,63.8899796734,7.3638685795,7.39993737473,5.17351930816,0.631210783491
2004-02-16,79.3472328202,10.5198122564,7.39993737473,7.76027896224,1.89363235047
2004-02-17,85.5301340789,13.6757559334,7.39993737473,7.76027896224,1.89363235047
2004-02-18,91.7130353376,15.7797183846,6.16661447894,2.58675965408,0.631210783491
2004-02-19,80.3777163633,8.41584980514,9.8665831663,5.17351930816,1.26242156698
2004-02-20,89.6520682514,13.6757559334,6.16661447894,10.3470386163,0.631210783491
2004-02-21,69.042397389,9.46783103078,4.93329158315,2.58675965408,1.26242156698
2004-02-22,79.3472328202,10.5198122564,8.63326027051,15.5205579245,0.631210783491
2004-02-23,86.560617622,15.7797183846,6.16661447894,7.76027896224,0.631210783491
2004-02-24,90.6825517945,14.727737159,8.63326027051,5.17351930816,2.52484313396
2004-02-25,88.6215847082,15.7797183846,7.39993737473,7.76027896224,1.26242156698
2004-02-26,84.4996505358,9.46783103078,7.39993737473,5.17351930816,1.89363235047
2004-02-27,80.3777163633,9.46783103078,2.46664579158,2.58675965408,1.89363235047
2004-02-28,73.1643315615,13.6757559334,11.0999060621,0.0,0.631210783491
2004-02-29,64.9204632165,8.41584980514,18.4998434368,5.17351930816,2.52484313396
2004-03-01,91.7130353376,10.5198122564,6.16661447894,10.3470386163,0.631210783491
2004-03-02,74.1948151046,15.7797183846,9.8665831663,5.17351930816,1.89363235047
2004-03-03,82.4386834495,15.7797183846,7.39993737473,15.5205579245,3.78726470094
2004-03-04,75.2252986477,15.7797183846,2.46664579158,5.17351930816,2.52484313396
2004-03-05,80.3777163633,13.6757559334,12.3332289579,0.0,3.15605391745
2004-03-06,52.5546606991,14.727737159,7.39993737473,15.5205579245,3.15605391745
2004-03-07,77.2862657339,2.10396245128,7.39993737473,5.17351930816,1.26242156698
