date,squander,tariff,underworld,uneconomical,unemployed,isPartial
2006-10-13,0,17,31,0,0,False
2006-10-14,0,4,42,0,4,False
2006-10-15,0,10,51,0,10,False
2006-10-16,0,15,26,0,4,False
2006-10-17,0,11,30,0,2,False
2006-10-18,0,19,32,0,2,False
2006-10-19,0,13,27,0,7,False
2006-10-20,2,16,21,0,14,False
2006-10-21,3,10,38,0,14,False
2006-10-22,0,7,50,0,3,False
2006-10-23,0,30,39,0,13,False
2006-10-24,0,15,25,0,4,False
2006-10-25,0,23,29,0,8,False
2006-10-26,0,11,30,0,6,False
2006-10-27,0,11,37,0,9,False
2006-10-28,3,7,44,0,10,False
2006-10-29,0,14,10,0,7,False
2006-10-30,0,17,21,0,2,False
2006-10-31,0,28,30,0,8,False
2006-11-01,0,25,22,0,7,False
2006-11-02,0,29,34,0,11,False
2006-11-03,0,18,27,0,5,False
2006-11-04,0,3,20,0,3,False
2006-11-05,0,20,26,0,7,False
2006-11-06,0,21,27,0,8,False
2006-11-07,0,18,22,0,4,False
2006-11-08,0,16,12,0,8,False
2006-11-09,0,26,21,0,2,False
2006-11-10,0,14,23,0,7,False
2006-11-11,0,13,26,0,6,False
2006-11-12,0,6,31,0,3,False
2006-11-13,2,21,21,0,10,False
2006-11-14,0,12,52,0,6,False
2006-11-15,0,28,20,0,8,False
2006-11-16,0,25,15,0,6,False
2006-11-17,2,18,31,0,7,False
2006-11-18,0,13,19,3,6,False
2006-11-19,0,16,26,0,0,False
2006-11-20,0,15,27,0,10,False
2006-11-21,0,25,25,0,8,False
2006-11-22,0,9,12,0,5,False
2006-11-23,0,4,39,0,4,False
2006-11-24,0,16,19,0,0,False
2006-11-25,0,10,24,0,3,False
2006-11-26,3,13,32,0,0,False
2006-11-27,2,20,24,0,10,False
2006-11-28,0,19,27,0,14,False
2006-11-29,0,29,18,0,2,False
2006-11-30,2,20,20,0,12,False
2006-12-01,0,17,13,0,8,False
2006-12-02,0,9,63,0,12,False
2006-12-03,0,9,100,0,3,False
2006-12-04,0,20,40,0,16,False
2006-12-05,4,23,23,0,6,False
2006-12-06,0,40,24,0,14,False
2006-12-07,0,12,32,0,8,False
2006-12-08,2,17,15,0,11,False
2006-12-09,0,21,33,0,0,False
2006-12-10,0,18,30,0,3,False
2006-12-11,0,24,32,0,6,False
2006-12-12,0,19,10,0,4,False
