date,hustle,hustler,inflation,jobless,laid,isPartial
2010-04-05,19,39,59,5,24,False
2010-04-06,14,42,52,2,37,False
2010-04-07,18,40,50,1,37,False
2010-04-08,21,36,62,8,36,False
2010-04-09,25,31,56,6,42,False
2010-04-10,17,61,44,6,37,False
2010-04-11,28,46,59,1,29,False
2010-04-12,16,32,57,5,33,False
2010-04-13,17,34,53,9,37,False
2010-04-14,16,37,72,7,25,False
2010-04-15,20,31,59,10,31,False
2010-04-16,20,44,58,14,32,False
2010-04-17,16,47,46,4,34,False
2010-04-18,26,64,48,0,31,False
2010-04-19,19,32,57,5,29,False
2010-04-20,23,35,66,5,32,False
2010-04-21,18,26,64,4,34,False
2010-04-22,22,48,57,7,39,False
2010-04-23,25,45,43,4,31,False
2010-04-24,27,56,44,0,40,False
2010-04-25,22,54,48,3,33,False
2010-04-26,15,34,63,2,44,False
2010-04-27,23,37,65,2,32,False
2010-04-28,20,35,58,5,28,False
2010-04-29,12,33,55,7,42,False
2010-04-30,20,39,44,6,28,False
2010-05-01,25,52,46,2,36,False
2010-05-02,32,47,53,2,34,False
2010-05-03,23,31,65,3,30,False
2010-05-04,24,30,54,2,30,False
2010-05-05,21,34,59,1,28,False
2010-05-06,17,36,61,2,28,False
2010-05-07,14,31,46,7,25,False
2010-05-08,23,61,40,3,43,False
2010-05-09,45,43,41,1,37,False
2010-05-10,19,44,54,2,25,False
2010-05-11,23,38,49,2,33,False
2010-05-12,21,29,43,0,19,False
2010-05-13,14,39,64,5,28,False
2010-05-14,21,29,52,4,25,False
2010-05-15,22,38,45,1,39,False
2010-05-16,25,46,35,4,28,False
2010-05-17,19,33,50,2,27,False
2010-05-18,26,38,59,1,33,False
2010-05-19,22,38,48,2,25,False
2010-05-20,25,43,67,11,35,False
2010-05-21,31,40,39,5,32,False
2010-05-22,18,51,21,1,23,False
2010-05-23,26,53,39,0,23,False
2010-05-24,36,39,48,8,37,False
2010-05-25,28,41,46,2,31,False
2010-05-26,9,37,46,2,32,False
2010-05-27,16,35,42,5,33,False
2010-05-28,23,39,45,6,33,False
2010-05-29,20,47,25,3,31,False
2010-05-30,24,51,31,3,36,False
2010-05-31,36,21,29,0,26,False
2010-06-01,21,39,43,3,24,False
2010-06-02,14,41,38,2,41,False
2010-06-03,20,42,48,3,26,False
2010-06-04,10,44,45,5,34,False
2010-06-05,5,44,32,4,26,False
2010-06-06,25,48,38,1,24,False
2010-06-07,23,34,42,3,28,False
2010-06-08,21,42,35,7,27,False
2010-06-09,20,38,35,1,32,False
2010-06-10,18,57,40,6,27,False
2010-06-11,17,46,45,5,38,False
2010-06-12,20,66,20,3,24,False
2010-06-13,21,36,41,1,26,False
2010-06-14,25,45,46,2,20,False
2010-06-15,18,46,42,5,39,False
2010-06-16,16,40,30,4,30,False
2010-06-17,13,41,55,9,38,False
2010-06-18,24,45,32,12,37,False
2010-06-19,23,41,15,3,27,False
2010-06-20,21,63,28,4,29,False
2010-06-21,16,51,44,4,34,False
2010-06-22,14,42,37,3,26,False
2010-06-23,20,37,36,3,25,False
2010-06-24,15,39,45,14,30,False
2010-06-25,23,44,38,14,31,False
2010-06-26,14,52,22,12,35,False
2010-06-27,22,40,25,7,29,False
2010-06-28,15,31,38,3,33,False
2010-06-29,9,50,43,8,26,False
2010-06-30,13,31,38,3,30,False
2010-07-01,19,41,41,9,26,False
2010-07-02,14,43,32,19,34,False
2010-07-03,15,38,27,3,28,False
2010-07-04,19,39,36,4,31,False
2010-07-05,24,36,31,5,23,False
2010-07-06,12,53,39,3,34,False
2010-07-07,17,36,34,5,23,False
2010-07-08,18,36,36,11,38,False
2010-07-09,18,42,36,4,27,False
2010-07-10,22,44,27,3,34,False
2010-07-11,14,39,34,2,39,False
2010-07-12,14,44,32,7,31,False
2010-07-13,19,36,48,7,26,False
2010-07-14,15,35,46,5,28,False
2010-07-15,20,39,38,10,39,False
2010-07-16,11,40,35,7,26,False
2010-07-17,35,46,33,3,34,False
