date,unprofitable,vagabond,vagrant
2004-05-06,0.0,37.5326703342,102.337507251
2004-05-07,0.0,0.0,0.0
2004-05-08,0.0,69.7035306207,0.0
2004-05-09,0.0,139.407061241,275.252605709
2004-05-10,0.0,77.7462456923,0.0
2004-05-11,0.0,37.5326703342,0.0
2004-05-12,0.0,0.0,0.0
2004-05-13,0.0,0.0,0.0
2004-05-14,0.0,80.4271507161,0.0
2004-05-15,0.0,67.0226255968,88.2219890093
2004-05-16,0.0,134.045251194,0.0
2004-05-17,0.0,109.917105979,0.0
2004-05-18,0.0,37.5326703342,49.4043138452
2004-05-19,0.0,72.3844356445,0.0
2004-05-20,0.0,0.0,98.8086276904
2004-05-21,0.0,80.4271507161,0.0
2004-05-22,0.0,0.0,88.2219890093
2004-05-23,0.0,67.0226255968,88.2219890093
2004-05-24,0.0,75.0653406684,98.8086276904
2004-05-25,0.0,0.0,0.0
2004-05-26,0.0,0.0,0.0
2004-05-27,0.0,117.95982105,52.9331934056
2004-05-28,0.0,42.8944803819,0.0
2004-05-29,0.0,0.0,0.0
2004-05-30,0.0,77.7462456923,0.0
2004-05-31,0.0,61.660815549,0.0
2004-06-01,0.0,115.278916026,49.4043138452
2004-06-02,0.0,112.598011003,49.4043138452
2004-06-03,0.0,37.5326703342,49.4043138452
2004-06-04,0.0,0.0,109.395266372
2004-06-05,0.0,136.726156217,88.2219890093
2004-06-06,0.0,0.0,88.2219890093
2004-06-07,0.0,0.0,102.337507251
2004-06-08,0.0,112.598011003,98.8086276904
2004-06-09,0.0,37.5326703342,0.0
2004-06-10,0.0,80.4271507161,105.866386811
2004-06-11,0.0,88.4698657878,0.0
2004-06-12,0.0,0.0,91.7508685697
2004-06-13,0.0,0.0,0.0
2004-06-14,0.0,77.7462456923,102.337507251
2004-06-15,0.0,37.5326703342,0.0
2004-06-16,0.0,117.95982105,102.337507251
2004-06-17,0.0,0.0,105.866386811
2004-06-18,0.0,0.0,56.4620729659
2004-06-19,0.0,69.7035306207,0.0
2004-06-20,0.0,0.0,0.0
2004-06-21,0.0,40.2135753581,0.0
2004-06-22,0.0,0.0,49.4043138452
2004-06-23,0.0,0.0,257.608207907
2004-06-24,0.0,120.640726074,158.799580217
2004-06-25,0.0,42.8944803819,56.4620729659
2004-06-26,0.0,0.0,0.0
2004-06-27,0.0,144.768871289,95.27974813
2004-06-28,0.0,40.2135753581,102.337507251
2004-06-29,0.0,77.7462456923,102.337507251
2004-06-30,0.0,77.7462456923,0.0
2004-07-01,0.0,80.4271507161,0.0
2004-07-02,0.0,45.5753854058,0.0
2004-07-03,0.0,217.153306934,95.27974813
2004-07-04,0.0,152.811586361,102.337507251
2004-07-05,0.0,64.3417205729,84.6931094489
2004-07-06,0.0,0.0,49.4043138452
2004-07-07,0.0,152.811586361,0.0
2004-07-08,0.0,77.7462456923,52.9331934056
2004-07-09,0.0,0.0,56.4620729659
2004-07-10,0.0,67.0226255968,88.2219890093
2004-07-11,0.0,134.045251194,264.665967028
2004-07-12,0.0,152.811586361,49.4043138452
2004-07-13,0.0,75.0653406684,98.8086276904
2004-07-14,0.0,0.0,0.0
2004-07-15,0.0,0.0,0.0
2004-07-16,0.0,0.0,112.924145932
2004-07-17,0.0,0.0,0.0
2004-07-18,0.0,265.409597363,0.0
2004-07-19,0.0,112.598011003,0.0
2004-07-20,0.0,37.5326703342,0.0
2004-07-21,0.0,115.278916026,98.8086276904
2004-07-22,0.0,40.2135753581,257.608207907
