date,radical,ruin,segregation,shortage,steal,isPartial
2008-03-04,26,11,13,14,25,False
2008-03-05,17,12,14,16,34,False
2008-03-06,27,11,14,13,26,False
2008-03-07,19,13,5,9,29,False
2008-03-08,18,16,5,9,36,False
2008-03-09,16,9,7,11,25,False
2008-03-10,29,7,8,8,34,False
2008-03-11,21,13,11,16,28,False
2008-03-12,23,15,12,14,23,False
2008-03-13,25,8,13,11,30,False
2008-03-14,21,13,11,15,23,False
2008-03-15,14,22,3,6,44,False
2008-03-16,19,9,6,15,35,False
2008-03-17,26,15,9,12,28,False
2008-03-18,26,11,11,15,38,False
2008-03-19,23,12,9,9,36,False
2008-03-20,27,12,7,17,39,False
2008-03-21,30,12,6,12,45,False
2008-03-22,21,8,5,14,32,False
2008-03-23,19,9,5,11,34,False
2008-03-24,25,11,7,11,35,False
2008-03-25,17,12,6,14,27,False
2008-03-26,27,15,11,19,37,False
2008-03-27,22,9,8,19,34,False
2008-03-28,19,13,7,13,33,False
2008-03-29,13,12,2,4,37,False
2008-03-30,23,13,11,27,44,False
2008-03-31,19,10,13,13,33,False
2008-04-01,15,14,11,13,29,False
2008-04-02,16,12,11,10,31,False
2008-04-03,19,7,9,12,30,False
2008-04-04,20,17,10,12,49,False
2008-04-05,25,24,8,7,47,False
2008-04-06,17,27,5,14,35,False
2008-04-07,20,12,12,17,33,False
2008-04-08,21,10,12,17,32,False
2008-04-09,19,12,16,21,33,False
2008-04-10,19,17,14,17,35,False
2008-04-11,27,11,10,23,31,False
2008-04-12,22,17,4,20,42,False
2008-04-13,23,16,12,12,51,False
2008-04-14,20,13,13,27,26,False
2008-04-15,22,12,14,17,34,False
2008-04-16,22,10,12,14,25,False
2008-04-17,25,13,16,12,31,False
2008-04-18,21,11,9,26,37,False
2008-04-19,15,12,4,20,41,False
2008-04-20,18,11,7,22,41,False
2008-04-21,27,12,15,24,36,False
2008-04-22,21,9,14,41,27,False
2008-04-23,30,14,13,52,42,False
2008-04-24,33,12,8,89,30,False
2008-04-25,23,14,8,77,27,False
2008-04-26,21,11,2,51,51,False
2008-04-27,12,21,15,49,42,False
2008-04-28,21,12,12,52,30,False
2008-04-29,25,12,16,37,36,False
2008-04-30,24,17,15,38,37,False
2008-05-01,16,9,16,19,48,False
2008-05-02,21,12,13,26,35,False
2008-05-03,17,11,11,20,46,False
2008-05-04,24,19,9,21,30,False
2008-05-05,20,7,12,20,36,False
2008-05-06,26,11,12,28,29,False
2008-05-07,15,11,11,20,36,False
2008-05-08,21,9,12,20,36,False
2008-05-09,19,5,7,18,34,False
2008-05-10,12,9,5,12,38,False
2008-05-11,15,13,9,17,41,False
2008-05-12,21,4,9,16,33,False
2008-05-13,35,11,11,22,34,False
2008-05-14,24,14,14,16,40,False
2008-05-15,17,9,9,13,43,False
2008-05-16,15,9,9,10,29,False
2008-05-17,21,14,7,9,59,False
2008-05-18,22,17,5,15,60,False
2008-05-19,20,10,9,16,30,False
2008-05-20,21,5,14,12,35,False
2008-05-21,26,10,14,19,29,False
2008-05-22,20,11,9,10,29,False
2008-05-23,16,9,9,12,37,False
2008-05-24,15,13,3,14,38,False
2008-05-25,16,21,4,17,48,False
2008-05-26,24,15,4,12,46,False
2008-05-27,21,8,13,16,46,False
2008-05-28,23,22,8,17,49,False
2008-05-29,21,11,9,17,30,False
2008-05-30,15,10,4,12,39,False
2008-05-31,17,14,3,16,59,False
2008-06-01,23,11,9,15,57,False
2008-06-02,27,8,14,18,41,False
2008-06-03,24,16,5,13,44,False
2008-06-04,19,10,6,14,51,False
2008-06-05,27,11,4,13,44,False
2008-06-06,20,15,6,10,39,False
2008-06-07,14,11,6,10,49,False
2008-06-08,14,16,7,16,46,False
