date,privileged,productive,productivity,profit,profitable,isPartial
2016-12-22,1,4,7,53,4,False
2016-12-23,1,3,4,43,5,False
2016-12-24,2,2,2,32,6,False
2016-12-25,1,2,4,32,4,False
2016-12-26,2,3,4,39,5,False
2016-12-27,1,5,7,49,6,False
2016-12-28,2,5,4,55,6,False
2016-12-29,2,6,7,53,3,False
2016-12-30,1,5,6,49,7,False
2016-12-31,1,4,4,42,6,False
2017-01-01,1,4,4,33,4,False
2017-01-02,2,5,7,49,7,False
2017-01-03,2,8,10,65,5,False
2017-01-04,2,6,9,68,6,False
2017-01-05,1,7,10,75,7,False
2017-01-06,2,5,9,63,8,False
2017-01-07,1,4,4,51,6,False
2017-01-08,1,6,7,44,7,False
2017-01-09,3,6,10,64,6,False
2017-01-10,3,6,10,65,6,False
2017-01-11,2,6,10,74,8,False
2017-01-12,2,7,12,75,6,False
2017-01-13,2,6,9,70,6,False
2017-01-14,2,3,6,57,4,False
2017-01-15,2,3,4,44,9,False
2017-01-16,2,5,7,63,6,False
2017-01-17,3,9,9,77,8,False
2017-01-18,3,7,12,76,7,False
2017-01-19,3,10,13,85,7,False
2017-01-20,4,6,10,70,4,False
2017-01-21,2,5,6,50,5,False
2017-01-22,3,5,8,65,7,False
2017-01-23,3,9,14,78,8,False
2017-01-24,2,8,11,94,7,False
2017-01-25,4,7,14,91,9,False
2017-01-26,3,8,16,98,7,False
2017-01-27,4,6,12,84,8,False
2017-01-28,1,6,9,57,6,False
2017-01-29,2,5,7,58,8,False
2017-01-30,4,9,10,85,6,False
2017-01-31,4,10,13,91,8,False
2017-02-01,3,9,10,85,8,False
2017-02-02,2,7,14,86,6,False
2017-02-03,4,7,12,83,8,False
2017-02-04,3,3,5,61,7,False
2017-02-05,3,7,8,54,7,False
2017-02-06,3,8,14,81,7,False
2017-02-07,3,8,12,100,6,False
2017-02-08,3,8,14,95,8,False
2017-02-09,4,9,11,89,8,False
2017-02-10,2,6,11,78,6,False
2017-02-11,2,5,7,50,7,False
2017-02-12,3,7,7,55,8,False
2017-02-13,3,9,13,80,7,False
2017-02-14,3,7,12,85,6,False
2017-02-15,3,10,12,89,8,False
2017-02-16,3,10,13,85,8,False
2017-02-17,2,6,10,74,7,False
2017-02-18,2,5,7,55,4,False
2017-02-19,2,5,6,58,8,False
2017-02-20,2,9,12,82,8,False
2017-02-21,4,6,14,87,7,False
2017-02-22,3,7,13,76,8,False
2017-02-23,2,11,13,92,7,False
2017-02-24,3,9,10,78,5,False
2017-02-25,2,4,8,59,6,False
2017-02-26,2,5,8,64,8,False
2017-02-27,4,7,12,85,5,False
2017-02-28,3,9,15,94,8,False
2017-03-01,3,6,12,93,7,False
2017-03-02,3,7,13,87,9,False
2017-03-03,2,7,13,82,7,False
2017-03-04,1,7,7,57,8,False
2017-03-05,2,6,7,61,7,False
2017-03-06,3,8,13,92,9,False
2017-03-07,2,6,16,94,7,False
2017-03-08,3,7,13,81,6,False
2017-03-09,3,7,12,92,8,False
2017-03-10,2,6,9,74,6,False
2017-03-11,1,5,6,55,5,False
2017-03-12,2,5,7,64,7,False
2017-03-13,3,7,13,79,5,False
2017-03-14,2,8,12,85,6,False
2017-03-15,2,7,10,76,7,False
2017-03-16,3,6,13,80,6,False
2017-03-17,2,5,11,62,5,False
2017-03-18,2,4,6,53,6,False
2017-03-19,2,5,7,54,4,False
2017-03-20,3,8,13,84,6,False
2017-03-21,4,9,13,90,7,False
2017-03-22,3,8,12,88,8,False
2017-03-23,2,8,12,84,5,False
2017-03-24,2,7,10,71,6,False
2017-03-25,1,6,6,54,6,False
2017-03-26,2,5,8,68,7,False
2017-03-27,3,7,14,87,8,False
2017-03-28,2,8,12,91,8,False
2017-03-29,3,9,13,83,7,False
2017-03-30,3,7,11,86,7,False
2017-03-31,2,6,10,69,6,False
2017-04-01,1,3,6,56,7,False
2017-04-02,1,6,8,57,7,False
2017-04-03,2,7,14,80,8,False
