date,aristocracy,aristocrat,aristocratic,associate,backer
2004-03-24,0.0,4.69832321153,0.0,39.3374076708,17.61960679
2004-03-25,0.0,0.0,0.0,15.2978807609,24.667449506
2004-03-26,0.0,0.0,0.0,26.2249384472,10.571764074
2004-03-27,0.0,0.0,0.0,50.2644653571,35.2392135799
2004-03-28,0.0,13.1553049923,0.0,45.8936422826,0.0
2004-03-29,0.0,3.75865856922,0.0,57.9134057376,7.04784271599
2004-03-30,0.0,0.0,0.0,51.3571711258,7.04784271599
2004-03-31,22.8665906635,6.57765249614,0.0,76.4894038043,0.0
2004-04-01,22.8665906635,3.75865856922,0.0,44.800936514,12.333724753
2004-04-02,0.0,7.51731713844,0.0,74.3039922671,0.0
2004-04-03,0.0,0.0,0.0,56.8206999689,22.905488827
2004-04-04,34.2998859952,5.63798785383,0.0,34.9665845963,10.571764074
2004-04-05,0.0,3.75865856922,0.0,63.3769345807,0.0
2004-04-06,0.0,7.51731713844,0.0,75.3966980357,7.04784271599
2004-04-07,22.8665906635,0.0,0.0,50.2644653571,7.04784271599
2004-04-08,0.0,0.0,0.0,60.0988172748,14.095685432
2004-04-09,0.0,4.69832321153,0.0,83.0456384161,0.0
2004-04-10,40.0165336611,0.0,0.0,29.5030557531,0.0
2004-04-11,0.0,0.0,0.0,24.0395269099,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,0.0,0.0,0.0,64.4696403494,0.0
2004-04-15,0.0,0.0,0.0,44.800936514,12.333724753
2004-04-16,0.0,3.75865856922,0.0,49.1717595885,0.0
2004-04-17,80.0330673222,0.0,0.0,37.1519961335,12.333724753
2004-04-18,0.0,0.0,0.0,49.1717595885,0.0
2004-04-19,40.0165336611,10.3363110654,0.0,68.8404634239,12.333724753
2004-04-20,0.0,3.75865856922,0.0,57.9134057376,0.0
2004-04-21,0.0,10.3363110654,0.0,51.3571711258,12.333724753
2004-04-22,22.8665906635,0.0,0.0,19.6687038354,0.0
2004-04-23,22.8665906635,0.0,0.0,43.7082307453,0.0
2004-04-24,0.0,0.0,0.0,21.8541153727,0.0
2004-04-25,0.0,0.0,0.0,27.3176442158,10.571764074
2004-04-26,0.0,0.0,0.0,62.2842288121,7.04784271599
2004-04-27,0.0,3.75865856922,0.0,38.2447019022,24.667449506
2004-04-28,0.0,3.75865856922,0.0,59.0061115062,0.0
2004-04-29,0.0,3.75865856922,0.0,56.8206999689,12.333724753
2004-04-30,22.8665906635,0.0,0.0,39.3374076708,21.143528148
2004-05-01,0.0,5.63798785383,0.0,55.7279942003,10.571764074
2004-05-02,34.2998859952,0.0,0.0,13.1124692236,0.0
2004-05-03,0.0,6.57765249614,0.0,42.6155249767,12.333724753
2004-05-04,40.0165336611,3.75865856922,0.0,89.6018730279,7.04784271599
2004-05-05,0.0,0.0,0.0,46.9863480512,12.333724753
2004-05-06,0.0,7.51731713844,0.0,57.9134057376,14.095685432
2004-05-07,45.733181327,3.75865856922,0.0,67.7477576553,0.0
2004-05-08,0.0,0.0,0.0,30.5957615217,0.0
2004-05-09,0.0,0.0,0.0,37.1519961335,12.333724753
2004-05-10,0.0,10.3363110654,0.0,37.1519961335,0.0
2004-05-11,22.8665906635,3.75865856922,0.0,54.6352884317,7.04784271599
2004-05-12,0.0,0.0,0.0,45.8936422826,7.04784271599
2004-05-13,0.0,6.57765249614,0.0,43.7082307453,0.0
