date,benevolent,bequeath,betroth,betrothal,bonus,isPartial
2016-04-11,4,1,0,0,53,False
2016-04-12,8,2,0,1,53,False
2016-04-13,8,1,0,0,56,False
2016-04-14,5,1,0,0,51,False
2016-04-15,4,1,0,0,52,False
2016-04-16,3,1,0,0,51,False
2016-04-17,4,1,0,0,51,False
2016-04-18,5,2,0,1,50,False
2016-04-19,5,1,0,1,52,False
2016-04-20,7,1,0,1,46,False
2016-04-21,7,1,0,0,49,False
2016-04-22,5,1,0,0,44,False
2016-04-23,5,0,0,0,43,False
2016-04-24,3,1,0,0,48,False
2016-04-25,7,2,0,1,52,False
2016-04-26,8,0,0,0,47,False
2016-04-27,7,1,0,0,52,False
2016-04-28,7,1,0,0,47,False
2016-04-29,4,1,0,0,55,False
2016-04-30,4,0,0,0,53,False
2016-05-01,3,0,0,0,55,False
2016-05-02,5,1,0,0,53,False
2016-05-03,6,1,0,0,53,False
2016-05-04,7,1,0,0,47,False
2016-05-05,5,0,1,0,53,False
2016-05-06,3,1,0,0,51,False
2016-05-07,3,0,0,1,57,False
2016-05-08,6,0,0,0,50,False
2016-05-09,6,1,1,1,51,False
2016-05-10,6,1,0,0,50,False
2016-05-11,4,1,0,0,50,False
2016-05-12,4,1,0,0,54,False
2016-05-13,5,1,0,1,53,False
2016-05-14,3,0,0,0,48,False
2016-05-15,3,0,0,0,50,False
2016-05-16,4,1,0,0,47,False
2016-05-17,7,0,0,1,47,False
2016-05-18,6,1,0,0,53,False
2016-05-19,5,1,0,0,51,False
2016-05-20,3,0,0,0,54,False
2016-05-21,4,0,0,0,49,False
2016-05-22,4,1,0,0,54,False
2016-05-23,4,1,0,0,52,False
2016-05-24,3,1,0,1,53,False
2016-05-25,4,0,0,0,50,False
2016-05-26,5,1,0,0,55,False
2016-05-27,3,1,0,0,50,False
2016-05-28,4,1,0,0,48,False
2016-05-29,3,0,0,0,54,False
2016-05-30,3,0,0,0,46,False
2016-05-31,3,0,0,0,47,False
2016-06-01,4,1,0,0,54,False
2016-06-02,4,1,0,0,56,False
2016-06-03,3,1,0,0,49,False
2016-06-04,2,0,0,0,48,False
2016-06-05,4,0,0,0,47,False
2016-06-06,3,0,0,0,49,False
2016-06-07,6,0,0,0,50,False
2016-06-08,3,1,0,0,50,False
2016-06-09,3,1,0,0,57,False
2016-06-10,3,1,0,0,62,False
2016-06-11,2,0,0,0,59,False
2016-06-12,5,1,0,0,53,False
2016-06-13,3,1,0,0,56,False
2016-06-14,4,1,0,1,55,False
2016-06-15,4,1,0,0,56,False
2016-06-16,5,1,0,0,51,False
2016-06-17,3,0,0,0,55,False
2016-06-18,4,0,0,0,52,False
2016-06-19,3,0,0,0,59,False
2016-06-20,3,1,0,0,57,False
2016-06-21,3,1,0,0,50,False
2016-06-22,4,0,0,0,57,False
2016-06-23,5,0,0,0,51,False
2016-06-24,5,0,0,0,51,False
2016-06-25,3,0,0,0,50,False
2016-06-26,3,1,0,0,53,False
2016-06-27,6,0,0,1,50,False
2016-06-28,3,1,0,0,52,False
2016-06-29,4,1,0,0,56,False
2016-06-30,3,0,0,0,60,False
2016-07-01,4,0,0,0,57,False
2016-07-02,3,0,0,0,49,False
2016-07-03,3,0,0,0,52,False
2016-07-04,2,1,0,0,41,False
2016-07-05,3,0,0,0,53,False
2016-07-06,3,0,0,0,52,False
2016-07-07,4,0,0,0,55,False
2016-07-08,2,0,0,0,53,False
2016-07-09,3,0,0,0,52,False
2016-07-10,3,0,0,0,52,False
2016-07-11,3,0,0,0,57,False
2016-07-12,4,1,0,0,55,False
2016-07-13,2,1,0,0,59,False
2016-07-14,3,1,0,0,59,False
2016-07-15,6,0,0,0,58,False
2016-07-16,2,0,0,0,62,False
2016-07-17,2,1,0,0,56,False
2016-07-18,4,1,0,0,56,False
2016-07-19,3,1,0,0,52,False
2016-07-20,3,0,0,0,54,False
2016-07-21,3,0,0,0,53,False
2016-07-22,4,1,0,0,57,False
2016-07-23,4,0,0,0,54,False
