date,boom,breadwinner,buy,capitalize,charitable,isPartial
2007-06-24,1,0,42,0,0,False
2007-06-25,1,0,33,0,0,False
2007-06-26,2,0,33,0,0,False
2007-06-27,1,0,33,0,1,False
2007-06-28,1,0,31,0,0,False
2007-06-29,2,0,34,0,0,False
2007-06-30,2,0,41,0,0,False
2007-07-01,2,0,42,0,0,False
2007-07-02,2,0,35,0,0,False
2007-07-03,3,0,35,0,0,False
2007-07-04,3,0,38,0,0,False
2007-07-05,1,0,34,0,1,False
2007-07-06,1,0,32,0,0,False
2007-07-07,2,0,37,0,0,False
2007-07-08,1,0,41,0,0,False
2007-07-09,1,0,35,0,0,False
2007-07-10,1,0,32,0,0,False
2007-07-11,1,0,31,0,0,False
2007-07-12,1,0,33,0,0,False
2007-07-13,1,0,33,0,0,False
2007-07-14,2,0,40,0,0,False
2007-07-15,2,0,43,0,0,False
2007-07-16,1,0,31,0,0,False
2007-07-17,1,0,35,0,1,False
2007-07-18,1,0,32,0,0,False
2007-07-19,1,0,33,0,1,False
2007-07-20,1,0,32,0,0,False
2007-07-21,1,0,38,0,0,False
2007-07-22,2,0,40,0,0,False
2007-07-23,1,0,34,0,0,False
2007-07-24,1,0,34,0,0,False
2007-07-25,1,0,32,0,1,False
2007-07-26,1,0,32,0,0,False
2007-07-27,1,0,32,0,0,False
2007-07-28,1,0,39,0,0,False
2007-07-29,2,0,44,0,0,False
2007-07-30,2,0,34,0,0,False
2007-07-31,1,0,33,0,0,False
2007-08-01,1,0,32,0,0,False
2007-08-02,1,0,31,0,0,False
2007-08-03,1,0,33,0,0,False
2007-08-04,1,0,38,0,0,False
2007-08-05,2,0,42,0,0,False
2007-08-06,1,0,36,0,1,False
2007-08-07,1,0,32,0,1,False
2007-08-08,1,0,34,0,0,False
2007-08-09,1,0,32,0,0,False
2007-08-10,1,0,33,0,1,False
2007-08-11,1,0,40,0,0,False
2007-08-12,1,0,43,0,0,False
2007-08-13,1,0,34,0,0,False
2007-08-14,1,0,33,0,0,False
2007-08-15,1,0,32,0,0,False
2007-08-16,1,0,32,0,0,False
2007-08-17,2,0,35,0,0,False
2007-08-18,1,0,40,0,0,False
2007-08-19,1,0,41,0,0,False
