date,destitute,extravagant,fire,gamble,hole,isPartial
2014-06-07,0,0,64,1,14,False
2014-06-08,0,0,73,1,15,False
2014-06-09,0,0,73,1,13,False
2014-06-10,0,0,66,1,13,False
2014-06-11,0,0,62,1,13,False
2014-06-12,0,0,60,1,13,False
2014-06-13,0,0,59,1,13,False
2014-06-14,0,0,62,1,15,False
2014-06-15,0,0,64,1,17,False
2014-06-16,0,0,69,1,13,False
2014-06-17,0,0,63,1,13,False
2014-06-18,0,0,76,1,13,False
2014-06-19,0,0,77,1,14,False
2014-06-20,0,0,66,1,13,False
2014-06-21,0,0,66,1,14,False
2014-06-22,0,0,71,1,16,False
2014-06-23,0,0,67,1,13,False
2014-06-24,0,0,60,1,12,False
2014-06-25,0,0,63,1,13,False
2014-06-26,0,0,61,1,13,False
2014-06-27,0,0,62,1,13,False
2014-06-28,0,0,64,1,15,False
2014-06-29,0,0,66,2,16,False
2014-06-30,0,0,65,1,13,False
2014-07-01,0,0,64,1,13,False
2014-07-02,0,0,71,1,14,False
2014-07-03,0,0,73,1,13,False
2014-07-04,0,0,92,1,15,False
2014-07-05,0,0,100,1,17,False
2014-07-06,0,0,74,1,17,False
2014-07-07,0,0,68,1,14,False
2014-07-08,0,0,60,1,14,False
2014-07-09,0,0,61,1,14,False
2014-07-10,0,0,63,1,14,False
2014-07-11,0,0,62,1,14,False
2014-07-12,0,0,66,1,15,False
2014-07-13,0,0,67,1,15,False
2014-07-14,0,0,69,1,14,False
2014-07-15,0,0,64,1,14,False
2014-07-16,0,0,67,1,16,False
2014-07-17,0,0,69,1,21,False
2014-07-18,0,0,73,1,18,False
2014-07-19,0,0,74,1,20,False
2014-07-20,0,0,76,1,19,False
2014-07-21,0,0,70,1,16,False
2014-07-22,0,0,67,1,16,False
2014-07-23,0,0,65,1,15,False
2014-07-24,0,0,62,1,14,False
2014-07-25,0,0,69,1,14,False
2014-07-26,0,0,73,1,16,False
2014-07-27,0,0,81,1,15,False
2014-07-28,0,0,69,1,14,False
2014-07-29,0,0,69,1,13,False
2014-07-30,0,0,73,1,14,False
2014-07-31,0,0,69,1,13,False
2014-08-01,0,0,69,2,14,False
2014-08-02,0,0,69,2,13,False
2014-08-03,0,0,76,1,15,False
2014-08-04,0,0,73,1,14,False
2014-08-05,0,0,72,1,14,False
2014-08-06,0,0,64,1,13,False
2014-08-07,0,0,64,1,13,False
2014-08-08,0,0,63,1,13,False
2014-08-09,0,0,68,1,16,False
2014-08-10,0,0,68,1,15,False
2014-08-11,0,0,62,1,13,False
2014-08-12,0,0,60,1,14,False
2014-08-13,0,0,60,1,14,False
2014-08-14,0,0,60,1,13,False
2014-08-15,0,0,59,1,13,False
2014-08-16,0,0,62,1,15,False
2014-08-17,0,0,62,1,14,False
2014-08-18,0,0,60,1,13,False
2014-08-19,0,0,64,1,12,False
2014-08-20,0,0,59,1,13,False
2014-08-21,0,0,55,1,13,False
2014-08-22,0,0,57,1,14,False
2014-08-23,0,0,60,1,13,False
2014-08-24,0,0,62,1,14,False
2014-08-25,0,0,53,1,13,False
2014-08-26,0,0,57,1,12,False
2014-08-27,0,0,56,1,12,False
2014-08-28,0,0,56,1,12,False
2014-08-29,0,0,56,1,12,False
2014-08-30,0,0,59,1,14,False
2014-08-31,0,0,58,1,15,False
2014-09-01,0,0,57,1,14,False
2014-09-02,0,0,53,1,11,False
2014-09-03,0,0,54,1,11,False
2014-09-04,0,0,56,1,11,False
2014-09-05,0,0,53,1,11,False
2014-09-06,0,0,60,1,13,False
2014-09-07,0,0,63,1,12,False
2014-09-08,0,0,69,1,11,False
2014-09-09,0,0,61,1,11,False
2014-09-10,0,0,58,1,11,False
2014-09-11,0,0,58,1,11,False
2014-09-12,0,0,64,1,12,False
2014-09-13,0,0,67,1,13,False
2014-09-14,0,0,71,1,14,False
2014-09-15,0,0,70,1,11,False
2014-09-16,0,0,72,1,10,False
2014-09-17,0,0,69,1,11,False
2014-09-18,0,0,73,1,11,False
2014-09-19,0,0,69,1,12,False
2014-09-20,0,0,70,1,13,False
2014-09-21,0,0,70,1,12,False
2014-09-22,0,0,64,1,12,False
2014-09-23,0,0,67,1,11,False
2014-09-24,0,0,74,1,11,False
2014-09-25,0,0,67,1,11,False
2014-09-26,0,0,74,1,11,False
2014-09-27,0,0,63,1,12,False
2014-09-28,0,0,63,1,13,False
2014-09-29,0,0,61,1,11,False
2014-09-30,0,0,60,1,10,False
2014-10-01,0,0,60,1,12,False
2014-10-02,0,0,57,1,11,False
2014-10-03,0,0,58,1,11,False
2014-10-04,0,0,62,1,12,False
2014-10-05,0,0,65,1,12,False
2014-10-06,0,0,58,1,11,False
2014-10-07,0,0,58,1,11,False
2014-10-08,0,0,67,1,11,False
2014-10-09,0,0,62,1,11,False
2014-10-10,0,0,58,1,11,False
2014-10-11,0,0,57,1,12,False
2014-10-12,0,0,58,1,12,False
2014-10-13,0,0,54,1,11,False
2014-10-14,0,0,55,1,11,False
2014-10-15,0,0,54,1,11,False
2014-10-16,0,0,54,1,11,False
2014-10-17,0,0,56,1,11,False
2014-10-18,0,0,56,1,13,False
2014-10-19,0,0,60,1,11,False
2014-10-20,0,0,53,1,11,False
2014-10-21,0,0,54,1,11,False
2014-10-22,0,0,56,1,11,False
2014-10-23,0,0,55,1,11,False
2014-10-24,0,0,56,2,10,False
2014-10-25,0,0,59,2,12,False
2014-10-26,0,0,57,2,11,False
2014-10-27,0,0,61,3,11,False
2014-10-28,0,0,59,4,11,False
2014-10-29,0,0,59,2,11,False
2014-10-30,0,0,54,2,11,False
2014-10-31,0,0,54,1,11,False
2014-11-01,0,0,58,1,11,False
2014-11-02,0,0,66,1,12,False
2014-11-03,0,0,61,6,11,False
2014-11-04,0,0,57,15,11,False
2014-11-05,0,0,54,4,10,False
2014-11-06,0,0,54,3,11,False
2014-11-07,0,0,54,2,11,False
2014-11-08,0,0,58,4,12,False
2014-11-09,0,0,57,5,14,False
2014-11-10,0,0,57,3,12,False
2014-11-11,0,0,56,2,12,False
2014-11-12,0,0,57,2,12,False
2014-11-13,0,0,59,2,11,False
2014-11-14,0,0,58,1,11,False
2014-11-15,0,0,58,1,13,False
2014-11-16,0,0,60,1,14,False
2014-11-17,0,0,58,1,12,False
2014-11-18,0,0,61,1,12,False
2014-11-19,0,0,59,1,12,False
2014-11-20,0,0,61,2,12,False
2014-11-21,0,0,59,1,11,False
2014-11-22,0,0,65,1,12,False
2014-11-23,0,0,70,1,12,False
2014-11-24,0,0,65,1,11,False
2014-11-25,0,0,63,1,11,False
2014-11-26,0,0,64,1,11,False
2014-11-27,0,0,69,2,10,False
2014-11-28,0,0,71,1,11,False
2014-11-29,0,0,69,1,13,False
2014-11-30,0,0,71,1,13,False
2014-12-01,0,0,70,1,11,False
