date,warfare,waste,bankrupt,bankruptcy,beggar
2004-03-19,16.0,53.9943131955,3.28924836699,60.8850237763,0.0
2004-03-20,18.0,60.473630779,4.22903361471,44.7124393357,0.0
2004-03-21,34.0,53.9943131955,2.81935574314,26.6371979021,0.0
2004-03-22,20.0,43.1954505564,3.28924836699,19.0265699301,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,27.0,99.3495362797,6.10860411013,68.4956517484,0.0
2004-03-25,18.0,79.9115835293,2.81935574314,46.6150963288,0.0
2004-03-26,26.0,66.9529483624,1.40967787157,65.6416662589,0.0
2004-03-27,9.0,55.0741994594,1.40967787157,29.4911833917,0.0
2004-03-28,15.0,53.9943131955,4.22903361471,25.6858694056,0.0
2004-03-29,36.0,73.4322659459,3.28924836699,66.5929947554,0.0
2004-03-30,35.0,98.2696500158,1.40967787157,59.9336952798,0.0
2004-03-31,45.0,70.1926071541,5.16881886242,68.4956517484,0.0
2004-04-01,27.0,85.3110148489,0.939785247712,68.4956517484,0.0
2004-04-02,14.0,60.473630779,4.69892623856,61.8363522728,0.0
2004-04-03,26.0,76.6719247376,2.81935574314,42.8097823427,0.0
2004-04-04,25.0,71.272493418,3.75914099085,34.2478258742,0.0
2004-04-05,27.0,75.5920384737,0.939785247712,71.3496372379,0.0
2004-04-06,11.0,86.3909011128,3.28924836699,79.9115937064,0.0
2004-04-07,33.0,80.9914697932,2.34946311928,66.5929947554,0.0
2004-04-08,24.0,72.352379682,1.40967787157,58.9823667833,0.0
2004-04-09,14.0,66.9529483624,2.81935574314,70.3983087414,0.0
2004-04-10,23.0,47.514995612,1.40967787157,27.5885263986,0.0
2004-04-11,0.0,50.7546544038,0.0,8.56195646855,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,32.0,85.3110148489,1.40967787157,39.0044683567,0.0
2004-04-15,22.0,80.9914697932,1.40967787157,46.6150963288,0.0
2004-04-16,19.0,72.352379682,2.34946311928,64.6903377623,0.0
2004-04-17,27.0,58.3138582511,1.40967787157,37.1018113637,0.0
2004-04-18,31.0,69.1127208902,1.40967787157,39.9557968532,0.0
2004-04-19,16.0,96.109877488,3.75914099085,58.9823667833,0.0
2004-04-20,38.0,88.5506736406,1.40967787157,59.9336952798,0.0
2004-04-21,26.0,91.7903324323,2.81935574314,59.9336952798,0.0
2004-04-22,30.0,82.0713560571,0.0,56.1283812938,0.0
2004-04-23,15.0,74.5121522098,0.939785247712,45.6637678322,0.0
2004-04-24,26.0,62.6334033068,4.22903361471,43.7611108392,0.0
2004-04-25,32.0,49.6747681399,2.34946311928,28.5398548952,0.0
2004-04-26,19.0,78.8316972654,3.75914099085,53.2743958043,0.0
2004-04-27,20.0,100.429422544,1.40967787157,78.0089367134,0.0
2004-04-28,24.0,76.6719247376,2.34946311928,54.2257243008,0.0
2004-04-29,23.0,105.828853863,2.81935574314,58.9823667833,0.0
2004-04-30,26.0,79.9115835293,1.40967787157,48.5177533218,0.0
