date,partnership,patron,patronage,precious,priceless,isPartial
2012-05-06,19,35,2,30,3,False
2012-05-07,38,26,1,39,3,False
2012-05-08,40,28,1,30,3,False
2012-05-09,44,25,1,36,4,False
2012-05-10,48,18,3,33,5,False
2012-05-11,35,25,1,35,3,False
2012-05-12,16,29,1,32,4,False
2012-05-13,22,29,1,35,3,False
2012-05-14,36,24,2,32,4,False
2012-05-15,41,23,1,25,5,False
2012-05-16,43,27,2,34,4,False
2012-05-17,32,24,1,26,3,False
2012-05-18,35,22,1,29,4,False
2012-05-19,19,26,1,29,5,False
2012-05-20,18,32,0,31,3,False
2012-05-21,39,23,1,28,2,False
2012-05-22,42,22,1,31,6,False
2012-05-23,36,49,2,31,4,False
2012-05-24,39,46,1,29,2,False
2012-05-25,27,30,1,33,4,False
2012-05-26,19,32,2,26,2,False
2012-05-27,13,37,1,34,2,False
2012-05-28,19,29,1,21,4,False
2012-05-29,38,28,1,27,3,False
2012-05-30,42,29,1,23,4,False
2012-05-31,38,30,1,27,3,False
2012-06-01,32,29,1,30,4,False
2012-06-02,18,30,1,31,3,False
2012-06-03,18,33,1,28,6,False
2012-06-04,36,31,1,27,3,False
2012-06-05,41,100,0,28,4,False
2012-06-06,39,40,1,29,3,False
2012-06-07,37,28,1,26,5,False
2012-06-08,29,30,1,32,5,False
2012-06-09,20,33,0,40,3,False
2012-06-10,20,31,1,27,6,False
2012-06-11,37,20,2,25,3,False
2012-06-12,37,21,1,30,4,False
2012-06-13,35,30,1,28,3,False
2012-06-14,41,21,1,26,3,False
2012-06-15,41,30,1,25,5,False
2012-06-16,20,29,1,30,4,False
2012-06-17,19,29,1,27,5,False
2012-06-18,38,23,1,25,3,False
2012-06-19,41,29,1,28,3,False
2012-06-20,42,27,1,27,4,False
2012-06-21,40,27,2,24,3,False
2012-06-22,33,29,2,33,4,False
2012-06-23,21,37,2,28,2,False
2012-06-24,17,32,0,28,4,False
2012-06-25,35,27,1,27,2,False
2012-06-26,44,23,1,28,3,False
2012-06-27,41,30,1,29,2,False
2012-06-28,41,28,1,28,3,False
2012-06-29,29,28,1,28,4,False
2012-06-30,15,36,1,24,2,False
2012-07-01,18,29,0,30,2,False
2012-07-02,40,25,1,32,6,False
2012-07-03,29,29,1,28,3,False
2012-07-04,21,31,1,24,3,False
2012-07-05,33,26,1,26,5,False
2012-07-06,25,34,1,24,3,False
2012-07-07,16,36,1,30,3,False
2012-07-08,19,31,0,33,3,False
2012-07-09,35,23,1,25,3,False
2012-07-10,42,41,1,28,2,False
2012-07-11,38,42,0,30,4,False
2012-07-12,33,42,1,31,4,False
2012-07-13,33,43,1,30,3,False
2012-07-14,17,53,1,38,2,False
2012-07-15,19,45,0,36,3,False
2012-07-16,38,37,1,29,5,False
2012-07-17,38,40,0,26,3,False
2012-07-18,38,42,1,29,3,False
2012-07-19,34,49,0,26,1,False
2012-07-20,27,42,1,23,3,False
2012-07-21,16,49,1,27,4,False
2012-07-22,21,46,1,33,3,False
2012-07-23,37,33,1,27,4,False
2012-07-24,39,44,1,31,3,False
2012-07-25,38,44,0,27,3,False
2012-07-26,38,40,1,29,5,False
2012-07-27,36,48,2,27,2,False
2012-07-28,17,51,1,21,4,False
2012-07-29,20,41,0,30,2,False
2012-07-30,32,32,0,28,3,False
2012-07-31,41,41,2,27,3,False
2012-08-01,34,43,1,25,4,False
2012-08-02,34,43,1,26,3,False
2012-08-03,35,45,0,23,3,False
2012-08-04,23,49,1,29,2,False
2012-08-05,18,38,1,32,4,False
2012-08-06,38,31,1,25,2,False
2012-08-07,35,38,1,31,3,False
2012-08-08,40,42,1,29,3,False
2012-08-09,38,40,2,31,4,False
2012-08-10,32,45,0,27,3,False
2012-08-11,13,47,0,26,2,False
2012-08-12,18,40,1,28,2,False
2012-08-13,33,28,1,25,2,False
2012-08-14,41,41,1,25,5,False
2012-08-15,36,39,1,27,3,False
2012-08-16,43,37,1,25,3,False
2012-08-17,33,48,0,27,3,False
2012-08-18,19,47,1,32,4,False
2012-08-19,16,47,0,30,1,False
2012-08-20,34,32,1,25,4,False
2012-08-21,40,42,0,30,4,False
2012-08-22,37,43,0,30,3,False
2012-08-23,35,57,1,31,4,False
2012-08-24,33,52,0,26,2,False
2012-08-25,19,60,0,26,4,False
2012-08-26,21,42,2,30,3,False
2012-08-27,36,36,0,29,3,False
2012-08-28,43,43,1,25,2,False
2012-08-29,39,46,1,25,5,False
2012-08-30,39,53,1,27,3,False
2012-08-31,33,46,1,27,4,False
2012-09-01,12,53,1,25,3,False
2012-09-02,18,42,1,27,4,False
2012-09-03,18,43,1,28,3,False
2012-09-04,42,43,2,26,3,False
2012-09-05,46,47,1,26,3,False
2012-09-06,41,42,2,26,2,False
2012-09-07,37,48,2,27,3,False
2012-09-08,18,50,1,29,2,False
2012-09-09,19,45,1,26,2,False
2012-09-10,38,32,2,26,4,False
2012-09-11,48,43,1,27,4,False
2012-09-12,41,42,2,30,3,False
2012-09-13,41,45,2,26,4,False
2012-09-14,39,44,1,31,2,False
2012-09-15,20,47,1,25,4,False
2012-09-16,24,40,1,35,3,False
2012-09-17,41,34,2,29,3,False
2012-09-18,43,58,2,25,4,False
2012-09-19,37,57,2,27,4,False
2012-09-20,39,55,1,26,4,False
2012-09-21,33,53,1,27,5,False
2012-09-22,21,56,1,32,2,False
2012-09-23,18,49,0,33,4,False
2012-09-24,33,37,4,29,5,False
2012-09-25,45,43,3,25,4,False
2012-09-26,43,49,3,29,5,False
2012-09-27,42,45,2,25,2,False
2012-09-28,37,49,2,31,3,False
2012-09-29,22,58,1,22,4,False
2012-09-30,17,46,2,29,2,False
2012-10-01,39,37,2,29,2,False
2012-10-02,42,48,1,28,3,False
2012-10-03,37,47,3,28,3,False
2012-10-04,37,48,2,30,2,False
2012-10-05,32,43,3,30,4,False
2012-10-06,13,60,1,24,2,False
2012-10-07,17,41,1,26,4,False
2012-10-08,27,33,2,26,5,False
2012-10-09,38,39,4,27,2,False
2012-10-10,38,40,4,29,3,False
2012-10-11,33,43,3,28,3,False
