date,charity,community,compensate,compensation,contribute
2015-04-11,3.94375,68.2164663415,0.0,3.7659375,1.61848958333
2015-04-12,3.94375,66.7005448672,0.0,2.510625,3.23697916667
2015-04-13,5.25833333333,115.210032043,0.0,5.02125,3.23697916667
2015-04-14,5.25833333333,112.178189095,0.0,6.2765625,3.23697916667
2015-04-15,5.25833333333,104.598581724,0.0,5.02125,3.23697916667
2015-04-16,5.25833333333,104.598581724,0.0,5.02125,3.23697916667
2015-04-17,3.94375,93.9871314038,0.0,5.02125,3.23697916667
2015-04-18,2.62916666667,68.2164663415,0.0,2.510625,1.61848958333
2015-04-19,3.94375,65.1846233929,0.0,2.510625,1.61848958333
2015-04-20,5.25833333333,103.082660249,0.0,5.02125,3.23697916667
2015-04-21,3.94375,104.598581724,0.0,5.02125,3.23697916667
2015-04-22,5.25833333333,103.082660249,0.0,5.02125,3.23697916667
2015-04-23,5.25833333333,97.0189743523,0.0,5.02125,3.23697916667
2015-04-24,3.94375,90.9552884553,0.0,5.02125,3.23697916667
2015-04-25,3.94375,66.7005448672,0.0,2.510625,1.61848958333
2015-04-26,3.94375,66.7005448672,0.0,2.510625,1.61848958333
2015-04-27,6.57291666667,104.598581724,0.0,5.02125,3.23697916667
2015-04-28,6.57291666667,101.566738775,0.0,5.02125,3.23697916667
2015-04-29,6.57291666667,101.566738775,0.0,6.2765625,3.23697916667
2015-04-30,5.25833333333,103.082660249,0.0,5.02125,3.23697916667
2015-05-01,3.94375,92.4712099295,0.0,5.02125,1.61848958333
2015-05-02,5.25833333333,63.6687019187,0.0,2.510625,1.61848958333
2015-05-03,3.94375,57.6050160217,0.0,2.510625,1.61848958333
2015-05-04,5.25833333333,101.566738775,0.0,5.02125,3.23697916667
2015-05-05,5.25833333333,103.082660249,0.0,5.02125,3.23697916667
2015-05-06,6.57291666667,103.082660249,0.0,5.02125,3.23697916667
2015-05-07,5.25833333333,98.5348958266,0.0,5.02125,3.23697916667
2015-05-08,5.25833333333,93.9871314038,0.0,5.02125,1.61848958333
2015-05-09,3.94375,66.7005448672,0.0,2.510625,1.61848958333
2015-05-10,2.62916666667,54.5731730732,0.0,2.510625,1.61848958333
2015-05-11,5.25833333333,106.114503198,0.0,5.02125,1.61848958333
2015-05-12,5.25833333333,101.566738775,0.0,6.2765625,3.23697916667
2015-05-13,5.25833333333,103.082660249,0.0,5.02125,3.23697916667
2015-05-14,5.25833333333,100.050817301,0.0,5.02125,3.23697916667
2015-05-15,5.25833333333,95.503052878,0.0,5.02125,1.61848958333
2015-05-16,3.94375,66.7005448672,0.0,2.510625,1.61848958333
2015-05-17,3.94375,66.7005448672,0.0,2.510625,1.61848958333
2015-05-18,5.25833333333,106.114503198,0.0,5.02125,1.61848958333
2015-05-19,5.25833333333,104.598581724,0.0,5.02125,3.23697916667
2015-05-20,6.57291666667,103.082660249,0.0,6.2765625,1.61848958333
2015-05-21,5.25833333333,95.503052878,0.0,5.02125,1.61848958333
2015-05-22,3.94375,86.4075240325,0.0,3.7659375,1.61848958333
2015-05-23,3.94375,59.1209374959,0.0,2.510625,1.61848958333
2015-05-24,3.94375,57.6050160217,0.0,2.510625,0.0
2015-05-25,3.94375,59.1209374959,0.0,2.510625,1.61848958333
2015-05-26,5.25833333333,107.630424672,0.0,5.02125,3.23697916667
2015-05-27,3.94375,107.630424672,0.0,5.02125,3.23697916667
2015-05-28,5.25833333333,100.050817301,0.0,5.02125,1.61848958333
2015-05-29,5.25833333333,92.4712099295,0.0,5.02125,1.61848958333
2015-05-30,3.94375,66.7005448672,0.0,2.510625,1.61848958333
2015-05-31,3.94375,66.7005448672,0.0,2.510625,1.61848958333
2015-06-01,5.25833333333,103.082660249,0.0,5.02125,1.61848958333
2015-06-02,5.25833333333,104.598581724,0.0,6.2765625,1.61848958333
2015-06-03,5.25833333333,103.082660249,0.0,5.02125,1.61848958333
2015-06-04,5.25833333333,100.050817301,0.0,6.2765625,1.61848958333
2015-06-05,5.25833333333,90.9552884553,0.0,5.02125,1.61848958333
2015-06-06,3.94375,62.1527804444,0.0,2.510625,1.61848958333
2015-06-07,3.94375,65.1846233929,0.0,2.510625,0.0
2015-06-08,5.25833333333,101.566738775,0.0,5.02125,1.61848958333
2015-06-09,3.94375,98.5348958266,0.0,5.02125,1.61848958333
2015-06-10,3.94375,95.503052878,0.0,5.02125,1.61848958333
2015-06-11,3.94375,92.4712099295,0.0,5.02125,1.61848958333
