date,advantage,affluence,affluent,afloat,allowance,isPartial
2007-06-24,56,1,1,1,13,False
2007-06-25,80,0,1,2,8,False
2007-06-26,75,0,1,2,11,False
2007-06-27,88,0,1,2,16,False
2007-06-28,84,0,0,1,14,False
2007-06-29,80,0,1,1,15,False
2007-06-30,62,0,0,1,8,False
2007-07-01,86,0,0,0,9,False
2007-07-02,77,1,1,0,17,False
2007-07-03,74,0,1,0,14,False
2007-07-04,59,0,0,0,10,False
2007-07-05,82,1,0,1,16,False
2007-07-06,76,0,1,1,15,False
2007-07-07,59,1,1,0,11,False
2007-07-08,63,0,0,1,7,False
2007-07-09,76,0,1,1,11,False
2007-07-10,78,0,0,2,8,False
2007-07-11,90,1,1,1,15,False
2007-07-12,92,0,1,1,13,False
2007-07-13,70,1,1,0,16,False
2007-07-14,77,0,0,1,7,False
2007-07-15,74,2,1,0,9,False
2007-07-16,77,0,0,1,12,False
2007-07-17,74,0,1,1,10,False
2007-07-18,96,1,3,1,11,False
2007-07-19,85,0,2,1,12,False
2007-07-20,76,0,2,2,11,False
2007-07-21,53,0,0,0,13,False
2007-07-22,64,0,0,3,9,False
2007-07-23,86,0,2,1,9,False
2007-07-24,82,1,1,2,17,False
2007-07-25,84,0,0,1,20,False
2007-07-26,78,1,2,2,14,False
2007-07-27,65,0,2,0,10,False
2007-07-28,68,1,0,0,9,False
2007-07-29,60,0,1,0,15,False
2007-07-30,78,0,1,3,11,False
2007-07-31,83,0,0,1,13,False
2007-08-01,86,0,1,0,16,False
2007-08-02,82,0,1,0,12,False
2007-08-03,78,1,5,0,15,False
2007-08-04,65,0,2,0,12,False
2007-08-05,65,0,1,2,7,False
2007-08-06,78,0,0,0,9,False
2007-08-07,79,0,2,0,11,False
2007-08-08,79,1,1,1,15,False
2007-08-09,86,0,1,0,7,False
2007-08-10,73,1,1,1,9,False
2007-08-11,74,0,0,1,7,False
2007-08-12,79,0,2,0,11,False
2007-08-13,84,0,1,1,17,False
2007-08-14,79,0,1,1,10,False
2007-08-15,76,0,1,1,16,False
2007-08-16,83,0,1,0,10,False
2007-08-17,70,1,1,1,5,False
2007-08-18,63,0,1,0,10,False
2007-08-19,62,0,1,1,7,False
2007-08-20,69,0,0,1,18,False
2007-08-21,86,0,1,1,10,False
2007-08-22,72,1,2,1,12,False
2007-08-23,87,0,1,1,13,False
2007-08-24,80,0,1,0,9,False
2007-08-25,63,0,2,1,15,False
2007-08-26,78,0,2,0,8,False
2007-08-27,78,0,1,2,13,False
2007-08-28,74,0,1,0,16,False
2007-08-29,100,1,2,0,10,False
2007-08-30,70,0,1,2,15,False
2007-08-31,82,0,1,1,16,False
2007-09-01,59,1,5,0,6,False
2007-09-02,74,0,1,0,4,False
2007-09-03,60,0,2,2,11,False
2007-09-04,77,1,1,2,11,False
