date,blackmail,bribe,bum,commoner,corrupt,isPartial
2015-10-28,25,7,55,1,43,False
2015-10-29,29,6,69,3,49,False
2015-10-30,36,9,56,1,52,False
2015-10-31,25,4,71,1,35,False
2015-11-01,32,7,55,0,35,False
2015-11-02,24,10,61,2,43,False
2015-11-03,26,6,60,3,41,False
2015-11-04,24,8,53,3,43,False
2015-11-05,34,8,48,1,53,False
2015-11-06,30,7,48,4,44,False
2015-11-07,30,6,60,3,31,False
2015-11-08,37,7,85,1,30,False
2015-11-09,21,6,75,2,49,False
2015-11-10,24,6,67,1,45,False
2015-11-11,22,7,68,3,42,False
2015-11-12,22,5,67,1,50,False
2015-11-13,26,6,67,5,56,False
2015-11-14,25,7,59,1,23,False
2015-11-15,33,4,73,2,38,False
2015-11-16,20,8,53,2,36,False
2015-11-17,24,7,56,1,54,False
2015-11-18,27,5,52,3,49,False
2015-11-19,30,10,54,3,44,False
2015-11-20,28,8,52,3,49,False
2015-11-21,35,4,68,3,23,False
2015-11-22,33,12,62,2,29,False
2015-11-23,28,9,56,4,50,False
2015-11-24,28,4,60,1,60,False
2015-11-25,25,6,68,0,33,False
2015-11-26,21,4,80,2,32,False
2015-11-27,35,10,61,0,25,False
2015-11-28,38,6,75,3,35,False
2015-11-29,26,7,76,2,37,False
2015-11-30,20,3,56,1,41,False
2015-12-01,20,6,57,3,49,False
2015-12-02,25,4,60,3,44,False
2015-12-03,20,6,66,1,55,False
2015-12-04,35,7,64,2,52,False
2015-12-05,35,7,80,2,43,False
2015-12-06,36,3,64,2,35,False
2015-12-07,23,7,54,3,47,False
2015-12-08,20,7,53,1,43,False
2015-12-09,24,8,67,4,38,False
2015-12-10,24,8,66,5,54,False
2015-12-11,30,8,53,1,42,False
2015-12-12,29,9,74,2,41,False
2015-12-13,38,7,67,1,30,False
2015-12-14,19,8,59,3,51,False
2015-12-15,34,5,65,3,55,False
2015-12-16,24,8,59,2,53,False
2015-12-17,30,3,70,1,50,False
2015-12-18,19,8,50,1,37,False
2015-12-19,34,4,54,2,34,False
2015-12-20,25,5,84,3,40,False
2015-12-21,29,2,64,2,39,False
2015-12-22,36,5,63,4,39,False
2015-12-23,32,5,74,3,37,False
2015-12-24,30,7,76,2,23,False
2015-12-25,19,6,84,0,38,False
2015-12-26,26,4,81,1,37,False
2015-12-27,25,8,70,3,41,False
2015-12-28,28,4,67,4,36,False
2015-12-29,24,10,68,2,36,False
2015-12-30,34,8,59,4,51,False
2015-12-31,30,9,72,0,36,False
2016-01-01,18,5,74,2,31,False
2016-01-02,26,12,73,3,32,False
2016-01-03,30,15,72,3,38,False
2016-01-04,31,9,58,1,40,False
2016-01-05,29,7,61,1,41,False
2016-01-06,20,9,70,4,44,False
2016-01-07,19,12,63,2,45,False
2016-01-08,18,12,58,1,38,False
2016-01-09,20,9,61,2,36,False
2016-01-10,21,6,51,1,31,False
2016-01-11,23,13,60,2,53,False
2016-01-12,21,13,61,2,43,False
2016-01-13,21,11,63,2,51,False
2016-01-14,22,5,51,3,49,False
2016-01-15,20,11,66,2,39,False
2016-01-16,23,8,90,3,31,False
2016-01-17,25,9,76,1,33,False
2016-01-18,23,9,66,2,40,False
2016-01-19,11,8,58,4,54,False
2016-01-20,19,6,65,2,55,False
2016-01-21,24,13,50,2,51,False
2016-01-22,22,11,64,5,43,False
2016-01-23,22,3,64,3,38,False
2016-01-24,32,6,90,1,32,False
2016-01-25,27,7,56,3,42,False
2016-01-26,22,14,60,4,52,False
2016-01-27,18,13,66,2,63,False
2016-01-28,27,10,67,3,53,False
2016-01-29,35,13,63,2,58,False
2016-01-30,22,7,81,3,31,False
2016-01-31,24,9,75,1,41,False
2016-02-01,27,10,62,1,44,False
