date,blackmail,bribe,bum,commoner,corrupt,isPartial
2008-08-17,3,3,55,3,61,False
2008-08-18,8,2,33,2,68,False
2008-08-19,4,10,51,0,59,False
2008-08-20,8,2,49,0,73,False
2008-08-21,6,6,46,2,46,False
2008-08-22,4,2,83,0,50,False
2008-08-23,6,9,55,0,64,False
2008-08-24,6,3,49,3,34,False
2008-08-25,6,2,37,4,43,False
2008-08-26,4,0,41,2,61,False
2008-08-27,6,4,28,0,67,False
2008-08-28,4,2,27,0,59,False
2008-08-29,4,2,31,0,51,False
2008-08-30,9,6,43,6,55,False
2008-08-31,13,3,51,3,64,False
2008-09-01,8,0,33,0,71,False
2008-09-02,4,0,24,2,59,False
2008-09-03,2,0,33,4,73,False
2008-09-04,2,2,59,6,61,False
2008-09-05,4,2,45,0,53,False
2008-09-06,0,0,53,0,64,False
2008-09-07,6,0,61,3,64,False
2008-09-08,6,6,36,0,69,False
2008-09-09,7,4,48,2,61,False
2008-09-10,4,4,32,2,70,False
2008-09-11,12,10,43,0,68,False
2008-09-12,4,10,30,0,59,False
2008-09-13,8,0,67,0,67,False
2008-09-14,6,8,48,0,54,False
2008-09-15,10,0,33,0,66,False
2008-09-16,2,2,48,2,80,False
2008-09-17,2,6,17,6,56,False
2008-09-18,6,2,45,0,80,False
2008-09-19,4,6,54,4,37,False
2008-09-20,12,0,77,0,59,False
2008-09-21,6,9,55,0,55,False
2008-09-22,2,6,49,0,79,False
2008-09-23,9,4,52,2,88,False
2008-09-24,4,2,47,2,67,False
2008-09-25,2,4,46,0,71,False
2008-09-26,2,2,57,4,51,False
2008-09-27,3,0,63,0,55,False
2008-09-28,3,0,53,0,53,False
2008-09-29,6,2,46,0,48,False
2008-09-30,6,2,54,4,67,False
2008-10-01,0,2,43,2,58,False
2008-10-02,6,2,58,4,65,False
2008-10-03,4,0,39,2,53,False
2008-10-04,6,6,40,3,46,False
2008-10-05,17,0,72,0,50,False
2008-10-06,4,5,53,4,66,False
2008-10-07,5,2,41,2,52,False
2008-10-08,2,2,25,2,65,False
2008-10-09,5,2,45,0,73,False
2008-10-10,4,10,56,0,52,False
2008-10-11,6,3,38,6,62,False
2008-10-12,9,3,44,0,61,False
2008-10-13,8,2,48,2,59,False
2008-10-14,2,2,47,2,68,False
2008-10-15,5,4,38,2,91,False
2008-10-16,4,6,50,0,97,False
2008-10-17,10,4,48,0,80,False
2008-10-18,3,3,60,0,80,False
2008-10-19,3,3,70,0,87,False
2008-10-20,6,0,40,0,66,False
2008-10-21,7,0,60,2,69,False
2008-10-22,2,6,48,2,71,False
2008-10-23,6,0,48,0,82,False
2008-10-24,6,4,36,0,57,False
2008-10-25,11,0,45,0,76,False
2008-10-26,17,0,67,6,92,False
2008-10-27,4,5,36,0,63,False
2008-10-28,8,7,52,0,93,False
2008-10-29,8,11,53,0,93,False
2008-10-30,7,0,49,2,54,False
2008-10-31,6,16,89,4,58,False
2008-11-01,0,0,52,3,67,False
2008-11-02,8,8,80,3,61,False
2008-11-03,3,5,62,0,62,False
2008-11-04,2,9,47,0,100,False
2008-11-05,17,7,36,3,64,False
2008-11-06,4,0,38,2,83,False
2008-11-07,2,6,52,0,90,False
2008-11-08,3,3,51,3,81,False
2008-11-09,14,0,44,0,46,False
2008-11-10,5,5,45,0,42,False
2008-11-11,4,2,38,0,61,False
2008-11-12,5,2,50,0,50,False
2008-11-13,5,2,54,0,92,False
2008-11-14,19,8,32,4,75,False
2008-11-15,11,0,56,3,77,False
2008-11-16,0,5,46,3,60,False
2008-11-17,7,5,49,2,51,False
2008-11-18,9,5,56,4,65,False
2008-11-19,6,4,58,0,75,False
2008-11-20,15,2,52,2,60,False
2008-11-21,6,4,50,4,55,False
2008-11-22,0,11,57,0,43,False
2008-11-23,11,3,51,0,67,False
2008-11-24,4,5,40,0,69,False
2008-11-25,4,4,44,0,67,False
2008-11-26,8,6,38,2,79,False
2008-11-27,0,3,63,0,49,False
2008-11-28,0,8,42,0,42,False
