date,lay,liquidate,miser,owe,recession,isPartial
2009-07-25,74,0,3,8,16,False
2009-07-26,70,1,1,8,17,False
2009-07-27,52,0,3,9,32,False
2009-07-28,64,0,1,9,24,False
2009-07-29,67,0,1,6,28,False
2009-07-30,67,1,1,8,30,False
2009-07-31,62,0,1,6,25,False
2009-08-01,63,0,2,5,19,False
2009-08-02,65,0,2,7,23,False
2009-08-03,58,0,3,9,30,False
2009-08-04,66,1,2,9,22,False
2009-08-05,62,0,1,7,21,False
2009-08-06,71,1,1,8,23,False
2009-08-07,58,1,1,13,17,False
2009-08-08,55,1,2,8,14,False
2009-08-09,81,0,5,12,20,False
2009-08-10,53,0,2,7,31,False
2009-08-11,60,2,2,5,20,False
2009-08-12,65,1,2,10,25,False
2009-08-13,72,1,1,10,25,False
2009-08-14,63,0,4,9,14,False
2009-08-15,75,0,2,7,13,False
2009-08-16,53,1,3,7,13,False
2009-08-17,62,0,2,10,27,False
2009-08-18,54,1,1,13,26,False
2009-08-19,59,1,4,9,25,False
2009-08-20,49,1,2,9,24,False
2009-08-21,54,1,3,7,22,False
2009-08-22,50,0,2,4,8,False
2009-08-23,67,0,3,5,15,False
2009-08-24,66,1,3,5,19,False
2009-08-25,59,1,0,11,22,False
2009-08-26,66,2,2,12,21,False
2009-08-27,61,1,3,9,17,False
2009-08-28,57,0,2,5,18,False
2009-08-29,61,1,5,5,17,False
2009-08-30,60,0,0,12,24,False
2009-08-31,53,0,2,7,23,False
2009-09-01,69,0,3,13,28,False
2009-09-02,49,1,3,8,16,False
2009-09-03,68,0,2,8,30,False
2009-09-04,59,0,4,7,17,False
2009-09-05,58,0,2,5,23,False
2009-09-06,59,0,4,6,13,False
2009-09-07,69,1,3,4,13,False
2009-09-08,65,0,2,8,29,False
2009-09-09,65,1,3,6,23,False
2009-09-10,62,1,3,8,22,False
2009-09-11,69,1,2,7,30,False
2009-09-12,48,1,2,8,13,False
2009-09-13,69,1,1,6,21,False
2009-09-14,67,1,4,8,36,False
2009-09-15,59,1,3,9,37,False
2009-09-16,58,1,3,8,42,False
2009-09-17,63,1,2,8,23,False
2009-09-18,58,0,1,10,19,False
2009-09-19,56,1,2,8,21,False
2009-09-20,49,0,3,12,21,False
2009-09-21,70,1,5,4,34,False
2009-09-22,63,1,2,9,21,False
2009-09-23,58,2,3,7,29,False
2009-09-24,57,1,2,7,27,False
2009-09-25,58,1,4,10,17,False
2009-09-26,59,0,2,10,19,False
2009-09-27,59,2,2,13,13,False
2009-09-28,68,1,2,10,23,False
2009-09-29,64,0,3,10,20,False
2009-09-30,74,1,3,10,25,False
2009-10-01,54,0,3,8,26,False
2009-10-02,58,2,3,8,25,False
2009-10-03,56,2,6,2,31,False
2009-10-04,57,0,2,7,30,False
2009-10-05,61,1,4,6,27,False
2009-10-06,51,1,4,8,26,False
2009-10-07,65,2,3,11,27,False
2009-10-08,71,1,3,5,34,False
2009-10-09,51,0,2,6,26,False
2009-10-10,63,0,4,6,20,False
