date,aristocracy,aristocrat,aristocratic,associate,backer,isPartial
2008-11-13,5,5,0,76,8,False
2008-11-14,0,5,1,70,2,False
2008-11-15,2,3,2,51,6,False
2008-11-16,3,3,2,35,8,False
2008-11-17,3,5,3,73,7,False
2008-11-18,1,2,0,100,6,False
2008-11-19,2,3,0,69,11,False
2008-11-20,3,7,1,68,5,False
2008-11-21,4,4,0,67,15,False
2008-11-22,2,6,0,50,3,False
2008-11-23,3,8,0,39,16,False
2008-11-24,3,3,0,66,8,False
2008-11-25,1,5,0,55,7,False
2008-11-26,2,8,0,65,5,False
2008-11-27,0,3,0,48,5,False
2008-11-28,0,3,2,30,8,False
2008-11-29,2,8,0,28,6,False
2008-11-30,3,6,0,49,5,False
2008-12-01,0,6,2,55,5,False
2008-12-02,3,6,1,74,7,False
2008-12-03,4,8,3,89,6,False
2008-12-04,2,5,1,57,9,False
2008-12-05,3,3,1,72,4,False
2008-12-06,2,2,3,56,5,False
2008-12-07,5,3,5,33,6,False
2008-12-08,2,5,1,65,5,False
2008-12-09,4,6,0,67,5,False
2008-12-10,4,1,0,73,4,False
2008-12-11,1,6,3,64,3,False
2008-12-12,7,8,1,65,10,False
2008-12-13,2,5,3,40,6,False
2008-12-14,2,11,0,45,8,False
2008-12-15,4,3,1,62,4,False
2008-12-16,2,0,3,68,3,False
2008-12-17,1,2,0,61,6,False
2008-12-18,1,3,2,58,5,False
2008-12-19,0,2,0,62,4,False
2008-12-20,2,3,0,31,2,False
2008-12-21,2,2,2,48,9,False
2008-12-22,0,2,0,66,6,False
2008-12-23,0,5,0,55,4,False
2008-12-24,2,8,2,48,3,False
2008-12-25,0,7,0,28,4,False
2008-12-26,2,7,2,40,8,False
2008-12-27,3,2,0,28,3,False
2008-12-28,0,4,2,41,0,False
2008-12-29,1,2,1,53,7,False
2008-12-30,4,4,1,47,5,False
2008-12-31,1,3,0,46,9,False
2009-01-01,2,8,0,32,4,False
2009-01-02,3,3,0,67,8,False
2009-01-03,0,5,0,47,5,False
2009-01-04,0,5,0,52,5,False
2009-01-05,1,8,0,92,10,False
2009-01-06,2,4,1,76,9,False
2009-01-07,3,3,3,82,9,False
2009-01-08,3,9,0,87,5,False
2009-01-09,3,4,0,71,9,False
2009-01-10,0,4,1,57,7,False
2009-01-11,0,2,0,48,9,False
2009-01-12,2,3,1,85,13,False
2009-01-13,1,4,0,86,5,False
2009-01-14,1,7,2,77,8,False
2009-01-15,3,3,1,76,9,False
2009-01-16,2,4,1,72,7,False
2009-01-17,3,2,2,60,2,False
2009-01-18,0,6,2,54,9,False
2009-01-19,1,2,1,53,3,False
2009-01-20,2,6,0,61,4,False
2009-01-21,2,6,0,79,1,False
2009-01-22,3,3,0,89,7,False
2009-01-23,5,2,1,66,5,False
2009-01-24,1,1,0,53,4,False
2009-01-25,6,4,0,74,3,False
2009-01-26,3,2,1,80,8,False
2009-01-27,1,8,1,74,10,False
2009-01-28,3,4,1,80,8,False
2009-01-29,4,2,0,79,9,False
2009-01-30,4,4,0,74,6,False
2009-01-31,0,3,1,60,7,False
2009-02-01,2,3,2,58,8,False
2009-02-02,4,1,0,80,4,False
2009-02-03,2,5,1,88,5,False
2009-02-04,1,7,2,77,9,False
2009-02-05,4,5,4,67,8,False
2009-02-06,2,4,1,74,5,False
2009-02-07,1,3,1,42,6,False
2009-02-08,3,6,3,49,15,False
2009-02-09,0,8,0,82,5,False
2009-02-10,4,2,0,76,6,False
2009-02-11,1,7,0,96,11,False
2009-02-12,1,2,1,60,5,False
2009-02-13,0,7,1,60,14,False
2009-02-14,2,0,0,39,8,False
2009-02-15,0,5,0,68,3,False
2009-02-16,1,6,0,66,4,False
2009-02-17,4,4,3,72,5,False
2009-02-18,4,8,3,69,9,False
2009-02-19,4,2,3,66,4,False
2009-02-20,4,1,0,69,8,False
2009-02-21,4,0,0,58,6,False
2009-02-22,1,4,1,62,7,False
2009-02-23,3,2,3,78,6,False
2009-02-24,3,4,0,74,9,False
2009-02-25,1,1,2,82,4,False
2009-02-26,0,6,4,62,8,False
2009-02-27,1,0,2,50,9,False
2009-02-28,0,1,1,42,12,False
2009-03-01,3,4,0,49,9,False
2009-03-02,1,7,2,51,8,False
2009-03-03,5,6,2,77,3,False
2009-03-04,4,5,0,73,3,False
2009-03-05,4,9,2,70,5,False
2009-03-06,4,5,0,65,5,False
2009-03-07,3,6,1,42,7,False
2009-03-08,1,6,0,45,9,False
2009-03-09,3,5,2,57,6,False
2009-03-10,7,5,2,65,5,False
2009-03-11,2,6,2,61,6,False
