date,luxury,meritorious,nobility,nobleman,partner,isPartial
2007-06-24,79,1,0,0,36,False
2007-06-25,80,0,1,0,25,False
2007-06-26,70,1,2,0,34,False
2007-06-27,68,1,1,0,36,False
2007-06-28,74,1,0,1,30,False
2007-06-29,73,1,1,0,34,False
2007-06-30,84,0,3,1,23,False
2007-07-01,86,1,2,1,23,False
2007-07-02,72,1,0,0,27,False
2007-07-03,77,0,4,0,39,False
2007-07-04,83,1,3,1,22,False
2007-07-05,93,0,3,0,35,False
2007-07-06,70,0,1,0,31,False
2007-07-07,70,0,2,0,21,False
2007-07-08,60,0,0,0,26,False
2007-07-09,73,1,2,0,28,False
2007-07-10,72,1,2,0,31,False
2007-07-11,79,0,1,0,40,False
2007-07-12,52,0,1,0,33,False
2007-07-13,68,0,1,0,30,False
2007-07-14,86,1,1,0,26,False
2007-07-15,91,0,2,0,36,False
2007-07-16,71,1,0,1,30,False
2007-07-17,73,2,0,0,39,False
2007-07-18,72,1,2,0,31,False
2007-07-19,69,1,0,0,41,False
2007-07-20,78,0,2,0,36,False
2007-07-21,74,2,5,0,39,False
2007-07-22,100,1,1,1,42,False
2007-07-23,70,1,6,0,47,False
2007-07-24,82,0,1,0,43,False
2007-07-25,77,1,4,0,41,False
2007-07-26,67,1,1,0,43,False
2007-07-27,68,1,2,0,42,False
2007-07-28,78,0,1,0,42,False
2007-07-29,65,0,1,0,31,False
2007-07-30,73,0,1,0,40,False
2007-07-31,74,1,0,0,44,False
2007-08-01,71,1,0,0,49,False
2007-08-02,82,0,1,0,39,False
2007-08-03,69,1,1,0,35,False
2007-08-04,56,2,2,0,37,False
2007-08-05,83,0,2,0,27,False
2007-08-06,67,0,2,0,36,False
2007-08-07,68,1,1,1,24,False
2007-08-08,68,1,1,0,38,False
2007-08-09,63,1,1,1,39,False
2007-08-10,57,1,1,0,34,False
2007-08-11,76,0,3,0,32,False
2007-08-12,73,0,2,1,29,False
2007-08-13,73,1,1,1,33,False
2007-08-14,67,0,1,0,36,False
2007-08-15,68,1,1,0,41,False
2007-08-16,75,0,2,0,44,False
2007-08-17,78,1,1,0,42,False
2007-08-18,78,1,3,0,28,False
2007-08-19,82,0,1,1,32,False
2007-08-20,65,1,0,1,31,False
2007-08-21,65,1,0,1,36,False
2007-08-22,66,1,3,0,30,False
2007-08-23,63,2,2,0,34,False
2007-08-24,69,0,1,0,31,False
2007-08-25,78,0,1,0,25,False
2007-08-26,74,0,1,0,32,False
2007-08-27,84,2,1,0,39,False
2007-08-28,84,1,2,0,33,False
2007-08-29,66,1,1,1,35,False
2007-08-30,60,1,1,3,33,False
2007-08-31,67,1,1,1,29,False
2007-09-01,67,0,2,0,32,False
2007-09-02,66,0,1,1,20,False
2007-09-03,76,1,2,0,24,False
2007-09-04,73,0,1,0,46,False
2007-09-05,73,2,1,0,37,False
2007-09-06,61,2,1,0,35,False
2007-09-07,64,1,2,1,35,False
2007-09-08,58,0,2,0,34,False
2007-09-09,62,0,0,0,25,False
2007-09-10,61,1,2,0,32,False
