date,boom,breadwinner,buy,capitalize,charitable,isPartial
2008-11-13,1,0,38,0,0,False
2008-11-14,1,0,36,0,0,False
2008-11-15,1,0,43,0,0,False
2008-11-16,1,0,45,0,0,False
2008-11-17,1,0,36,0,1,False
2008-11-18,1,0,38,0,0,False
2008-11-19,1,0,37,0,1,False
2008-11-20,1,0,36,0,0,False
2008-11-21,1,0,37,0,1,False
2008-11-22,1,0,47,0,0,False
2008-11-23,1,0,51,0,0,False
2008-11-24,1,0,44,0,0,False
2008-11-25,1,0,48,0,0,False
2008-11-26,1,0,55,0,0,False
2008-11-27,1,0,70,0,0,False
2008-11-28,1,0,100,0,0,False
2008-11-29,1,0,65,0,0,False
2008-11-30,2,0,56,0,0,False
2008-12-01,1,0,53,0,0,False
2008-12-02,1,0,47,0,0,False
2008-12-03,1,0,41,0,0,False
2008-12-04,1,0,40,0,0,False
2008-12-05,1,0,41,0,0,False
2008-12-06,1,0,50,0,0,False
2008-12-07,1,0,53,0,0,False
2008-12-08,1,0,44,0,0,False
2008-12-09,1,0,43,0,1,False
2008-12-10,1,0,41,0,0,False
2008-12-11,1,0,41,0,0,False
2008-12-12,1,0,44,0,0,False
2008-12-13,1,0,53,0,0,False
2008-12-14,1,0,57,0,0,False
2008-12-15,1,0,49,0,1,False
2008-12-16,1,0,47,0,0,False
2008-12-17,1,0,47,0,0,False
2008-12-18,1,0,49,0,0,False
2008-12-19,1,0,48,0,0,False
2008-12-20,2,0,58,0,0,False
2008-12-21,1,0,64,0,0,False
2008-12-22,1,0,54,0,0,False
2008-12-23,1,0,56,0,0,False
2008-12-24,1,0,54,0,0,False
2008-12-25,1,0,54,0,0,False
2008-12-26,1,0,77,0,0,False
2008-12-27,1,0,65,0,0,False
2008-12-28,1,0,57,0,0,False
2008-12-29,1,0,48,0,1,False
2008-12-30,1,0,44,0,0,False
2008-12-31,1,0,46,0,1,False
2009-01-01,1,0,51,0,0,False
2009-01-02,1,0,45,0,0,False
2009-01-03,1,0,47,0,0,False
2009-01-04,1,0,48,0,0,False
2009-01-05,1,0,37,0,0,False
2009-01-06,1,0,35,0,1,False
2009-01-07,1,0,34,0,0,False
2009-01-08,1,0,34,0,0,False
2009-01-09,1,0,34,0,0,False
2009-01-10,1,0,41,0,0,False
2009-01-11,1,0,45,0,0,False
2009-01-12,1,0,35,0,0,False
2009-01-13,1,0,32,0,0,False
2009-01-14,1,0,31,0,0,False
2009-01-15,1,0,31,0,0,False
2009-01-16,1,0,34,0,0,False
2009-01-17,1,0,44,0,0,False
2009-01-18,1,0,46,0,0,False
2009-01-19,1,0,39,0,0,False
2009-01-20,1,0,31,0,0,False
2009-01-21,1,0,32,0,0,False
2009-01-22,1,0,32,0,0,False
2009-01-23,1,0,33,0,0,False
2009-01-24,1,0,42,0,0,False
2009-01-25,1,0,43,0,0,False
2009-01-26,1,0,34,0,0,False
2009-01-27,1,0,31,0,0,False
2009-01-28,1,0,30,0,0,False
2009-01-29,1,0,31,0,1,False
2009-01-30,1,0,33,0,0,False
2009-01-31,1,0,41,0,1,False
2009-02-01,1,0,40,0,0,False
2009-02-02,1,0,32,0,0,False
2009-02-03,1,0,31,0,0,False
2009-02-04,1,0,30,0,0,False
2009-02-05,1,0,33,0,0,False
2009-02-06,1,0,33,0,0,False
2009-02-07,1,0,41,0,0,False
2009-02-08,1,0,43,0,0,False
2009-02-09,1,0,32,0,0,False
2009-02-10,1,0,32,0,0,False
2009-02-11,1,0,31,0,0,False
2009-02-12,1,0,31,0,0,False
2009-02-13,1,0,33,0,0,False
2009-02-14,2,0,39,0,0,False
2009-02-15,1,0,44,0,0,False
2009-02-16,1,0,35,0,0,False
2009-02-17,1,0,32,0,1,False
2009-02-18,1,0,31,0,1,False
2009-02-19,1,0,31,0,0,False
2009-02-20,1,0,33,0,0,False
2009-02-21,2,0,40,0,0,False
2009-02-22,1,0,41,0,0,False
2009-02-23,2,0,31,0,0,False
2009-02-24,1,0,30,0,0,False
2009-02-25,1,0,30,0,1,False
2009-02-26,1,0,30,0,1,False
2009-02-27,2,0,31,0,1,False
2009-02-28,2,0,39,0,0,False
2009-03-01,2,0,42,0,0,False
2009-03-02,1,0,31,0,1,False
2009-03-03,1,0,30,0,1,False
2009-03-04,1,0,31,0,1,False
2009-03-05,1,0,29,0,0,False
2009-03-06,1,0,31,0,1,False
2009-03-07,1,0,36,0,0,False
2009-03-08,2,0,39,0,0,False
2009-03-09,1,0,32,0,0,False
2009-03-10,1,0,30,0,0,False
2009-03-11,1,0,29,0,0,False
2009-03-12,2,0,31,0,1,False
2009-03-13,1,0,30,0,1,False
2009-03-14,2,0,38,0,0,False
2009-03-15,2,0,39,0,1,False
2009-03-16,2,0,30,0,1,False
2009-03-17,2,0,30,0,0,False
2009-03-18,2,0,29,0,0,False
2009-03-19,2,0,30,0,0,False
2009-03-20,2,0,31,0,1,False
2009-03-21,2,0,38,0,0,False
2009-03-22,3,0,38,0,0,False
2009-03-23,2,0,31,0,0,False
2009-03-24,2,0,31,0,0,False
2009-03-25,2,0,30,0,1,False
2009-03-26,2,0,30,0,0,False
2009-03-27,2,0,30,0,0,False
2009-03-28,3,0,38,0,0,False
2009-03-29,3,0,38,0,0,False
2009-03-30,2,0,30,0,1,False
2009-03-31,2,0,29,0,0,False
2009-04-01,2,0,27,0,0,False
2009-04-02,2,0,29,0,1,False
2009-04-03,3,0,30,0,1,False
2009-04-04,3,0,36,0,0,False
2009-04-05,2,0,40,0,0,False
2009-04-06,2,0,32,0,0,False
2009-04-07,2,0,29,0,0,False
2009-04-08,2,0,31,0,1,False
2009-04-09,3,0,32,0,1,False
2009-04-10,3,0,32,0,0,False
2009-04-11,3,0,36,0,0,False
2009-04-12,3,0,37,0,0,False
2009-04-13,2,0,31,0,0,False
2009-04-14,2,0,29,0,1,False
2009-04-15,2,0,28,0,1,False
2009-04-16,2,0,29,0,0,False
2009-04-17,2,0,29,0,0,False
2009-04-18,3,0,34,0,0,False
2009-04-19,3,0,37,0,0,False
2009-04-20,3,0,30,0,0,False
2009-04-21,2,0,29,0,0,False
2009-04-22,3,0,30,0,0,False
2009-04-23,2,0,28,0,0,False
2009-04-24,3,0,29,0,0,False
2009-04-25,3,0,34,0,0,False
2009-04-26,4,0,38,0,0,False
2009-04-27,2,0,29,0,0,False
2009-04-28,2,0,30,0,0,False
2009-04-29,2,0,30,0,0,False
2009-04-30,2,0,28,0,0,False
2009-05-01,2,0,30,0,0,False
2009-05-02,3,0,33,0,0,False
2009-05-03,3,0,38,0,0,False
2009-05-04,2,0,31,0,0,False
2009-05-05,2,0,31,0,0,False
2009-05-06,2,0,29,0,0,False
2009-05-07,2,0,29,0,0,False
2009-05-08,3,0,30,0,0,False
2009-05-09,3,0,38,0,0,False
2009-05-10,4,0,38,0,0,False
2009-05-11,3,0,31,0,0,False
2009-05-12,2,0,28,0,0,False
2009-05-13,2,0,30,0,0,False
2009-05-14,3,0,28,0,0,False
2009-05-15,3,0,30,0,0,False
2009-05-16,3,0,37,0,0,False
2009-05-17,3,0,38,0,0,False
2009-05-18,2,0,31,0,0,False
2009-05-19,3,0,31,0,0,False
2009-05-20,2,0,30,0,0,False
2009-05-21,4,0,30,0,0,False
2009-05-22,3,0,30,0,0,False
2009-05-23,4,0,37,0,0,False
2009-05-24,4,0,41,0,0,False
2009-05-25,4,0,37,0,0,False
2009-05-26,2,0,31,0,0,False
2009-05-27,3,0,30,0,0,False
2009-05-28,3,0,30,0,0,False
2009-05-29,3,0,32,0,0,False
2009-05-30,3,0,38,0,0,False
2009-05-31,4,0,39,0,0,False
2009-06-01,3,0,32,0,0,False
2009-06-02,3,0,34,0,0,False
2009-06-03,3,0,32,0,1,False
2009-06-04,3,0,31,0,0,False
2009-06-05,3,0,33,0,0,False
2009-06-06,3,0,38,0,0,False
2009-06-07,3,0,42,0,0,False
2009-06-08,3,0,33,0,0,False
2009-06-09,2,0,33,0,0,False
2009-06-10,3,0,32,0,0,False
2009-06-11,3,0,34,0,0,False
2009-06-12,3,0,35,0,0,False
2009-06-13,3,0,38,0,0,False
2009-06-14,3,0,40,0,0,False
2009-06-15,3,0,35,0,0,False
2009-06-16,3,0,35,0,0,False
2009-06-17,3,0,33,0,0,False
2009-06-18,3,0,33,0,0,False
2009-06-19,3,0,34,0,0,False
2009-06-20,3,0,40,0,0,False
2009-06-21,3,0,44,0,0,False
2009-06-22,2,0,32,0,0,False
2009-06-23,2,0,32,0,0,False
2009-06-24,2,0,32,0,0,False
2009-06-25,2,0,31,0,0,False
2009-06-26,2,0,31,0,0,False
2009-06-27,2,0,38,0,0,False
2009-06-28,3,0,40,0,0,False
2009-06-29,3,0,33,0,0,False
2009-06-30,2,0,33,0,0,False
2009-07-01,3,0,33,0,0,False
2009-07-02,3,0,33,0,0,False
2009-07-03,5,0,36,0,0,False
2009-07-04,4,0,38,0,0,False
2009-07-05,3,0,40,0,0,False
2009-07-06,2,0,34,0,0,False
2009-07-07,2,0,34,0,0,False
2009-07-08,2,0,31,0,0,False
2009-07-09,2,0,32,0,0,False
2009-07-10,2,0,33,0,0,False
2009-07-11,2,0,38,0,0,False
2009-07-12,2,0,39,0,0,False
2009-07-13,2,0,34,0,0,False
2009-07-14,1,0,32,0,0,False
2009-07-15,2,0,33,0,0,False
2009-07-16,2,0,30,0,0,False
2009-07-17,2,0,32,0,0,False
2009-07-18,2,0,37,0,0,False
2009-07-19,2,0,42,0,0,False
2009-07-20,2,0,33,0,0,False
2009-07-21,2,0,34,0,0,False
2009-07-22,2,0,33,0,0,False
2009-07-23,2,0,32,0,0,False
2009-07-24,2,0,33,0,0,False
2009-07-25,2,0,38,0,0,False
2009-07-26,2,0,40,0,0,False
2009-07-27,2,0,34,0,0,False
2009-07-28,2,0,33,0,0,False
2009-07-29,1,0,34,0,0,False
2009-07-30,2,0,33,0,0,False
2009-07-31,2,0,33,0,0,False
2009-08-01,2,0,40,0,0,False
2009-08-02,2,0,42,0,0,False
2009-08-03,2,0,35,0,0,False
2009-08-04,2,0,34,0,0,False
2009-08-05,2,0,34,0,0,False
2009-08-06,2,0,34,0,0,False
2009-08-07,2,0,33,0,0,False
2009-08-08,2,0,39,0,0,False
2009-08-09,2,0,43,0,0,False
