date,expense,expensive,fine,ghetto,intervention,isPartial
2009-07-25,8,33,70,28,16,False
2009-07-26,8,31,80,21,15,False
2009-07-27,9,28,86,25,24,False
2009-07-28,13,32,85,21,23,False
2009-07-29,12,30,81,23,21,False
2009-07-30,8,32,90,20,13,False
2009-07-31,9,34,87,24,16,False
2009-08-01,6,31,81,27,13,False
2009-08-02,8,34,83,30,14,False
2009-08-03,11,36,78,17,15,False
2009-08-04,13,26,81,19,29,False
2009-08-05,9,25,88,19,17,False
2009-08-06,11,35,92,22,16,False
2009-08-07,8,32,84,22,15,False
2009-08-08,7,28,78,22,11,False
2009-08-09,5,39,78,23,13,False
2009-08-10,10,33,86,20,23,False
2009-08-11,10,28,84,23,25,False
2009-08-12,10,30,88,18,21,False
2009-08-13,12,28,79,21,17,False
2009-08-14,8,25,91,20,16,False
2009-08-15,6,32,77,27,13,False
2009-08-16,6,36,68,24,9,False
2009-08-17,11,29,85,23,22,False
2009-08-18,9,30,75,22,33,False
2009-08-19,11,31,81,24,20,False
2009-08-20,12,31,79,17,19,False
2009-08-21,8,37,78,26,13,False
2009-08-22,8,31,75,24,14,False
2009-08-23,5,35,82,16,13,False
2009-08-24,9,28,72,16,18,False
2009-08-25,10,30,79,18,23,False
2009-08-26,11,28,75,25,21,False
2009-08-27,11,27,76,20,20,False
2009-08-28,13,33,80,22,19,False
2009-08-29,8,34,73,27,12,False
2009-08-30,7,35,80,29,16,False
2009-08-31,11,28,79,18,18,False
2009-09-01,11,33,83,20,27,False
2009-09-02,9,28,72,24,23,False
2009-09-03,13,31,74,19,19,False
2009-09-04,8,29,77,21,20,False
2009-09-05,7,33,85,24,14,False
2009-09-06,5,39,84,28,10,False
2009-09-07,9,31,77,25,17,False
2009-09-08,12,31,78,19,19,False
2009-09-09,11,30,80,23,26,False
2009-09-10,12,31,91,23,15,False
2009-09-11,10,29,83,23,15,False
2009-09-12,8,34,87,26,16,False
2009-09-13,10,33,89,22,12,False
2009-09-14,9,32,78,19,21,False
2009-09-15,12,29,80,25,22,False
2009-09-16,12,31,73,21,18,False
2009-09-17,12,31,79,22,21,False
2009-09-18,12,33,82,23,22,False
2009-09-19,7,35,87,26,13,False
2009-09-20,7,23,85,24,17,False
2009-09-21,14,32,78,22,20,False
2009-09-22,11,32,76,19,26,False
2009-09-23,11,35,71,20,24,False
2009-09-24,13,27,85,28,20,False
2009-09-25,10,27,84,30,15,False
2009-09-26,5,26,86,35,14,False
2009-09-27,5,35,78,28,18,False
2009-09-28,15,37,82,19,22,False
2009-09-29,14,30,79,23,24,False
2009-09-30,12,34,97,22,25,False
2009-10-01,10,30,80,29,18,False
2009-10-02,11,33,86,21,21,False
2009-10-03,6,35,81,33,14,False
2009-10-04,8,34,72,25,16,False
2009-10-05,14,30,76,26,21,False
2009-10-06,13,34,82,16,26,False
2009-10-07,14,28,79,17,27,False
2009-10-08,10,33,74,25,22,False
2009-10-09,12,34,70,20,22,False
2009-10-10,7,29,79,33,23,False
2009-10-11,10,28,68,20,17,False
2009-10-12,15,27,78,23,21,False
2009-10-13,13,34,78,23,24,False
2009-10-14,13,26,75,24,22,False
2009-10-15,15,27,74,27,21,False
2009-10-16,13,30,74,21,18,False
2009-10-17,8,31,83,29,16,False
2009-10-18,7,35,82,27,11,False
2009-10-19,9,32,79,19,21,False
2009-10-20,14,32,80,21,23,False
2009-10-21,12,24,75,22,27,False
2009-10-22,11,34,84,25,19,False
2009-10-23,12,31,85,28,20,False
2009-10-24,8,28,78,32,12,False
2009-10-25,8,36,75,27,14,False
2009-10-26,11,29,80,21,23,False
2009-10-27,13,28,72,24,34,False
2009-10-28,14,32,82,20,21,False
2009-10-29,14,29,69,24,18,False
2009-10-30,12,26,86,26,14,False
2009-10-31,6,24,71,28,16,False
2009-11-01,6,31,79,30,13,False
2009-11-02,16,32,80,21,24,False
