date,privileged,productive,productivity,profit,profitable,isPartial
2008-03-04,0,2,15,80,4,False
2008-03-05,1,5,12,73,4,False
2008-03-06,0,3,9,74,5,False
2008-03-07,1,5,13,65,4,False
2008-03-08,0,4,11,59,2,False
2008-03-09,0,5,8,59,4,False
2008-03-10,1,6,9,71,4,False
2008-03-11,4,4,11,69,6,False
2008-03-12,1,3,10,74,3,False
2008-03-13,2,5,8,74,2,False
2008-03-14,1,4,15,59,3,False
2008-03-15,0,2,9,57,3,False
2008-03-16,1,3,4,45,4,False
2008-03-17,1,4,9,69,3,False
2008-03-18,1,4,18,69,3,False
2008-03-19,1,3,10,74,2,False
2008-03-20,0,3,10,67,3,False
2008-03-21,1,2,12,64,3,False
2008-03-22,1,2,7,51,3,False
2008-03-23,0,4,4,52,3,False
2008-03-24,1,3,12,76,5,False
2008-03-25,2,4,9,76,6,False
2008-03-26,2,4,4,76,2,False
2008-03-27,3,3,12,74,6,False
2008-03-28,0,4,9,63,4,False
2008-03-29,1,3,7,46,2,False
2008-03-30,2,4,7,49,5,False
2008-03-31,2,5,11,68,5,False
2008-04-01,0,1,14,91,4,False
2008-04-02,2,2,7,83,7,False
2008-04-03,1,6,16,77,8,False
2008-04-04,0,5,11,81,4,False
2008-04-05,1,4,4,66,4,False
2008-04-06,1,2,12,65,6,False
2008-04-07,1,3,16,78,6,False
2008-04-08,2,2,13,84,1,False
2008-04-09,5,2,9,71,4,False
2008-04-10,2,2,11,70,3,False
2008-04-11,3,4,12,64,3,False
2008-04-12,0,3,8,60,2,False
2008-04-13,0,4,9,58,5,False
2008-04-14,0,2,12,80,5,False
2008-04-15,2,4,13,83,5,False
2008-04-16,0,4,12,88,5,False
2008-04-17,2,4,12,90,4,False
2008-04-18,0,3,5,84,5,False
2008-04-19,1,0,10,51,3,False
2008-04-20,0,1,7,56,5,False
2008-04-21,2,2,9,93,5,False
2008-04-22,2,3,14,83,6,False
2008-04-23,3,5,16,76,4,False
2008-04-24,1,4,12,70,2,False
2008-04-25,1,5,7,66,1,False
2008-04-26,1,3,6,59,7,False
2008-04-27,2,4,15,65,7,False
2008-04-28,2,2,15,85,6,False
2008-04-29,2,1,4,79,3,False
2008-04-30,1,7,8,81,4,False
2008-05-01,2,4,12,71,5,False
2008-05-02,0,3,7,66,3,False
2008-05-03,1,2,6,59,2,False
2008-05-04,0,4,7,58,10,False
2008-05-05,1,3,8,77,6,False
2008-05-06,3,5,15,72,3,False
2008-05-07,2,3,11,69,4,False
2008-05-08,1,4,11,72,2,False
2008-05-09,2,2,10,62,3,False
2008-05-10,0,6,3,50,2,False
2008-05-11,2,3,9,50,2,False
2008-05-12,4,3,10,77,4,False
2008-05-13,1,3,8,64,2,False
2008-05-14,2,4,14,78,4,False
2008-05-15,1,6,12,71,6,False
2008-05-16,1,1,10,67,5,False
2008-05-17,1,1,6,44,0,False
2008-05-18,0,1,7,41,2,False
2008-05-19,3,3,10,73,4,False
2008-05-20,1,2,8,68,3,False
2008-05-21,2,3,11,79,4,False
2008-05-22,2,2,9,66,7,False
2008-05-23,1,1,11,70,1,False
2008-05-24,0,1,4,33,3,False
2008-05-25,1,2,1,56,2,False
2008-05-26,2,4,4,53,3,False
2008-05-27,1,3,9,62,2,False
2008-05-28,0,4,9,69,0,False
2008-05-29,3,4,10,71,4,False
2008-05-30,0,1,13,61,5,False
2008-05-31,1,4,3,43,6,False
2008-06-01,0,2,6,59,5,False
2008-06-02,1,2,9,66,1,False
2008-06-03,2,5,6,74,3,False
2008-06-04,2,2,9,78,3,False
2008-06-05,1,3,6,65,4,False
2008-06-06,2,1,7,53,5,False
2008-06-07,2,3,4,44,4,False
2008-06-08,1,3,5,43,6,False
2008-06-09,2,1,11,71,6,False
2008-06-10,1,2,13,77,6,False
2008-06-11,3,1,10,81,2,False
2008-06-12,3,4,6,64,2,False
2008-06-13,2,3,8,64,4,False
2008-06-14,1,0,1,46,3,False
2008-06-15,0,3,2,48,4,False
2008-06-16,1,3,8,64,5,False
2008-06-17,1,3,12,69,5,False
2008-06-18,2,4,8,72,3,False
2008-06-19,1,3,12,62,1,False
2008-06-20,1,1,9,50,1,False
2008-06-21,1,2,7,55,3,False
2008-06-22,1,0,4,42,2,False
2008-06-23,1,3,10,70,6,False
2008-06-24,3,4,6,77,6,False
2008-06-25,2,3,14,87,4,False
2008-06-26,1,3,8,76,6,False
2008-06-27,1,3,10,63,0,False
2008-06-28,0,2,5,46,6,False
2008-06-29,1,3,6,48,3,False
2008-06-30,2,3,9,63,4,False
2008-07-01,1,3,12,78,5,False
2008-07-02,3,5,11,55,6,False
2008-07-03,0,3,9,74,2,False
