date,gain,generosity,gift,gold,guide,isPartial
2010-01-08,6,0,16,33,62,False
2010-01-09,6,0,18,36,77,False
2010-01-10,5,0,17,37,79,False
2010-01-11,6,0,17,37,67,False
2010-01-12,6,0,17,36,62,False
2010-01-13,6,0,16,35,64,False
2010-01-14,6,0,16,35,61,False
2010-01-15,5,0,15,35,61,False
2010-01-16,6,0,17,37,69,False
2010-01-17,6,0,17,35,83,False
2010-01-18,6,0,15,38,74,False
2010-01-19,6,0,14,34,64,False
2010-01-20,7,0,15,34,63,False
2010-01-21,6,0,15,36,60,False
2010-01-22,6,0,16,38,60,False
2010-01-23,6,0,15,38,74,False
2010-01-24,7,0,15,42,83,False
2010-01-25,6,0,17,36,62,False
2010-01-26,6,0,15,34,62,False
2010-01-27,6,0,16,35,60,False
2010-01-28,6,0,16,35,61,False
2010-01-29,6,0,17,35,60,False
2010-01-30,5,0,18,36,72,False
2010-01-31,6,0,17,38,81,False
2010-02-01,6,0,17,34,66,False
2010-02-02,6,0,18,34,62,False
2010-02-03,7,0,17,35,62,False
2010-02-04,6,0,16,37,59,False
2010-02-05,4,0,17,39,58,False
2010-02-06,5,0,17,38,71,False
2010-02-07,6,0,20,40,74,False
2010-02-08,6,0,19,38,58,False
2010-02-09,6,0,21,37,60,False
2010-02-10,6,0,20,37,58,False
2010-02-11,6,0,21,38,61,False
2010-02-12,5,0,24,35,60,False
2010-02-13,6,0,20,42,70,False
2010-02-14,6,0,18,42,73,False
2010-02-15,7,0,16,42,68,False
2010-02-16,6,0,14,46,65,False
2010-02-17,7,0,14,42,61,False
2010-02-18,6,0,15,59,59,False
2010-02-19,5,0,14,60,56,False
2010-02-20,6,0,14,52,68,False
2010-02-21,6,0,15,46,74,False
2010-02-22,7,0,13,45,62,False
2010-02-23,7,0,15,43,61,False
2010-02-24,7,0,15,41,60,False
2010-02-25,6,0,13,42,54,False
2010-02-26,7,0,14,50,57,False
2010-02-27,6,0,14,51,68,False
2010-02-28,6,0,14,100,70,False
2010-03-01,7,0,13,54,59,False
2010-03-02,6,0,15,39,59,False
2010-03-03,6,0,15,39,59,False
2010-03-04,6,0,17,40,59,False
2010-03-05,6,0,15,37,55,False
2010-03-06,6,0,15,41,68,False
2010-03-07,6,0,15,40,74,False
2010-03-08,7,0,14,34,59,False
2010-03-09,6,0,15,38,56,False
2010-03-10,6,0,14,35,57,False
2010-03-11,7,0,15,38,60,False
2010-03-12,6,0,15,37,58,False
2010-03-13,6,0,15,43,68,False
2010-03-14,7,0,14,45,71,False
2010-03-15,6,0,15,41,60,False
2010-03-16,7,0,15,42,61,False
2010-03-17,7,0,15,42,59,False
2010-03-18,6,0,13,40,60,False
2010-03-19,7,0,15,42,57,False
2010-03-20,6,0,16,44,68,False
2010-03-21,6,0,14,49,76,False
2010-03-22,7,0,14,39,62,False
2010-03-23,6,0,15,41,63,False
2010-03-24,7,0,16,40,61,False
2010-03-25,7,0,15,41,58,False
2010-03-26,7,0,15,40,58,False
2010-03-27,6,0,14,46,68,False
2010-03-28,7,0,16,46,72,False
2010-03-29,6,0,17,42,61,False
2010-03-30,7,0,15,38,60,False
2010-03-31,6,0,14,36,59,False
2010-04-01,6,0,15,38,60,False
2010-04-02,5,0,16,41,63,False
2010-04-03,6,0,14,42,68,False
2010-04-04,6,0,13,45,74,False
2010-04-05,7,0,15,38,64,False
2010-04-06,7,0,16,40,61,False
2010-04-07,7,0,15,38,59,False
2010-04-08,7,0,15,38,60,False
2010-04-09,6,0,17,41,56,False
2010-04-10,6,0,15,42,69,False
2010-04-11,6,0,15,42,70,False
2010-04-12,6,0,15,36,60,False
2010-04-13,7,0,15,38,62,False
2010-04-14,7,0,16,36,62,False
2010-04-15,7,0,14,36,56,False
2010-04-16,5,0,17,37,56,False
2010-04-17,5,0,17,42,66,False
2010-04-18,6,0,18,45,78,False
2010-04-19,6,0,18,39,60,False
2010-04-20,7,0,17,38,59,False
