date,expense,expensive,fine,ghetto,intervention,isPartial
2012-10-20,8,45,77,48,12,False
2012-10-21,8,51,76,45,14,False
2012-10-22,15,49,82,37,21,False
2012-10-23,14,41,80,36,25,False
2012-10-24,14,40,73,39,20,False
2012-10-25,15,45,75,39,19,False
2012-10-26,13,40,76,35,14,False
2012-10-27,8,41,73,45,14,False
2012-10-28,8,42,69,41,11,False
2012-10-29,12,41,70,36,17,False
2012-10-30,13,40,67,36,22,False
2012-10-31,10,39,70,42,20,False
2012-11-01,11,40,72,38,17,False
2012-11-02,11,39,78,38,16,False
2012-11-03,7,45,80,40,13,False
2012-11-04,6,44,85,40,16,False
2012-11-05,11,43,83,36,20,False
2012-11-06,13,38,76,34,18,False
2012-11-07,10,36,68,31,19,False
2012-11-08,12,42,83,34,18,False
2012-11-09,14,37,85,43,18,False
2012-11-10,7,41,83,43,13,False
2012-11-11,8,41,78,45,15,False
2012-11-12,15,44,77,45,18,False
2012-11-13,14,47,86,39,20,False
2012-11-14,13,44,88,38,23,False
2012-11-15,13,42,90,40,19,False
2012-11-16,13,43,86,39,17,False
2012-11-17,8,44,86,38,15,False
2012-11-18,7,44,68,44,18,False
2012-11-19,13,47,86,37,19,False
2012-11-20,11,40,74,39,27,False
2012-11-21,8,41,83,39,18,False
2012-11-22,4,45,65,40,11,False
2012-11-23,6,45,68,39,9,False
2012-11-24,5,49,78,44,9,False
2012-11-25,6,54,78,40,11,False
2012-11-26,13,42,80,39,21,False
2012-11-27,14,48,77,39,36,False
2012-11-28,14,53,88,40,26,False
2012-11-29,14,50,79,40,22,False
2012-11-30,14,45,89,43,21,False
2012-12-01,8,50,93,48,12,False
2012-12-02,10,51,81,41,18,False
2012-12-03,14,45,83,43,21,False
2012-12-04,14,41,85,38,26,False
2012-12-05,12,46,79,41,22,False
2012-12-06,14,45,83,42,20,False
2012-12-07,11,47,80,41,18,False
2012-12-08,8,52,84,42,14,False
2012-12-09,8,46,78,41,14,False
2012-12-10,14,48,82,36,20,False
2012-12-11,12,45,83,38,24,False
2012-12-12,15,44,84,38,21,False
2012-12-13,12,45,84,39,17,False
2012-12-14,11,40,80,39,13,False
2012-12-15,8,40,85,38,11,False
