date,luxury,meritorious,nobility,nobleman,partner,isPartial
2004-01-01,37,0,5,0,0,False
2004-01-02,45,0,7,0,23,False
2004-01-03,54,0,3,0,17,False
2004-01-04,56,0,3,0,20,False
2004-01-05,46,0,7,0,26,False
2004-01-06,48,0,0,0,30,False
2004-01-07,55,0,0,0,23,False
2004-01-08,57,0,0,0,43,False
2004-01-09,55,0,0,0,14,False
2004-01-10,52,3,0,0,14,False
2004-01-11,57,3,5,0,8,False
2004-01-12,40,3,2,0,22,False
2004-01-13,57,2,2,0,25,False
2004-01-14,59,0,3,0,24,False
2004-01-15,47,0,0,0,24,False
2004-01-16,48,0,0,0,22,False
2004-01-17,59,0,0,0,29,False
2004-01-18,41,0,0,0,30,False
2004-01-19,36,0,0,0,24,False
2004-01-20,50,0,2,0,30,False
2004-01-21,47,0,2,0,33,False
2004-01-22,57,0,0,0,21,False
2004-01-23,50,2,0,0,18,False
2004-01-24,46,0,0,0,8,False
2004-01-25,61,3,3,3,23,False
2004-01-26,53,0,0,0,19,False
2004-01-27,44,2,2,0,24,False
2004-01-28,36,2,2,0,31,False
2004-01-29,57,0,2,2,35,False
2004-01-30,50,3,3,0,17,False
2004-01-31,56,0,10,0,23,False
2004-02-01,60,0,0,0,21,False
2004-02-02,59,0,0,0,25,False
2004-02-03,59,0,3,0,23,False
2004-02-04,51,0,4,1,28,False
2004-02-05,40,0,3,0,28,False
2004-02-06,66,0,0,0,17,False
2004-02-07,54,0,0,0,20,False
2004-02-08,64,4,4,0,30,False
2004-02-09,50,3,3,2,33,False
2004-02-10,40,1,0,0,24,False
2004-02-11,50,3,2,0,23,False
2004-02-12,48,0,3,2,12,False
2004-02-13,49,0,3,0,29,False
2004-02-14,82,3,0,0,11,False
2004-02-15,86,0,0,0,3,False
2004-02-16,74,0,3,2,16,False
2004-02-17,44,0,2,0,21,False
2004-02-18,59,3,3,0,21,False
2004-02-19,53,0,0,0,23,False
2004-02-20,44,0,2,0,16,False
2004-02-21,50,0,0,0,25,False
2004-02-22,76,0,0,0,19,False
2004-02-23,32,0,1,0,28,False
2004-02-24,55,0,1,0,22,False
2004-02-25,48,5,0,0,30,False
2004-02-26,52,0,1,0,28,False
2004-02-27,49,0,0,0,29,False
2004-02-28,56,0,0,0,18,False
2004-02-29,22,0,0,0,36,False
2004-03-01,47,0,0,0,18,False
2004-03-02,53,1,0,1,20,False
2004-03-03,56,0,5,0,21,False
2004-03-04,40,2,2,0,29,False
2004-03-05,28,0,0,0,17,False
2004-03-06,32,4,4,0,20,False
2004-03-07,73,0,7,0,7,False
2004-03-08,0,0,0,0,0,True
2004-03-09,0,0,0,0,0,True
2004-03-10,50,0,6,0,21,False
2004-03-11,44,5,5,0,44,False
2004-03-12,36,2,0,0,20,False
2004-03-13,36,0,3,0,13,False
2004-03-14,69,0,0,0,28,False
2004-03-15,33,0,3,0,38,False
2004-03-16,38,0,0,0,29,False
2004-03-17,50,0,2,0,30,False
2004-03-18,34,2,5,2,14,False
2004-03-19,36,2,0,0,13,False
2004-03-20,47,0,0,0,16,False
2004-03-21,54,3,3,0,31,False
2004-03-22,72,6,0,6,12,False
2004-03-23,0,0,0,0,0,True
2004-03-24,41,2,0,0,27,False
2004-03-25,60,0,5,0,22,False
2004-03-26,27,2,0,0,23,False
2004-03-27,44,0,3,0,28,False
2004-03-28,48,0,5,0,24,False
2004-03-29,57,1,1,0,28,False
2004-03-30,45,0,3,1,32,False
2004-03-31,64,0,0,0,25,False
2004-04-01,40,0,1,0,25,False
2004-04-02,55,0,2,0,19,False
2004-04-03,43,0,0,0,25,False
2004-04-04,60,0,0,0,17,False
2004-04-05,54,2,2,0,28,False
2004-04-06,45,0,1,0,22,False
2004-04-07,57,0,1,0,31,False
2004-04-08,51,0,2,0,22,False
