date,profit,profitable,prosper,prosperity
2004-01-01,42.6826153102,0.0,7.88154418969,0.0
2004-01-02,68.2921844963,28.5681673086,2.95557907113,10.1232101232
2004-01-03,51.2191383722,0.0,0.0,0.0
2004-01-04,34.1460922481,38.0908897448,0.0,0.0
2004-01-05,25.6095691861,0.0,0.0,0.0
2004-01-06,82.519722933,28.5681673086,0.0,10.1232101232
2004-01-07,64.0239229653,47.613612181,0.0,0.0
2004-01-08,71.1376921836,19.0454448724,0.0,0.0
2004-01-09,79.6742152457,19.0454448724,4.92596511856,8.43600843601
2004-01-10,48.3736306849,104.749946798,3.94077209485,6.74880674881
2004-01-11,61.1784152779,0.0,3.94077209485,0.0
2004-01-12,142.275384367,47.613612181,4.92596511856,15.1848151848
2004-01-13,99.5927690571,85.7045019258,1.97038604742,11.8104118104
2004-01-14,76.8287075583,47.613612181,1.97038604742,11.8104118104
2004-01-15,59.7556614342,47.613612181,1.97038604742,3.3744033744
2004-01-16,62.6011691216,0.0,1.97038604742,8.43600843601
2004-01-17,54.0646460596,0.0,0.0,13.4976134976
2004-01-18,32.7233384045,76.1817794896,0.0,0.0
2004-01-19,76.8287075583,76.1817794896,4.92596511856,5.06160506161
2004-01-20,76.8287075583,38.0908897448,0.0,6.74880674881
2004-01-21,76.8287075583,19.0454448724,0.0,15.1848151848
2004-01-22,69.7149383399,19.0454448724,0.0,15.1848151848
2004-01-23,71.1376921836,19.0454448724,1.97038604742,3.3744033744
2004-01-24,31.3005845608,0.0,0.0,0.0
2004-01-25,39.8371076228,0.0,0.0,0.0
2004-01-26,72.5604460273,38.0908897448,6.89635116598,3.3744033744
2004-01-27,71.1376921836,19.0454448724,3.94077209485,25.308025308
2004-01-28,91.056245995,19.0454448724,6.89635116598,6.74880674881
2004-01-29,73.983199871,0.0,1.97038604742,26.9952269952
2004-01-30,71.1376921836,47.613612181,0.0,3.3744033744
2004-01-31,61.1784152779,38.0908897448,3.94077209485,6.74880674881
2004-02-01,72.5604460273,66.6590570534,6.89635116598,6.74880674881
2004-02-02,89.6334921514,38.0908897448,0.0,0.0
2004-02-03,66.8694306526,19.0454448724,3.94077209485,10.1232101232
2004-02-04,95.324507526,0.0,0.0,16.872016872
