date,inexpensive,inherit,invaluable,legal,lucrative,isPartial
2009-04-28,5,1,1,59,0,False
2009-04-29,6,1,0,56,0,False
2009-04-30,5,1,0,59,0,False
2009-05-01,5,1,0,54,0,False
2009-05-02,7,0,0,45,0,False
2009-05-03,8,1,0,48,0,False
2009-05-04,6,1,1,60,0,False
2009-05-05,6,1,0,64,0,False
2009-05-06,7,1,0,67,0,False
2009-05-07,7,1,0,61,0,False
2009-05-08,7,1,0,55,1,False
2009-05-09,7,1,0,46,0,False
2009-05-10,6,0,0,43,0,False
2009-05-11,6,1,0,62,0,False
2009-05-12,6,1,0,58,0,False
2009-05-13,6,1,0,68,0,False
2009-05-14,6,1,0,60,0,False
2009-05-15,6,2,0,57,0,False
2009-05-16,6,1,0,41,1,False
2009-05-17,8,1,0,51,0,False
2009-05-18,5,1,0,60,0,False
2009-05-19,8,1,0,52,0,False
2009-05-20,7,2,1,52,0,False
2009-05-21,6,1,0,57,0,False
2009-05-22,6,1,0,53,0,False
2009-05-23,8,0,1,40,1,False
2009-05-24,6,1,0,45,0,False
2009-05-25,7,0,0,45,0,False
2009-05-26,7,1,0,59,0,False
2009-05-27,6,1,0,62,0,False
2009-05-28,7,1,0,70,0,False
2009-05-29,7,1,0,54,0,False
2009-05-30,6,0,0,47,0,False
2009-05-31,5,1,0,44,0,False
2009-06-01,7,1,0,61,1,False
2009-06-02,7,1,0,60,0,False
2009-06-03,8,1,0,55,0,False
2009-06-04,7,1,0,59,0,False
2009-06-05,5,2,0,57,0,False
2009-06-06,6,0,0,43,0,False
2009-06-07,6,1,0,43,0,False
2009-06-08,6,1,0,58,0,False
2009-06-09,8,1,0,59,0,False
2009-06-10,7,1,0,60,0,False
2009-06-11,6,1,0,56,0,False
2009-06-12,6,1,0,56,1,False
2009-06-13,5,0,0,42,0,False
2009-06-14,7,1,0,44,1,False
2009-06-15,7,1,0,59,0,False
2009-06-16,6,1,0,66,0,False
2009-06-17,6,1,0,64,0,False
2009-06-18,6,1,0,63,0,False
2009-06-19,5,1,0,54,0,False
2009-06-20,6,1,0,47,0,False
2009-06-21,7,0,0,43,1,False
2009-06-22,7,1,0,62,1,False
2009-06-23,7,0,0,65,0,False
2009-06-24,6,1,0,60,0,False
2009-06-25,6,1,0,54,1,False
2009-06-26,4,1,0,50,0,False
2009-06-27,8,1,0,48,0,False
2009-06-28,7,1,0,42,0,False
2009-06-29,6,0,0,60,0,False
2009-06-30,7,1,0,59,0,False
2009-07-01,6,0,0,60,0,False
2009-07-02,6,0,0,59,1,False
2009-07-03,7,1,0,48,0,False
2009-07-04,6,0,0,49,0,False
2009-07-05,8,0,0,50,1,False
2009-07-06,8,1,0,62,0,False
2009-07-07,6,1,0,61,0,False
2009-07-08,7,1,0,62,0,False
2009-07-09,8,0,0,58,0,False
2009-07-10,7,1,0,51,0,False
2009-07-11,7,1,0,46,0,False
2009-07-12,9,1,0,51,0,False
2009-07-13,8,1,0,56,0,False
2009-07-14,7,1,0,63,0,False
2009-07-15,7,1,0,65,0,False
2009-07-16,8,1,0,60,0,False
2009-07-17,6,1,0,55,0,False
2009-07-18,6,0,0,41,1,False
2009-07-19,6,0,0,46,0,False
2009-07-20,7,1,1,65,0,False
2009-07-21,7,1,1,59,0,False
2009-07-22,8,1,0,63,1,False
2009-07-23,7,1,1,58,0,False
2009-07-24,6,1,0,54,0,False
2009-07-25,6,1,1,44,1,False
2009-07-26,7,1,1,45,0,False
2009-07-27,7,1,0,61,1,False
2009-07-28,5,1,0,67,0,False
2009-07-29,7,1,1,57,0,False
2009-07-30,6,1,1,61,1,False
2009-07-31,7,0,0,60,0,False
2009-08-01,6,1,0,45,1,False
2009-08-02,8,0,0,47,0,False
2009-08-03,8,1,0,60,0,False
2009-08-04,7,1,1,61,0,False
2009-08-05,7,1,0,56,0,False
2009-08-06,6,1,1,61,0,False
2009-08-07,7,1,0,58,0,False
2009-08-08,5,0,0,42,0,False
2009-08-09,8,1,0,42,0,False
