date,charity,community,compensate,compensation,contribute,isPartial
2017-03-19,5,60,0,3,2,False
2017-03-20,6,92,0,7,3,False
2017-03-21,6,87,0,7,4,False
2017-03-22,6,86,0,7,3,False
2017-03-23,6,86,0,7,4,False
2017-03-24,5,76,0,6,3,False
2017-03-25,4,59,0,3,1,False
2017-03-26,5,56,0,4,2,False
2017-03-27,5,90,0,6,3,False
2017-03-28,6,90,0,7,4,False
2017-03-29,6,91,0,7,3,False
2017-03-30,6,88,0,6,3,False
2017-03-31,6,81,0,6,3,False
2017-04-01,5,61,0,4,2,False
2017-04-02,5,59,0,4,2,False
2017-04-03,6,93,0,6,3,False
2017-04-04,6,92,0,7,3,False
2017-04-05,6,88,0,7,3,False
2017-04-06,6,87,0,7,3,False
2017-04-07,5,81,0,6,3,False
2017-04-08,5,60,0,3,2,False
2017-04-09,5,60,0,3,2,False
2017-04-10,6,94,0,7,4,False
2017-04-11,5,92,0,8,3,False
2017-04-12,6,87,0,6,3,False
2017-04-13,5,87,0,8,3,False
2017-04-14,5,77,0,5,3,False
2017-04-15,4,59,0,3,2,False
2017-04-16,4,58,0,3,2,False
2017-04-17,6,89,0,7,4,False
2017-04-18,6,92,0,7,4,False
2017-04-19,5,87,0,7,3,False
2017-04-20,5,86,0,6,3,False
2017-04-21,5,82,0,6,3,False
2017-04-22,5,58,0,3,1,False
2017-04-23,4,60,0,4,2,False
2017-04-24,6,95,1,6,3,False
2017-04-25,5,95,0,7,3,False
2017-04-26,6,91,0,7,3,False
2017-04-27,5,85,0,7,4,False
2017-04-28,5,81,0,6,3,False
2017-04-29,4,63,0,3,1,False
2017-04-30,5,62,0,4,2,False
2017-05-01,5,92,0,6,3,False
2017-05-02,6,91,0,7,3,False
2017-05-03,6,92,0,7,3,False
2017-05-04,6,87,0,6,3,False
2017-05-05,5,84,0,6,3,False
2017-05-06,4,61,0,3,1,False
2017-05-07,4,58,0,4,2,False
2017-05-08,5,95,0,6,3,False
2017-05-09,6,96,0,7,3,False
2017-05-10,6,87,0,6,3,False
2017-05-11,6,86,0,6,3,False
2017-05-12,5,85,0,5,3,False
2017-05-13,4,60,0,3,1,False
2017-05-14,4,51,0,3,2,False
2017-05-15,6,93,0,5,2,False
2017-05-16,5,92,0,6,3,False
2017-05-17,5,84,0,6,3,False
2017-05-18,6,81,0,6,2,False
2017-05-19,5,81,0,6,2,False
2017-05-20,4,61,0,3,1,False
2017-05-21,4,57,0,3,1,False
2017-05-22,5,85,0,6,2,False
2017-05-23,5,85,0,6,2,False
2017-05-24,5,83,0,6,2,False
2017-05-25,5,82,0,6,2,False
2017-05-26,5,75,0,5,1,False
2017-05-27,4,53,0,3,1,False
2017-05-28,3,50,0,2,1,False
2017-05-29,4,56,0,3,1,False
2017-05-30,5,89,0,6,2,False
2017-05-31,5,88,0,7,2,False
2017-06-01,5,83,0,6,2,False
