date,cost,crisis,deficit,depreciation,domination,isPartial
2008-11-13,82,15,3,2,1,False
2008-11-14,76,14,3,2,0,False
2008-11-15,70,11,2,1,2,False
2008-11-16,73,14,3,1,1,False
2008-11-17,88,14,3,2,1,False
2008-11-18,88,16,3,2,1,False
2008-11-19,86,16,3,2,2,False
2008-11-20,82,17,3,2,1,False
2008-11-21,80,15,3,1,2,False
2008-11-22,69,12,2,1,1,False
2008-11-23,76,15,1,1,2,False
2008-11-24,86,18,3,2,2,False
2008-11-25,78,17,3,1,1,False
2008-11-26,68,13,3,1,2,False
2008-11-27,56,10,2,1,1,False
2008-11-28,61,12,2,1,1,False
2008-11-29,68,12,2,1,2,False
2008-11-30,76,13,2,1,1,False
2008-12-01,82,16,3,2,1,False
2008-12-02,85,16,2,2,1,False
2008-12-03,87,14,2,2,1,False
2008-12-04,90,16,3,2,2,False
2008-12-05,84,15,3,2,1,False
2008-12-06,71,12,1,1,1,False
2008-12-07,76,13,2,2,1,False
2008-12-08,89,16,3,2,2,False
2008-12-09,84,14,3,2,1,False
2008-12-10,84,17,2,2,1,False
2008-12-11,82,15,3,2,1,False
2008-12-12,77,15,3,1,1,False
2008-12-13,65,8,2,1,1,False
2008-12-14,71,12,2,1,1,False
2008-12-15,79,14,2,2,1,False
2008-12-16,76,14,1,1,2,False
2008-12-17,80,14,2,2,1,False
2008-12-18,74,13,2,1,1,False
2008-12-19,64,11,1,1,1,False
2008-12-20,58,8,2,1,2,False
2008-12-21,67,9,1,1,2,False
2008-12-22,72,9,1,1,1,False
2008-12-23,62,9,1,1,1,False
2008-12-24,58,9,1,1,2,False
2008-12-25,48,7,1,0,1,False
2008-12-26,65,9,1,0,1,False
2008-12-27,64,8,2,0,2,False
2008-12-28,64,8,2,1,2,False
2008-12-29,76,9,1,2,1,False
2008-12-30,73,10,2,2,1,False
2008-12-31,74,10,1,1,2,False
2009-01-01,64,8,1,1,2,False
2009-01-02,77,9,1,1,2,False
2009-01-03,73,10,2,1,2,False
2009-01-04,70,9,1,0,1,False
2009-01-05,80,12,2,1,1,False
2009-01-06,86,11,3,1,1,False
2009-01-07,85,12,3,1,1,False
2009-01-08,82,13,3,2,1,False
2009-01-09,83,13,3,1,1,False
2009-01-10,74,9,2,1,2,False
2009-01-11,75,10,2,0,1,False
2009-01-12,90,13,3,1,1,False
2009-01-13,81,13,3,1,1,False
2009-01-14,85,13,2,2,2,False
2009-01-15,87,15,2,2,2,False
2009-01-16,85,12,2,2,1,False
2009-01-17,77,10,2,2,2,False
2009-01-18,80,9,2,1,1,False
2009-01-19,89,11,2,2,2,False
2009-01-20,86,13,2,1,1,False
2009-01-21,91,12,2,2,1,False
2009-01-22,87,14,3,2,1,False
2009-01-23,84,11,3,2,1,False
2009-01-24,74,11,1,1,1,False
2009-01-25,80,11,3,1,3,False
2009-01-26,91,14,2,2,1,False
2009-01-27,86,13,2,2,1,False
2009-01-28,82,13,3,1,1,False
2009-01-29,86,15,3,2,1,False
2009-01-30,82,14,3,2,1,False
2009-01-31,71,12,1,2,1,False
2009-02-01,76,13,2,2,1,False
2009-02-02,91,13,3,2,1,False
2009-02-03,86,14,2,2,2,False
2009-02-04,86,14,3,2,1,False
2009-02-05,83,13,3,2,1,False
2009-02-06,78,12,3,2,1,False
2009-02-07,77,12,2,2,1,False
2009-02-08,86,13,3,1,2,False
2009-02-09,89,14,3,2,1,False
2009-02-10,85,14,4,2,1,False
2009-02-11,88,14,3,2,1,False
2009-02-12,85,15,2,2,1,False
2009-02-13,76,13,3,2,1,False
2009-02-14,69,9,2,2,1,False
2009-02-15,77,11,4,1,2,False
2009-02-16,91,14,3,3,1,False
2009-02-17,95,16,4,2,1,False
2009-02-18,86,15,3,2,1,False
2009-02-19,87,16,3,1,1,False
2009-02-20,81,15,3,2,1,False
2009-02-21,73,13,2,3,1,False
2009-02-22,87,16,5,2,2,False
2009-02-23,90,16,5,4,1,False
2009-02-24,89,15,4,3,1,False
2009-02-25,92,17,5,3,1,False
2009-02-26,90,15,6,3,1,False
2009-02-27,86,16,5,2,1,False
2009-02-28,72,10,3,2,2,False
2009-03-01,78,12,2,2,1,False
2009-03-02,89,15,3,2,1,False
2009-03-03,89,15,4,2,1,False
2009-03-04,94,16,3,3,1,False
2009-03-05,95,17,3,2,1,False
2009-03-06,82,15,2,2,1,False
2009-03-07,81,9,2,3,1,False
2009-03-08,90,13,2,2,1,False
2009-03-09,93,15,3,2,1,False
2009-03-10,89,15,3,2,1,False
2009-03-11,88,15,3,2,1,False
2009-03-12,86,14,2,2,1,False
2009-03-13,76,14,2,3,1,False
2009-03-14,77,9,2,3,2,False
2009-03-15,83,15,3,2,1,False
2009-03-16,88,14,2,2,1,False
2009-03-17,92,16,3,2,1,False
2009-03-18,87,13,2,2,1,False
2009-03-19,86,13,2,2,1,False
2009-03-20,85,13,3,2,1,False
2009-03-21,80,9,3,2,2,False
2009-03-22,85,13,3,2,2,False
2009-03-23,98,13,3,2,2,False
2009-03-24,91,13,2,3,1,False
2009-03-25,91,16,5,2,1,False
2009-03-26,90,15,3,2,1,False
2009-03-27,84,12,2,2,2,False
2009-03-28,79,10,1,2,2,False
2009-03-29,81,13,2,2,2,False
2009-03-30,97,13,2,2,1,False
2009-03-31,94,13,2,2,1,False
2009-04-01,93,15,2,2,1,False
2009-04-02,90,15,2,2,1,False
2009-04-03,82,14,3,2,1,False
2009-04-04,80,10,2,3,2,False
2009-04-05,90,13,2,3,1,False
2009-04-06,97,12,2,2,1,False
2009-04-07,91,13,3,3,2,False
2009-04-08,87,14,2,3,1,False
2009-04-09,88,12,3,3,1,False
2009-04-10,87,11,2,2,2,False
2009-04-11,80,12,2,2,1,False
2009-04-12,75,11,2,3,1,False
2009-04-13,100,12,2,3,1,False
2009-04-14,96,13,2,3,1,False
2009-04-15,99,15,3,3,1,False
2009-04-16,90,13,3,2,1,False
2009-04-17,86,11,3,1,1,False
2009-04-18,84,10,3,1,2,False
2009-04-19,89,14,3,2,2,False
2009-04-20,98,14,3,2,1,False
2009-04-21,89,15,3,2,1,False
2009-04-22,95,16,3,2,1,False
2009-04-23,93,15,3,2,1,False
2009-04-24,91,12,2,2,1,False
2009-04-25,79,9,3,1,2,False
2009-04-26,88,13,3,1,2,False
2009-04-27,96,15,3,2,1,False
2009-04-28,93,13,3,2,1,False
2009-04-29,96,15,2,2,1,False
2009-04-30,89,16,3,1,1,False
2009-05-01,86,11,3,1,1,False
2009-05-02,79,10,2,1,1,False
2009-05-03,85,12,1,1,2,False
2009-05-04,94,15,3,2,1,False
2009-05-05,94,14,2,1,1,False
2009-05-06,90,14,3,2,1,False
2009-05-07,88,13,3,1,1,False
2009-05-08,88,11,2,2,1,False
2009-05-09,82,9,2,1,2,False
2009-05-10,77,11,2,1,2,False
2009-05-11,100,12,2,2,2,False
2009-05-12,92,13,4,2,1,False
2009-05-13,94,12,1,2,1,False
2009-05-14,89,12,3,2,1,False
2009-05-15,82,11,2,1,1,False
2009-05-16,75,9,1,1,2,False
