date,endow,entrepreneurial,equity,fellowship,frugal,isPartial
2006-02-01,0,2,68,54,6,False
2006-02-02,0,1,71,46,3,False
2006-02-03,0,3,58,54,5,False
2006-02-04,0,1,40,34,4,False
2006-02-05,0,1,45,50,4,False
2006-02-06,0,2,84,58,2,False
2006-02-07,0,2,80,56,2,False
2006-02-08,0,2,79,52,5,False
2006-02-09,2,2,64,42,3,False
2006-02-10,0,2,59,44,3,False
2006-02-11,0,0,42,45,4,False
2006-02-12,0,0,37,71,2,False
2006-02-13,1,1,59,37,4,False
2006-02-14,0,3,63,43,7,False
2006-02-15,0,1,65,43,6,False
2006-02-16,0,2,57,46,2,False
2006-02-17,0,2,58,36,2,False
2006-02-18,0,0,49,43,5,False
2006-02-19,0,3,52,58,6,False
2006-02-20,0,2,67,46,7,False
2006-02-21,0,0,64,50,3,False
2006-02-22,0,5,71,44,5,False
2006-02-23,0,1,58,44,3,False
2006-02-24,0,0,75,51,4,False
2006-02-25,0,0,55,55,1,False
2006-02-26,0,0,53,53,6,False
2006-02-27,0,2,59,47,4,False
2006-02-28,0,3,67,57,2,False
2006-03-01,0,3,61,45,4,False
2006-03-02,0,2,75,57,5,False
2006-03-03,0,0,62,42,2,False
2006-03-04,0,1,49,44,4,False
2006-03-05,0,2,51,38,2,False
2006-03-06,0,2,69,43,3,False
2006-03-07,0,3,79,44,3,False
2006-03-08,0,2,65,47,2,False
2006-03-09,0,2,64,42,8,False
2006-03-10,1,2,70,41,3,False
2006-03-11,0,1,30,40,2,False
2006-03-12,0,2,48,51,5,False
2006-03-13,0,1,64,58,6,False
2006-03-14,0,1,67,45,7,False
2006-03-15,0,5,66,55,5,False
2006-03-16,0,3,78,37,6,False
2006-03-17,0,3,66,45,10,False
2006-03-18,0,0,53,27,5,False
2006-03-19,0,2,36,63,8,False
2006-03-20,0,1,62,53,8,False
2006-03-21,0,2,86,53,5,False
2006-03-22,0,2,69,50,5,False
2006-03-23,0,1,70,37,8,False
2006-03-24,0,2,74,47,3,False
2006-03-25,0,0,44,48,5,False
2006-03-26,0,2,53,52,5,False
2006-03-27,0,3,80,46,4,False
2006-03-28,0,1,78,50,4,False
2006-03-29,0,2,82,49,7,False
2006-03-30,0,1,65,43,6,False
2006-03-31,0,0,63,51,5,False
2006-04-01,0,0,29,54,6,False
2006-04-02,0,0,43,53,5,False
2006-04-03,0,2,77,50,2,False
2006-04-04,0,1,77,42,6,False
2006-04-05,0,3,85,50,2,False
2006-04-06,0,2,76,54,4,False
2006-04-07,1,2,64,38,2,False
2006-04-08,0,1,40,42,10,False
2006-04-09,0,0,45,39,6,False
2006-04-10,0,5,75,50,4,False
2006-04-11,0,0,79,53,5,False
2006-04-12,0,0,76,51,5,False
2006-04-13,1,0,77,53,3,False
2006-04-14,0,0,63,63,14,False
2006-04-15,0,0,43,54,1,False
2006-04-16,0,1,49,71,8,False
2006-04-17,0,2,78,54,2,False
2006-04-18,0,1,76,40,4,False
2006-04-19,1,1,73,46,7,False
2006-04-20,0,2,80,40,2,False
2006-04-21,0,0,56,44,4,False
2006-04-22,1,0,41,57,6,False
2006-04-23,0,0,49,58,10,False
2006-04-24,0,2,100,55,4,False
2006-04-25,1,1,82,51,5,False
2006-04-26,0,2,74,41,3,False
2006-04-27,0,2,86,49,4,False
2006-04-28,1,2,68,42,2,False
2006-04-29,0,1,41,45,6,False
2006-04-30,0,0,52,52,6,False
2006-05-01,1,1,69,45,4,False
2006-05-02,1,1,75,42,6,False
2006-05-03,0,1,76,49,4,False
2006-05-04,0,3,66,34,2,False
2006-05-05,0,0,58,41,2,False
2006-05-06,0,0,38,26,9,False
2006-05-07,0,1,60,40,4,False
2006-05-08,0,1,65,46,3,False
2006-05-09,0,1,89,43,3,False
2006-05-10,1,0,65,38,4,False
2006-05-11,0,1,61,41,6,False
2006-05-12,0,1,55,29,2,False
2006-05-13,0,1,47,27,4,False
2006-05-14,0,0,45,43,8,False
2006-05-15,0,0,83,50,3,False
2006-05-16,0,1,74,41,4,False
2006-05-17,0,1,68,51,7,False
2006-05-18,0,3,70,40,7,False
2006-05-19,0,1,62,37,4,False
2006-05-20,0,1,38,25,6,False
2006-05-21,0,0,40,47,1,False
2006-05-22,0,2,73,37,4,False
2006-05-23,0,2,71,33,6,False
2006-05-24,0,2,69,37,4,False
2006-05-25,0,2,62,39,3,False
2006-05-26,0,3,67,44,11,False
2006-05-27,0,0,44,37,3,False
2006-05-28,0,0,38,61,4,False
2006-05-29,0,0,38,40,1,False
2006-05-30,1,4,81,38,6,False
2006-05-31,1,1,67,48,3,False
2006-06-01,0,1,77,47,4,False
2006-06-02,0,0,65,35,6,False
2006-06-03,0,0,43,28,2,False
2006-06-04,0,0,31,39,3,False
2006-06-05,0,1,67,43,6,False
2006-06-06,0,1,66,44,5,False
2006-06-07,0,4,72,47,4,False
2006-06-08,0,1,60,41,4,False
2006-06-09,0,1,59,50,8,False
2006-06-10,0,0,43,31,4,False
2006-06-11,1,1,54,46,3,False
2006-06-12,0,0,51,45,3,False
2006-06-13,0,1,71,35,8,False
2006-06-14,0,1,69,53,6,False
2006-06-15,0,1,67,37,6,False
2006-06-16,0,1,68,36,5,False
2006-06-17,0,1,40,42,3,False
2006-06-18,0,0,35,49,8,False
2006-06-19,0,2,77,48,3,False
2006-06-20,1,1,84,45,4,False
2006-06-21,1,1,91,48,4,False
2006-06-22,0,1,66,44,6,False
2006-06-23,0,0,59,39,3,False
2006-06-24,0,1,39,30,2,False
2006-06-25,0,0,44,56,2,False
2006-06-26,1,1,64,45,8,False
2006-06-27,0,4,75,39,3,False
2006-06-28,0,1,70,35,7,False
2006-06-29,0,1,66,39,4,False
2006-06-30,0,1,60,33,6,False
2006-07-01,0,3,39,50,1,False
2006-07-02,0,1,26,55,4,False
2006-07-03,0,1,51,43,9,False
2006-07-04,0,0,43,42,9,False
2006-07-05,0,1,70,43,6,False
2006-07-06,0,1,71,39,7,False
2006-07-07,0,2,61,42,7,False
2006-07-08,0,0,40,55,5,False
2006-07-09,0,1,41,49,6,False
2006-07-10,0,1,84,40,5,False
2006-07-11,0,2,75,50,5,False
2006-07-12,0,1,75,44,4,False
2006-07-13,0,0,67,42,4,False
2006-07-14,0,1,63,40,7,False
2006-07-15,0,0,56,43,4,False
2006-07-16,0,1,37,73,7,False
2006-07-17,0,0,69,36,3,False
2006-07-18,0,0,69,48,4,False
2006-07-19,2,2,84,36,7,False
2006-07-20,0,2,70,41,4,False
2006-07-21,0,2,59,42,8,False
2006-07-22,0,0,41,28,7,False
2006-07-23,0,1,51,57,8,False
2006-07-24,0,2,71,43,5,False
2006-07-25,1,2,98,37,5,False
2006-07-26,1,1,71,52,4,False
2006-07-27,0,2,64,33,2,False
2006-07-28,0,0,63,36,6,False
2006-07-29,1,0,41,40,1,False
2006-07-30,0,0,41,63,2,False
2006-07-31,0,1,75,41,5,False
2006-08-01,1,2,87,38,7,False
2006-08-02,0,0,74,47,4,False
2006-08-03,1,1,71,43,4,False
2006-08-04,1,1,55,45,3,False
2006-08-05,0,1,41,50,11,False
2006-08-06,0,0,39,62,2,False
2006-08-07,0,1,70,39,8,False
2006-08-08,0,1,77,33,3,False
2006-08-09,0,0,70,51,4,False
2006-08-10,0,1,69,48,2,False
2006-08-11,0,2,60,42,6,False
2006-08-12,0,0,29,44,5,False
2006-08-13,0,0,20,74,10,False
2006-08-14,0,0,68,40,10,False
2006-08-15,1,0,76,47,5,False
2006-08-16,0,1,82,47,5,False
2006-08-17,0,2,80,42,6,False
2006-08-18,0,0,54,51,7,False
2006-08-19,0,2,39,39,1,False
2006-08-20,0,1,39,68,6,False
2006-08-21,1,1,59,56,7,False
2006-08-22,0,3,60,45,7,False
2006-08-23,1,2,64,49,8,False
2006-08-24,0,1,71,43,8,False
2006-08-25,0,2,64,39,5,False
2006-08-26,0,0,36,44,7,False
2006-08-27,0,0,48,51,12,False
2006-08-28,0,2,71,50,8,False
2006-08-29,1,2,80,38,3,False
2006-08-30,0,1,61,52,5,False
2006-08-31,0,2,56,39,7,False
2006-09-01,0,1,57,43,6,False
2006-09-02,0,1,35,45,8,False
2006-09-03,0,1,29,49,11,False
2006-09-04,0,0,34,44,6,False
2006-09-05,0,1,68,42,7,False
2006-09-06,0,0,62,50,3,False
2006-09-07,0,2,72,44,6,False
2006-09-08,0,1,61,50,1,False
2006-09-09,0,0,35,37,5,False
