date,hustle,hustler,inflation,jobless,laid,isPartial
2005-02-25,10,22,20,0,10,False
2005-02-26,18,31,31,0,6,False
2005-02-27,13,23,23,0,7,False
2005-02-28,8,23,26,0,10,False
2005-03-01,8,24,27,1,11,False
2005-03-02,7,22,22,0,13,False
2005-03-03,9,24,25,0,15,False
2005-03-04,12,23,17,2,9,False
2005-03-05,5,42,16,2,9,False
2005-03-06,19,44,26,0,19,False
2005-03-07,8,25,35,1,6,False
2005-03-08,12,16,24,0,15,False
2005-03-09,15,18,17,0,10,False
2005-03-10,6,28,34,0,10,False
2005-03-11,13,31,34,0,13,False
2005-03-12,16,30,21,0,9,False
2005-03-13,11,25,14,0,14,False
2005-03-14,8,28,17,0,15,False
2005-03-15,4,23,19,0,4,False
2005-03-16,12,19,27,0,7,False
2005-03-17,7,27,29,1,10,False
2005-03-18,4,18,24,0,9,False
2005-03-19,9,37,32,0,11,False
2005-03-20,14,26,24,2,7,False
2005-03-21,11,25,25,0,8,False
2005-03-22,12,39,30,1,10,False
2005-03-23,19,25,40,4,14,False
2005-03-24,16,26,28,3,7,False
2005-03-25,21,31,24,0,9,False
2005-03-26,20,25,15,0,27,False
2005-03-27,19,42,22,0,22,False
2005-03-28,22,23,23,0,17,False
2005-03-29,15,22,32,0,10,False
2005-03-30,13,20,24,3,14,False
2005-03-31,10,21,33,3,7,False
2005-04-01,14,26,29,0,11,False
2005-04-02,30,44,16,2,14,False
2005-04-03,25,51,38,0,11,False
2005-04-04,40,34,23,6,29,False
2005-04-05,0,0,0,0,0,True
2005-04-06,30,17,19,6,4,False
2005-04-07,22,21,38,1,6,False
2005-04-08,40,38,17,0,12,False
2005-04-09,47,37,37,2,7,False
2005-04-10,39,27,22,0,19,False
2005-04-11,23,26,31,0,16,False
2005-04-12,25,17,46,0,8,False
2005-04-13,33,28,31,0,12,False
2005-04-14,20,20,32,1,6,False
2005-04-15,27,18,28,0,13,False
2005-04-16,32,27,32,0,22,False
2005-04-17,32,32,24,0,15,False
2005-04-18,30,23,30,0,4,False
2005-04-19,32,27,27,0,12,False
2005-04-20,23,29,45,1,10,False
2005-04-21,29,27,29,0,9,False
2005-04-22,51,31,28,1,15,False
2005-04-23,100,66,16,0,16,False
2005-04-24,70,40,22,0,7,False
2005-04-25,60,18,26,0,7,False
2005-04-26,31,29,27,0,10,False
2005-04-27,45,24,24,1,17,False
2005-04-28,33,27,35,0,11,False
2005-04-29,34,23,27,0,9,False
2005-04-30,68,24,35,0,13,False
2005-05-01,45,24,19,0,15,False
2005-05-02,34,24,37,0,9,False
2005-05-03,32,23,33,0,18,False
2005-05-04,21,27,19,1,14,False
2005-05-05,20,26,25,3,11,False
2005-05-06,20,17,24,1,13,False
2005-05-07,29,32,29,0,15,False
2005-05-08,10,41,31,0,22,False
2005-05-09,12,18,33,1,5,False
2005-05-10,18,28,23,0,6,False
2005-05-11,16,26,21,1,10,False
2005-05-12,24,24,40,0,11,False
2005-05-13,17,27,30,0,14,False
2005-05-14,33,49,21,0,9,False
2005-05-15,29,31,20,2,9,False
2005-05-16,18,28,18,0,8,False
2005-05-17,9,15,23,0,9,False
2005-05-18,12,26,24,0,9,False
2005-05-19,13,23,20,0,13,False
2005-05-20,15,25,20,1,10,False
2005-05-21,10,38,21,0,17,False
2005-05-22,16,33,14,0,23,False
2005-05-23,9,22,25,0,9,False
2005-05-24,13,24,14,0,5,False
2005-05-25,13,23,29,1,9,False
2005-05-26,8,29,21,0,8,False
2005-05-27,9,29,21,0,12,False
2005-05-28,15,25,10,0,5,False
2005-05-29,21,47,18,0,16,False
2005-05-30,17,44,33,0,7,False
2005-05-31,9,26,24,0,11,False
2005-06-01,12,17,22,0,5,False
2005-06-02,4,24,21,0,11,False
2005-06-03,14,17,23,1,22,False
2005-06-04,11,37,18,0,25,False
2005-06-05,19,61,21,0,19,False
2005-06-06,5,25,19,0,5,False
2005-06-07,7,19,26,0,8,False
