date,expense,expensive,fine,ghetto,intervention,isPartial
2013-01-15,13,44,79,38,14,False
2013-01-16,12,43,74,40,16,False
2013-01-17,14,42,79,36,16,False
2013-01-18,13,38,80,43,15,False
2013-01-19,9,42,77,39,10,False
2013-01-20,9,55,76,42,11,False
2013-01-21,15,46,81,36,14,False
2013-01-22,16,44,71,37,23,False
2013-01-23,15,48,74,35,19,False
2013-01-24,13,44,88,41,17,False
2013-01-25,12,45,79,40,17,False
2013-01-26,11,47,78,40,9,False
2013-01-27,11,52,74,43,11,False
2013-01-28,18,45,78,34,17,False
2013-01-29,16,47,78,37,23,False
2013-01-30,18,43,79,38,20,False
2013-01-31,17,45,86,36,16,False
2013-02-01,14,43,81,37,15,False
2013-02-02,13,39,76,40,9,False
2013-02-03,15,43,65,46,12,False
2013-02-04,19,44,67,32,16,False
2013-02-05,17,42,80,34,25,False
2013-02-06,21,42,87,39,21,False
2013-02-07,19,42,75,43,17,False
2013-02-08,14,43,82,33,16,False
2013-02-09,11,44,84,41,14,False
2013-02-10,15,49,88,37,12,False
2013-02-11,16,45,84,37,19,False
2013-02-12,17,42,76,35,19,False
2013-02-13,17,42,80,37,18,False
2013-02-14,17,42,83,34,19,False
2013-02-15,15,44,81,35,14,False
2013-02-16,12,43,80,39,10,False
2013-02-17,11,49,75,41,13,False
2013-02-18,17,48,69,33,16,False
2013-02-19,20,48,69,40,19,False
2013-02-20,14,45,74,41,17,False
2013-02-21,17,45,79,38,18,False
2013-02-22,14,46,74,35,15,False
2013-02-23,12,47,79,42,13,False
2013-02-24,12,44,69,40,13,False
2013-02-25,14,40,72,38,18,False
2013-02-26,16,45,74,36,20,False
2013-02-27,15,41,74,39,21,False
2013-02-28,17,39,76,39,16,False
2013-03-01,13,41,78,38,18,False
2013-03-02,10,43,76,43,13,False
2013-03-03,14,50,79,41,16,False
2013-03-04,18,40,78,36,19,False
2013-03-05,16,41,77,39,18,False
2013-03-06,14,41,75,39,21,False
2013-03-07,15,44,73,40,18,False
2013-03-08,13,40,79,38,19,False
2013-03-09,12,47,77,47,12,False
2013-03-10,9,47,69,41,10,False
2013-03-11,18,40,70,38,15,False
2013-03-12,16,43,79,36,19,False
2013-03-13,14,40,78,41,19,False
2013-03-14,14,39,78,38,18,False
2013-03-15,14,42,77,35,15,False
2013-03-16,13,43,73,40,12,False
2013-03-17,12,38,75,41,12,False
2013-03-18,15,38,76,39,16,False
2013-03-19,16,46,77,35,18,False
2013-03-20,17,41,73,37,22,False
2013-03-21,15,44,72,37,16,False
2013-03-22,14,43,76,41,18,False
2013-03-23,11,45,87,42,11,False
2013-03-24,11,47,67,45,12,False
2013-03-25,14,44,76,34,17,False
2013-03-26,13,47,75,37,14,False
2013-03-27,15,43,79,43,16,False
2013-03-28,11,42,70,38,17,False
2013-03-29,12,44,76,44,11,False
2013-03-30,13,46,71,47,9,False
2013-03-31,10,51,68,40,10,False
2013-04-01,15,42,97,38,13,False
2013-04-02,17,40,100,38,19,False
2013-04-03,17,40,92,38,16,False
2013-04-04,14,42,97,37,19,False
2013-04-05,14,42,93,37,16,False
2013-04-06,9,49,93,44,12,False
2013-04-07,15,47,83,43,13,False
2013-04-08,19,45,91,37,17,False
2013-04-09,19,47,86,37,16,False
2013-04-10,18,43,84,37,16,False
2013-04-11,18,48,94,41,18,False
2013-04-12,15,45,83,40,17,False
2013-04-13,15,46,86,46,10,False
2013-04-14,20,52,88,44,15,False
2013-04-15,22,38,82,36,17,False
2013-04-16,16,40,77,37,18,False
2013-04-17,15,42,83,40,19,False
2013-04-18,13,43,86,38,21,False
2013-04-19,11,41,75,38,14,False
2013-04-20,8,42,84,45,10,False
2013-04-21,8,47,81,45,14,False
2013-04-22,13,46,77,36,19,False
2013-04-23,12,46,76,41,17,False
2013-04-24,14,49,80,39,18,False
2013-04-25,18,43,86,39,19,False
2013-04-26,12,49,83,40,17,False
2013-04-27,7,44,88,41,10,False
2013-04-28,8,52,86,43,14,False
2013-04-29,17,46,83,37,17,False
2013-04-30,17,48,79,38,17,False
2013-05-01,11,40,87,41,19,False
2013-05-02,14,40,79,42,18,False
2013-05-03,12,44,84,41,15,False
2013-05-04,6,42,90,47,13,False
2013-05-05,9,52,81,40,12,False
2013-05-06,14,39,83,37,18,False
2013-05-07,14,40,79,41,18,False
2013-05-08,14,44,82,38,20,False
2013-05-09,13,42,81,39,15,False
2013-05-10,12,45,83,38,15,False
2013-05-11,5,40,86,39,12,False
2013-05-12,8,46,78,41,11,False
2013-05-13,11,46,80,39,16,False
2013-05-14,14,48,84,36,17,False
2013-05-15,11,47,79,38,18,False
2013-05-16,13,45,79,38,15,False
2013-05-17,11,44,82,40,13,False
2013-05-18,6,48,88,41,10,False
2013-05-19,9,50,79,44,8,False
2013-05-20,10,41,85,45,14,False
2013-05-21,12,40,83,36,12,False
2013-05-22,10,44,79,37,17,False
2013-05-23,13,43,84,37,17,False
2013-05-24,9,43,85,40,21,False
2013-05-25,5,42,79,45,12,False
2013-05-26,6,47,83,39,12,False
2013-05-27,8,44,86,41,17,False
2013-05-28,9,44,78,38,17,False
2013-05-29,12,45,80,39,15,False
2013-05-30,10,41,83,35,15,False
2013-05-31,12,43,88,39,13,False
2013-06-01,5,48,85,46,11,False
2013-06-02,7,49,77,42,12,False
2013-06-03,11,45,82,36,18,False
2013-06-04,13,44,85,39,16,False
2013-06-05,10,42,81,39,17,False
2013-06-06,11,43,80,40,15,False
2013-06-07,9,42,83,41,16,False
2013-06-08,6,48,80,44,20,False
2013-06-09,7,51,79,39,12,False
2013-06-10,12,39,80,35,16,False
2013-06-11,11,49,79,36,18,False
2013-06-12,10,44,81,41,18,False
2013-06-13,11,45,78,36,18,False
2013-06-14,11,44,87,39,25,False
2013-06-15,5,50,81,44,13,False
2013-06-16,6,48,78,42,13,False
2013-06-17,12,44,79,40,16,False
2013-06-18,11,45,81,37,18,False
2013-06-19,12,42,80,39,15,False
2013-06-20,14,43,80,36,16,False
2013-06-21,11,40,75,38,21,False
2013-06-22,7,48,83,41,13,False
2013-06-23,8,46,77,42,14,False
2013-06-24,12,43,80,37,16,False
2013-06-25,14,42,75,36,13,False
2013-06-26,9,41,79,36,16,False
2013-06-27,10,39,75,37,15,False
2013-06-28,12,45,80,39,18,False
2013-06-29,7,42,76,40,13,False
2013-06-30,8,48,77,42,11,False
2013-07-01,11,41,81,38,15,False
2013-07-02,12,42,82,38,13,False
2013-07-03,10,43,79,38,11,False
2013-07-04,6,47,71,43,11,False
2013-07-05,8,42,77,39,9,False
2013-07-06,6,51,76,44,12,False
2013-07-07,6,43,78,42,10,False
2013-07-08,10,43,71,34,15,False
2013-07-09,13,41,88,43,14,False
2013-07-10,10,45,72,38,14,False
2013-07-11,10,47,79,41,17,False
2013-07-12,9,49,81,34,28,False
2013-07-13,7,50,79,41,16,False
2013-07-14,7,49,74,44,14,False
2013-07-15,13,45,76,43,16,False
2013-07-16,11,45,79,46,18,False
2013-07-17,11,44,76,45,17,False
2013-07-18,12,49,80,44,17,False
2013-07-19,10,46,77,42,26,False
2013-07-20,7,51,77,46,13,False
2013-07-21,8,50,81,44,15,False
