date,cost,crisis,deficit,depreciation,domination,isPartial
2005-05-23,98,11,4,1,5,False
2005-05-24,90,8,5,2,1,False
2005-05-25,93,12,5,2,2,False
2005-05-26,88,13,6,0,3,False
2005-05-27,86,9,4,1,3,False
2005-05-28,65,10,5,3,7,False
2005-05-29,85,7,5,1,4,False
2005-05-30,84,8,4,1,3,False
2005-05-31,93,14,4,1,3,False
2005-06-01,89,11,5,2,3,False
2005-06-02,90,9,3,3,2,False
2005-06-03,82,10,2,2,3,False
2005-06-04,72,9,4,4,4,False
2005-06-05,72,10,3,2,4,False
2005-06-06,100,10,5,1,3,False
2005-06-07,93,9,4,3,4,False
2005-06-08,94,10,2,3,4,False
2005-06-09,92,11,5,2,3,False
2005-06-10,80,11,3,1,3,False
2005-06-11,91,6,2,1,6,False
2005-06-12,80,6,5,0,2,False
2005-06-13,92,12,3,2,2,False
2005-06-14,94,11,1,1,3,False
2005-06-15,91,10,3,3,2,False
2005-06-16,83,8,2,1,2,False
2005-06-17,82,5,3,2,3,False
2005-06-18,86,7,1,2,3,False
2005-06-19,85,11,5,1,5,False
2005-06-20,92,12,4,2,2,False
2005-06-21,88,6,4,2,2,False
2005-06-22,91,9,3,2,2,False
2005-06-23,77,12,3,4,2,False
2005-06-24,79,6,3,1,3,False
2005-06-25,79,4,2,0,3,False
2005-06-26,88,7,3,1,4,False
2005-06-27,90,7,3,2,3,False
2005-06-28,83,7,5,1,2,False
2005-06-29,93,11,5,1,1,False
2005-06-30,95,8,3,2,2,False
2005-07-01,78,7,1,3,2,False
2005-07-02,68,6,2,1,2,False
2005-07-03,74,4,1,2,4,False
2005-07-04,81,4,3,2,3,False
2005-07-05,85,4,4,3,2,False
2005-07-06,80,7,2,1,3,False
2005-07-07,81,8,3,1,1,False
2005-07-08,76,6,4,2,4,False
2005-07-09,77,8,4,1,4,False
2005-07-10,86,5,4,3,3,False
2005-07-11,85,9,3,1,3,False
2005-07-12,89,6,4,2,3,False
2005-07-13,87,9,4,1,2,False
2005-07-14,94,9,4,2,2,False
2005-07-15,82,6,1,1,1,False
2005-07-16,72,7,2,1,3,False
2005-07-17,75,5,3,2,3,False
2005-07-18,85,8,3,2,2,False
2005-07-19,93,7,3,2,3,False
2005-07-20,78,7,3,2,2,False
2005-07-21,80,5,3,1,1,False
2005-07-22,88,10,3,2,2,False
2005-07-23,74,7,3,2,1,False
2005-07-24,86,10,3,1,4,False
2005-07-25,83,9,2,3,2,False
2005-07-26,88,10,4,2,2,False
2005-07-27,85,8,4,1,2,False
2005-07-28,87,9,3,1,1,False
2005-07-29,72,8,1,1,2,False
2005-07-30,69,6,2,2,2,False
2005-07-31,87,9,3,2,2,False
2005-08-01,94,8,3,2,2,False
2005-08-02,72,7,2,2,2,False
2005-08-03,88,8,4,2,2,False
2005-08-04,86,6,1,3,2,False
2005-08-05,78,8,3,1,4,False
2005-08-06,83,6,6,2,4,False
2005-08-07,82,5,3,2,3,False
2005-08-08,82,12,4,2,2,False
2005-08-09,88,8,3,3,1,False
2005-08-10,77,8,4,2,1,False
2005-08-11,83,8,3,3,2,False
2005-08-12,81,9,3,3,2,False
2005-08-13,93,9,4,1,1,False
2005-08-14,71,6,1,2,2,False
2005-08-15,84,6,2,2,2,False
2005-08-16,84,6,3,1,2,False
2005-08-17,82,7,3,3,2,False
2005-08-18,78,10,1,2,2,False
2005-08-19,71,8,2,1,2,False
2005-08-20,71,6,1,1,4,False
2005-08-21,75,11,3,1,6,False
2005-08-22,79,7,3,2,1,False
2005-08-23,80,7,2,3,2,False
2005-08-24,76,8,2,4,0,False
2005-08-25,76,7,2,2,1,False
2005-08-26,72,12,2,0,1,False
2005-08-27,65,6,4,2,2,False
2005-08-28,80,7,4,1,1,False
2005-08-29,73,7,3,1,2,False
2005-08-30,78,9,4,2,1,False
2005-08-31,80,9,2,1,1,False
2005-09-01,81,16,3,1,1,False
2005-09-02,87,14,3,1,1,False
2005-09-03,68,11,3,3,2,False
2005-09-04,63,11,3,1,2,False
2005-09-05,69,11,2,1,3,False
2005-09-06,80,10,2,1,3,False
2005-09-07,89,9,3,1,2,False
2005-09-08,87,11,4,3,1,False
2005-09-09,86,9,3,1,2,False
2005-09-10,77,8,1,0,4,False
2005-09-11,79,7,3,1,5,False
2005-09-12,91,11,4,3,1,False
2005-09-13,84,9,2,1,1,False
2005-09-14,82,12,5,3,1,False
2005-09-15,83,9,5,2,2,False
2005-09-16,84,6,3,3,2,False
2005-09-17,71,8,4,0,2,False
2005-09-18,84,9,2,2,3,False
2005-09-19,85,10,5,2,1,False
2005-09-20,83,7,5,2,1,False
2005-09-21,87,15,5,2,2,False
2005-09-22,83,10,5,2,1,False
2005-09-23,80,7,2,2,1,False
2005-09-24,70,8,3,2,2,False
2005-09-25,75,9,4,0,3,False
2005-09-26,82,10,4,2,2,False
2005-09-27,89,9,4,2,2,False
2005-09-28,85,9,4,3,2,False
2005-09-29,82,10,6,0,3,False
2005-09-30,84,11,3,3,1,False
2005-10-01,77,9,3,0,2,False
2005-10-02,66,7,5,2,2,False
2005-10-03,83,9,4,2,3,False
2005-10-04,84,11,4,2,1,False
2005-10-05,87,11,5,3,2,False
2005-10-06,88,12,4,1,1,False
2005-10-07,77,9,3,1,2,False
2005-10-08,73,9,2,1,2,False
2005-10-09,82,9,3,1,4,False
2005-10-10,87,14,4,2,1,False
2005-10-11,90,14,4,2,2,False
2005-10-12,75,11,5,1,2,False
2005-10-13,84,12,5,2,2,False
2005-10-14,83,11,3,1,1,False
2005-10-15,79,9,3,1,3,False
2005-10-16,71,7,2,2,2,False
2005-10-17,86,11,4,2,2,False
