date,liquidation,pollution,poor,poverty,race,isPartial
2013-01-15,2,5,9,5,35,False
2013-01-16,1,5,9,5,35,False
2013-01-17,2,4,9,5,36,False
2013-01-18,2,3,9,5,39,False
2013-01-19,1,2,7,4,43,False
2013-01-20,1,2,8,3,54,False
2013-01-21,1,3,9,4,44,False
2013-01-22,1,4,10,5,37,False
2013-01-23,2,4,9,5,39,False
2013-01-24,1,4,9,6,40,False
2013-01-25,2,3,10,5,44,False
2013-01-26,1,2,8,3,52,False
2013-01-27,1,3,8,4,54,False
2013-01-28,2,4,9,5,44,False
2013-01-29,1,5,8,6,42,False
2013-01-30,1,6,8,5,39,False
2013-01-31,2,4,10,6,39,False
2013-02-01,2,4,10,5,40,False
2013-02-02,2,2,7,3,46,False
2013-02-03,1,2,8,3,53,False
2013-02-04,1,3,10,5,55,False
2013-02-05,2,4,10,6,42,False
2013-02-06,2,5,10,6,39,False
2013-02-07,1,4,10,6,37,False
2013-02-08,2,4,9,5,37,False
2013-02-09,2,2,8,3,43,False
2013-02-10,2,3,10,3,43,False
2013-02-11,2,3,10,5,40,False
2013-02-12,2,4,10,6,40,False
2013-02-13,1,4,10,8,39,False
2013-02-14,1,4,10,7,37,False
2013-02-15,2,3,9,5,38,False
2013-02-16,2,2,8,3,48,False
2013-02-17,2,3,8,3,61,False
2013-02-18,1,3,8,5,63,False
2013-02-19,2,4,9,5,47,False
2013-02-20,2,4,10,6,44,False
2013-02-21,2,5,9,6,45,False
2013-02-22,2,3,9,6,45,False
2013-02-23,2,2,8,4,79,False
2013-02-24,2,3,8,4,100,False
2013-02-25,2,4,8,5,59,False
2013-02-26,2,5,10,6,47,False
2013-02-27,2,5,9,5,44,False
2013-02-28,2,5,9,7,41,False
2013-03-01,2,4,10,6,42,False
2013-03-02,2,2,9,3,54,False
2013-03-03,2,3,10,4,64,False
2013-03-04,2,5,10,6,55,False
2013-03-05,2,5,10,7,47,False
2013-03-06,2,5,10,7,43,False
2013-03-07,2,5,11,7,43,False
2013-03-08,2,5,10,6,41,False
2013-03-09,1,3,8,3,48,False
2013-03-10,1,3,9,4,66,False
2013-03-11,1,5,9,5,55,False
2013-03-12,2,5,9,6,44,False
2013-03-13,2,5,10,7,43,False
2013-03-14,2,6,9,6,41,False
2013-03-15,2,4,8,4,45,False
2013-03-16,2,2,9,3,54,False
