date,prosper,prosperity,isPartial
2007-06-24,69,48,False
2007-06-25,46,50,False
2007-06-26,37,33,False
2007-06-27,29,25,False
2007-06-28,30,39,False
2007-06-29,37,32,False
2007-06-30,27,54,False
2007-07-01,41,62,False
2007-07-02,39,35,False
2007-07-03,31,31,False
2007-07-04,31,25,False
2007-07-05,23,60,False
2007-07-06,31,49,False
2007-07-07,32,39,False
2007-07-08,46,46,False
2007-07-09,33,49,False
2007-07-10,24,53,False
2007-07-11,50,100,False
2007-07-12,9,43,False
2007-07-13,31,40,False
2007-07-14,20,33,False
2007-07-15,40,20,False
2007-07-16,25,50,False
2007-07-17,25,37,False
2007-07-18,33,54,False
2007-07-19,51,59,False
2007-07-20,9,40,False
2007-07-21,20,7,False
2007-07-22,34,34,False
2007-07-23,46,62,False
2007-07-24,49,29,False
2007-07-25,33,25,False
2007-07-26,30,30,False
2007-07-27,49,66,False
2007-07-28,45,64,False
2007-07-29,45,52,False
2007-07-30,41,82,False
2007-07-31,16,20,False
2007-08-01,17,42,False
2007-08-02,17,38,False
2007-08-03,41,45,False
2007-08-04,46,39,False
2007-08-05,20,46,False
2007-08-06,25,49,False
2007-08-07,24,52,False
2007-08-08,37,33,False
2007-08-09,41,46,False
2007-08-10,31,49,False
2007-08-11,58,32,False
2007-08-12,39,26,False
2007-08-13,25,50,False
2007-08-14,48,28,False
2007-08-15,29,33,False
2007-08-16,21,54,False
2007-08-17,26,40,False
2007-08-18,19,50,False
2007-08-19,13,31,False
2007-08-20,44,28,False
2007-08-21,35,46,False
2007-08-22,32,48,False
2007-08-23,17,41,False
2007-08-24,30,52,False
2007-08-25,30,36,False
2007-08-26,43,49,False
2007-08-27,28,48,False
2007-08-28,27,31,False
2007-08-29,20,47,False
2007-08-30,40,81,False
2007-08-31,22,62,False
2007-09-01,19,57,False
2007-09-02,20,40,False
2007-09-03,34,39,False
2007-09-04,40,64,False
2007-09-05,39,39,False
2007-09-06,51,55,False
2007-09-07,16,57,False
2007-09-08,23,17,False
2007-09-09,62,39,False
2007-09-10,49,64,False
2007-09-11,22,41,False
2007-09-12,46,50,False
2007-09-13,47,51,False
2007-09-14,36,49,False
2007-09-15,23,29,False
2007-09-16,40,40,False
2007-09-17,15,38,False
2007-09-18,33,44,False
2007-09-19,56,34,False
2007-09-20,38,50,False
2007-09-21,32,32,False
2007-09-22,28,40,False
2007-09-23,17,39,False
2007-09-24,33,59,False
2007-09-25,11,33,False
2007-09-26,37,56,False
2007-09-27,19,38,False
2007-09-28,20,28,False
2007-09-29,29,18,False
2007-09-30,40,23,False
