date,squander,tariff,underworld,uneconomical,unemployed,isPartial
2009-07-25,0,0,33,0,7,False
2009-07-26,0,4,29,0,14,False
2009-07-27,1,11,31,0,21,False
2009-07-28,0,11,64,0,10,False
2009-07-29,0,15,30,0,15,False
2009-07-30,1,11,33,0,10,False
2009-07-31,1,13,21,0,13,False
2009-08-01,0,4,33,0,8,False
2009-08-02,0,3,45,0,24,False
2009-08-03,0,8,28,0,17,False
2009-08-04,0,12,25,0,13,False
2009-08-05,0,18,28,0,17,False
2009-08-06,1,10,18,0,13,False
2009-08-07,1,7,24,0,17,False
2009-08-08,1,3,48,0,8,False
2009-08-09,0,4,100,0,7,False
2009-08-10,1,10,52,1,11,False
2009-08-11,0,9,39,0,11,False
2009-08-12,0,11,29,0,14,False
2009-08-13,0,13,20,0,7,False
2009-08-14,0,8,29,0,13,False
2009-08-15,0,7,21,0,11,False
2009-08-16,1,3,36,0,7,False
2009-08-17,0,6,19,0,15,False
2009-08-18,0,8,22,0,16,False
2009-08-19,0,14,23,0,15,False
2009-08-20,1,8,19,0,13,False
2009-08-21,0,6,31,0,19,False
2009-08-22,0,3,23,0,9,False
2009-08-23,0,3,45,0,9,False
2009-08-24,0,12,25,0,13,False
2009-08-25,0,6,27,0,10,False
2009-08-26,1,15,19,0,12,False
2009-08-27,1,13,21,0,12,False
2009-08-28,0,12,14,0,17,False
2009-08-29,0,2,60,0,9,False
2009-08-30,1,6,39,0,9,False
2009-08-31,0,7,24,0,12,False
2009-09-01,0,9,33,0,14,False
2009-09-02,1,14,31,0,18,False
2009-09-03,0,15,21,0,21,False
2009-09-04,0,10,25,0,11,False
2009-09-05,0,5,36,0,17,False
2009-09-06,0,1,37,0,19,False
2009-09-07,0,8,34,0,20,False
2009-09-08,0,16,20,0,16,False
2009-09-09,0,10,22,0,20,False
2009-09-10,2,17,19,0,11,False
2009-09-11,0,16,27,0,10,False
2009-09-12,0,16,42,0,6,False
2009-09-13,0,16,55,0,12,False
2009-09-14,0,29,31,0,12,False
2009-09-15,0,34,20,0,12,False
