date,cost,crisis,deficit,depreciation,domination,isPartial
2013-09-26,91,5,2,2,1,False
2013-09-27,84,4,2,1,1,False
2013-09-28,82,4,2,1,1,False
2013-09-29,84,5,2,1,1,False
2013-09-30,89,6,2,1,1,False
2013-10-01,92,6,3,1,1,False
2013-10-02,87,6,2,2,1,False
2013-10-03,86,6,3,1,1,False
2013-10-04,85,6,2,1,1,False
2013-10-05,83,4,2,1,1,False
2013-10-06,83,5,2,1,1,False
2013-10-07,90,6,2,2,1,False
2013-10-08,90,6,3,2,1,False
2013-10-09,86,7,3,1,1,False
2013-10-10,89,6,3,2,1,False
2013-10-11,80,5,2,1,1,False
2013-10-12,80,4,2,1,1,False
2013-10-13,81,5,2,1,1,False
2013-10-14,89,7,2,2,1,False
2013-10-15,87,6,3,2,1,False
2013-10-16,89,7,3,2,1,False
2013-10-17,90,7,4,1,1,False
2013-10-18,84,6,2,1,1,False
2013-10-19,80,4,2,1,1,False
2013-10-20,83,5,2,1,1,False
2013-10-21,92,6,2,1,1,False
2013-10-22,91,6,2,2,1,False
2013-10-23,88,6,2,1,1,False
2013-10-24,92,5,2,1,1,False
2013-10-25,87,5,2,1,1,False
2013-10-26,80,4,1,1,1,False
2013-10-27,82,4,1,1,1,False
2013-10-28,92,6,1,2,1,False
2013-10-29,92,6,2,1,1,False
2013-10-30,88,6,2,2,1,False
2013-10-31,81,5,3,1,1,False
2013-11-01,80,5,2,1,1,False
2013-11-02,81,4,1,1,2,False
2013-11-03,85,5,1,1,1,False
2013-11-04,90,6,2,2,1,False
2013-11-05,90,6,2,2,1,False
2013-11-06,89,6,2,1,1,False
2013-11-07,87,6,2,2,1,False
2013-11-08,85,6,2,1,1,False
2013-11-09,79,4,1,1,1,False
2013-11-10,83,4,1,1,1,False
2013-11-11,88,6,2,2,1,False
2013-11-12,92,6,2,1,1,False
2013-11-13,92,7,2,2,1,False
2013-11-14,93,6,2,1,1,False
2013-11-15,85,6,2,1,1,False
2013-11-16,84,4,1,1,1,False
2013-11-17,85,5,1,1,1,False
2013-11-18,91,7,2,2,1,False
2013-11-19,87,6,2,2,1,False
2013-11-20,93,7,2,2,1,False
2013-11-21,90,7,2,2,1,False
2013-11-22,83,6,1,1,1,False
2013-11-23,75,5,1,1,2,False
2013-11-24,79,4,1,1,2,False
2013-11-25,84,6,2,1,1,False
2013-11-26,81,6,1,1,1,False
2013-11-27,74,5,1,1,1,False
2013-11-28,61,3,1,1,1,False
2013-11-29,70,4,1,0,1,False
2013-11-30,77,4,1,1,1,False
2013-12-01,72,4,1,1,1,False
2013-12-02,83,5,2,2,1,False
