date,squander,tariff,underworld,uneconomical,unemployed,isPartial
2008-03-04,0,8,18,1,7,False
2008-03-05,0,16,15,0,7,False
2008-03-06,0,11,14,0,2,False
2008-03-07,0,10,17,0,4,False
2008-03-08,0,4,18,0,1,False
2008-03-09,0,3,18,0,8,False
2008-03-10,0,11,13,0,9,False
2008-03-11,0,17,17,0,4,False
2008-03-12,0,12,16,0,4,False
2008-03-13,0,15,12,0,2,False
2008-03-14,0,12,21,0,5,False
2008-03-15,0,3,21,0,2,False
2008-03-16,0,1,17,0,6,False
2008-03-17,0,12,12,0,1,False
2008-03-18,0,12,15,0,3,False
2008-03-19,0,9,10,0,2,False
2008-03-20,0,9,11,0,6,False
2008-03-21,0,8,9,0,3,False
2008-03-22,0,4,21,0,3,False
2008-03-23,0,3,15,0,3,False
2008-03-24,0,12,19,0,6,False
2008-03-25,0,13,8,0,8,False
2008-03-26,0,5,10,0,5,False
2008-03-27,1,12,8,0,2,False
2008-03-28,0,6,15,0,6,False
2008-03-29,1,2,20,0,3,False
2008-03-30,1,7,22,0,3,False
2008-03-31,2,8,11,0,4,False
2008-04-01,0,10,17,0,6,False
2008-04-02,0,13,9,0,6,False
2008-04-03,0,9,13,0,2,False
2008-04-04,0,11,11,0,3,False
2008-04-05,0,2,14,0,1,False
2008-04-06,0,6,19,0,1,False
2008-04-07,0,11,14,0,5,False
2008-04-08,0,12,13,0,2,False
2008-04-09,0,12,16,0,6,False
2008-04-10,0,9,15,0,3,False
2008-04-11,0,9,13,0,4,False
2008-04-12,0,1,12,0,3,False
2008-04-13,0,4,19,0,7,False
2008-04-14,0,10,10,0,7,False
2008-04-15,0,12,15,0,7,False
2008-04-16,0,11,8,0,7,False
2008-04-17,1,9,12,0,5,False
2008-04-18,0,7,11,0,4,False
2008-04-19,0,8,31,0,6,False
2008-04-20,1,4,34,0,9,False
2008-04-21,0,10,13,0,4,False
2008-04-22,0,12,9,0,5,False
2008-04-23,0,10,13,0,6,False
2008-04-24,0,10,11,0,3,False
2008-04-25,1,10,5,0,3,False
2008-04-26,0,2,17,0,3,False
2008-04-27,0,7,13,0,1,False
2008-04-28,1,11,15,0,3,False
2008-04-29,0,11,16,0,2,False
2008-04-30,0,13,7,0,4,False
2008-05-01,0,6,7,0,5,False
2008-05-02,0,9,13,0,5,False
2008-05-03,0,5,24,0,7,False
2008-05-04,0,2,25,0,2,False
2008-05-05,0,10,14,0,2,False
2008-05-06,0,12,15,0,3,False
2008-05-07,1,8,14,0,6,False
2008-05-08,0,16,10,0,5,False
2008-05-09,2,6,10,0,6,False
2008-05-10,0,4,15,0,5,False
2008-05-11,0,2,21,0,2,False
2008-05-12,0,9,11,0,4,False
2008-05-13,0,9,9,0,5,False
2008-05-14,1,13,14,0,1,False
2008-05-15,0,11,8,0,5,False
2008-05-16,0,6,11,0,5,False
2008-05-17,1,4,12,0,1,False
2008-05-18,0,1,9,0,4,False
2008-05-19,0,7,13,0,1,False
2008-05-20,0,10,10,0,4,False
2008-05-21,1,11,21,0,7,False
2008-05-22,0,17,13,0,3,False
2008-05-23,0,8,14,0,4,False
2008-05-24,0,5,15,0,0,False
2008-05-25,0,1,21,0,0,False
2008-05-26,0,3,25,0,3,False
2008-05-27,0,8,8,0,4,False
2008-05-28,1,11,14,0,5,False
2008-05-29,0,5,8,0,6,False
2008-05-30,0,9,9,0,3,False
2008-05-31,0,0,12,0,2,False
2008-06-01,1,2,8,0,1,False
2008-06-02,0,6,10,0,8,False
2008-06-03,0,6,9,0,1,False
2008-06-04,0,7,7,0,1,False
2008-06-05,0,11,15,0,5,False
2008-06-06,0,10,9,0,9,False
2008-06-07,0,1,15,0,4,False
2008-06-08,0,5,19,0,2,False
2008-06-09,0,10,9,1,2,False
2008-06-10,0,12,9,0,6,False
2008-06-11,0,12,16,0,6,False
2008-06-12,1,6,11,0,2,False
2008-06-13,0,7,12,0,7,False
2008-06-14,0,2,15,0,4,False
2008-06-15,0,0,12,0,5,False
2008-06-16,0,9,9,0,4,False
2008-06-17,0,12,8,0,8,False
2008-06-18,0,10,8,0,7,False
2008-06-19,0,6,16,0,2,False
2008-06-20,0,6,17,0,8,False
2008-06-21,0,5,11,0,6,False
2008-06-22,0,6,20,0,6,False
2008-06-23,0,7,9,0,5,False
2008-06-24,0,9,12,0,6,False
2008-06-25,0,10,14,1,6,False
2008-06-26,1,7,13,0,2,False
2008-06-27,0,9,19,0,2,False
2008-06-28,0,2,19,0,2,False
2008-06-29,0,2,20,0,2,False
2008-06-30,2,5,14,0,6,False
2008-07-01,2,8,13,0,5,False
2008-07-02,0,6,13,0,9,False
2008-07-03,0,9,25,0,3,False
2008-07-04,0,0,17,0,2,False
