date,capitalize,charitable,charity,community,compensate
2004-03-22,0.0,10.8170253637,24.1195521909,116.804052304,0.0
2004-03-23,0.0,0.0,0.0,0.0,0.0
2004-03-24,0.0,7.2113502425,13.7826012519,164.390888428,0.0
2004-03-25,0.0,3.60567512125,10.336950939,127.619242333,0.0
2004-03-26,0.0,3.60567512125,20.6739018779,173.043040451,0.0
2004-03-27,0.0,3.60567512125,13.7826012519,134.10835635,0.0
2004-03-28,0.0,3.60567512125,10.336950939,121.130128316,0.0
2004-03-29,0.0,3.60567512125,13.7826012519,170.880002445,0.0
2004-03-30,0.0,7.2113502425,13.7826012519,168.71696444,0.0
2004-03-31,0.0,7.2113502425,10.336950939,168.71696444,0.0
2004-04-01,0.0,7.2113502425,6.89130062597,160.064812417,0.0
2004-04-02,0.0,3.60567512125,13.7826012519,140.597470366,0.0
2004-04-03,0.0,3.60567512125,10.336950939,123.293166321,0.0
2004-04-04,0.0,3.60567512125,6.89130062597,114.641014299,0.0
2004-04-05,0.0,3.60567512125,10.336950939,164.390888428,0.0
2004-04-06,0.0,3.60567512125,10.336950939,160.064812417,0.0
2004-04-07,0.0,0.0,13.7826012519,166.553926434,0.0
2004-04-08,0.0,3.60567512125,6.89130062597,147.086584383,0.0
2004-04-09,0.0,3.60567512125,10.336950939,147.086584383,0.0
2004-04-10,0.0,7.2113502425,6.89130062597,110.314938288,0.0
2004-04-11,0.0,3.60567512125,17.2282515649,125.456204327,0.0
2004-04-12,0.0,0.0,0.0,0.0,0.0
2004-04-13,0.0,0.0,0.0,0.0,0.0
2004-04-14,0.0,7.2113502425,13.7826012519,127.619242333,0.0
2004-04-15,0.0,7.2113502425,17.2282515649,151.412660395,0.0
2004-04-16,0.0,3.60567512125,10.336950939,140.597470366,0.0
2004-04-17,0.0,3.60567512125,10.336950939,129.782280338,0.0
2004-04-18,0.0,0.0,10.336950939,125.456204327,0.0
2004-04-19,0.0,0.0,13.7826012519,170.880002445,0.0
2004-04-20,0.0,3.60567512125,10.336950939,168.71696444,0.0
2004-04-21,0.0,7.2113502425,13.7826012519,157.901774412,0.0
2004-04-22,0.0,3.60567512125,10.336950939,151.412660395,0.0
2004-04-23,0.0,7.2113502425,10.336950939,140.597470366,0.0
2004-04-24,0.0,7.2113502425,10.336950939,95.1736722481,0.0
2004-04-25,0.0,0.0,10.336950939,116.804052304,0.0
2004-04-26,0.0,7.2113502425,10.336950939,177.369116462,0.0
2004-04-27,0.0,3.60567512125,10.336950939,162.227850423,0.0
2004-04-28,0.0,7.2113502425,10.336950939,162.227850423,0.0
2004-04-29,0.0,3.60567512125,13.7826012519,160.064812417,0.0
2004-04-30,0.0,0.0,10.336950939,144.923546378,0.0
2004-05-01,0.0,3.60567512125,10.336950939,105.988862276,0.0
2004-05-02,0.0,3.60567512125,6.89130062597,129.782280338,0.0
2004-05-03,0.0,3.60567512125,10.336950939,179.532154468,0.0
2004-05-04,0.0,7.2113502425,10.336950939,170.880002445,0.0
2004-05-05,0.0,3.60567512125,10.336950939,147.086584383,0.0
2004-05-06,0.0,0.0,10.336950939,136.271394355,0.0
2004-05-07,0.0,3.60567512125,17.2282515649,140.597470366,0.0
2004-05-08,0.0,3.60567512125,6.89130062597,131.945318344,0.0
2004-05-09,0.0,3.60567512125,10.336950939,116.804052304,0.0
2004-05-10,0.0,3.60567512125,13.7826012519,173.043040451,0.0
2004-05-11,0.0,3.60567512125,13.7826012519,168.71696444,0.0
2004-05-12,0.0,3.60567512125,17.2282515649,164.390888428,0.0
2004-05-13,0.0,3.60567512125,10.336950939,160.064812417,0.0
2004-05-14,0.0,3.60567512125,17.2282515649,162.227850423,0.0
2004-05-15,0.0,3.60567512125,6.89130062597,116.804052304,0.0
2004-05-16,0.0,7.2113502425,6.89130062597,134.10835635,0.0
2004-05-17,0.0,7.2113502425,10.336950939,166.553926434,0.0
2004-05-18,0.0,7.2113502425,13.7826012519,170.880002445,0.0
2004-05-19,0.0,7.2113502425,13.7826012519,157.901774412,0.0
2004-05-20,0.0,3.60567512125,10.336950939,142.760508372,0.0
2004-05-21,0.0,3.60567512125,10.336950939,144.923546378,0.0
2004-05-22,0.0,3.60567512125,10.336950939,108.151900282,0.0
2004-05-23,0.0,3.60567512125,3.44565031299,129.782280338,0.0
2004-05-24,0.0,7.2113502425,10.336950939,166.553926434,0.0
2004-05-25,0.0,3.60567512125,10.336950939,166.553926434,0.0
2004-05-26,0.0,3.60567512125,6.89130062597,160.064812417,0.0
2004-05-27,0.0,3.60567512125,10.336950939,151.412660395,0.0
